Original,Query,BioCyc Common-Name,BioCyc,Kegg,ChEBI,PubChem,HMDB,ChemsSpider,Metabolights,MetanetX,BiGG,SEED,InChi,InChiKey
Bet_A1_Betaine,Betaine,glycine betaine,glycine betaine,C00719,17750,247,HMDB00043,242,MTBLC17750,MNXM289,glyb,cpd00540,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",InChIKey=KWIUHFFTVRNATP-UHFFFAOYSA-N
Bet_A2_Dimethylglycine,Dimethylglycine,"N,N-dimethylglycine","N,N-dimethylglycine",C01026,58251,6971056,HMDB00092,,MTBLC58251,MNXM464,,cpd00756,"InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)",InChIKey=FFDGPVCHZBVARC-UHFFFAOYSA-N
Bet_A3_Sarcosine,Sarcosine,sarcosine,sarcosine,C00213,57433,7311726,HMDB00271,,MTBLC57433,MNXM300,sarcs,cpd00183,"InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)",InChIKey=FSYKKLYZXJSNPZ-UHFFFAOYSA-N
Gly_TCA_A1_Glucose_(D-glucopyranose),D-glucopyranose,D-glucopyranose,D-glucopyranose,C00031,4167,,HMDB0000122,,,MNXM41,glc__D,,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",InChIKey=WQZGKKKJIJFFOK-GASJEMHNSA-N
Gly_TCA_A10_Pyruvate,Pyruvate,pyruvate,pyruvate,C00022,15361,107735,HMDB00243,96901,MTBLC15361,MNXM23,pyr,cpd00020,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",InChIKey=LCTONWCANYUPML-UHFFFAOYSA-M
Gly_TCA_A11_Citrate,Citrate,citrate,citrate,C00158,16947,31348,HMDB00094,29081,MTBLC16947,MNXM131,cit,cpd00137,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",InChIKey=KRKNYBCHXYNGOX-UHFFFAOYSA-K
Gly_TCA_A11b_Lactic acid,Lactic acid,lactic acid,lactic acid,C00186,28358,,HMDB0000190,,,,,,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)",InChIKey=JVTAAEKCZFNVCJ-UHFFFAOYSA-N
Gly_TCA_A12_Aconitate,Aconitate,cis-aconitate,cis-aconitate,C00417,16383,5459816,HMDB00072,4573582,MTBLC16383,MNXM813,acon_C,cpd00331,"InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/p-3/b3-1-",InChIKey=GTZCVFVGUGFEME-IWQZZHSRSA-K
Gly_TCA_A13_D-isocitrate,D-isocitrate,D-threo-isocitrate,D-threo-isocitrate,C00451,15562,5459771,HMDB01874,4573553,MTBLC15562,MNXM162,icit,cpd00353,"InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)/p-3/t2-,4+/m0/s1",InChIKey=ODBLHEXUDAPZAU-ZAFYKAAXSA-K
Gly_TCA_A13b/14b_NAD,nad,NAD+,NAD+,C00003,57540,15938971,HMDB00902,10239196,MTBLC57540,MNXM8,nad,cpd00003,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p-1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",InChIKey=BAWFJGJZGIEFAR-NNYOXOHSSA-M
