compound,formula,id,rt,negpos_index,bestmode,charge,mz
Gly_TCA_A10_Pyruvate,C3H4O3,,3.2,neg,,,
Gly_TCA_A11_Citrate,C6H8O7,,11.31,neg,,,
Gly_TCA_A11b_Lactic acid,C3H6O3,,3.801891,neg,,,
Gly_TCA_A12_Aconitate,C6H6O6,,10.9,neg,,,
Gly_TCA_A13b/14b_NAD,C21H27N7O14P2,,8.38,negpos,neg,,
Gly_TCA_A14b/15b_NADH,C21H29N7O14P2,,8.17,negpos,neg,,
Gly_TCA_A15_Succinate,C4H6O4,,9.2,neg,,,
Gly_TCA_A16_Fumarate,C4H4O4,,8.81,neg,,,
Gly_TCA_A17_Malate,C4H6O5,,9.73,neg,,,
Gly_TCA_A21_Acetyl-CoA,C23H38N7O17P3S,,7.7,negpos,neg,,
"Gly_TCA_A5_D-fructofuranose 1,6-bisphosphate",C6H14O12P2,,11.2,negpos,neg,,
Gly_TCA_A9_phosphoenolpyruvate,C3H5O6P,,10.76,neg,,,
Gly_TCA_PPP_A6_D-glyceraldehyde 3-phosphate,C3H7O6P,,9.93,neg,,,
Gly_TCA_Pur_Pyr_SerGly_A14_Ketoglutarate,C5H6O5,,9.4,neg,,,
PPP_A1b/3b_NADP,C21H28N7O17P3,,10.29,negpos,neg,,
PPP_A2b/4b_NADPH,C21H30N7O17P3,,10.61,negpos,neg,,
PPP_A3_D-gluconate 6-phosphate,C6H13O10P,,11,neg,,,
PPP_A5b_D-ribose 5-phosphate,C5H11O8P,Right peak,9.6,neg,,,
PPP_A6a_D-sedoheptulose 7-phosphate,C7H15O10P,,9.92,neg,,,
Pur_A11_IMP,C10H13N4O8P,,9.4,negpos,neg,,
Pur_A12/13_Adenylosuccinate,C14H18N5O11P,,11.28,negpos,neg,,
Pur_A16_dATP,C10H16N5O12P3,,9.7,negpos,neg,,
Pur_A17_XMP,C10H13N4O9P,,11.01,negpos,neg,,
Pur_A18_GMP,C10H14N5O8P,,10.14,negpos,neg,,
Pur_A2_PRA,C5H12NO7P,,9.1,negpos,neg,,
Pur_A21_dGDP,C10H15N5O10P2,,10.16,negpos,neg,,
Pur_A22_dGTP,C10H16N5O13P3,,10.17,negpos,neg,,
Pur_A3_GAR,C7H15N2O8P,,9.9,negpos,neg,,
Pur_A4_FGAR,C8H15N2O9P,,9.23,negpos,neg,,
Pur_A8_SAICAR,C13H19N4O12P,,11.87,negpos,neg,,
Pur_A9_AICAR,C9H15N4O8P,,9.2,neg,,,
Pur_Gly_TCA_A19_ADP,C10H15N5O10P2,,9.27,negpos,neg,,
Pur_Gly_TCA_A19_GDP,C10H15N5O11P2,,10.92,negpos,neg,,
Pur_Gly_TCA_A20_ATP,C10H16N5O13P3,,10.17,negpos,neg,,
Pur_Gly_TCA_A20_GTP,C10H16N5O14P3,,11.82,negpos,neg,,
Pur_Pyr_A1_5-PRPP,C5H13O14P3,,10.98,neg,,,
Pyr_A10_UDP,C9H14N2O12P2,,10.17,negpos,neg,,
Pyr_A11_UTP,C9H15N2O15P3,,10.93,negpos,neg,,
Pyr_A17_dTTP,C10H17N2O14P3,,9.87,negpos,neg,,
Pyr_A18_CTP,C9H16N3O14P3,,11.26,negpos,neg,,
Pyr_A19_CDP,C9H15N3O11P2,,10.5,negpos,neg,,
Pyr_A3_Carbamoyl phosphate,CH4NO5P,,16.41,neg,,,
Pyr_A4_N-carbomoyl-aspartate,C5H8N2O5,,10.1,neg,,,
Pyr_A5_Dihydroorotate,C5H6N2O4,,5.45,neg,,,
Pyr_A6_Orotate,C5H4N2O4,,4.45,neg,,,
Pyr_A9_UMP,C9H13N2O9P,,9.1,negpos,neg,,
Pyr_dTMP_A14_dUMP,C9H13N2O8P,,8.25,neg,,,
Pyr_Pur_A2_Aspartate,C4H7NO4,,8.85,negpos,neg,,
