compound,Label,Pur_A9_AICAR,Pyr_A9_UMP,Pyr_dTMP_A15_dTMP,Pur_A4_FGAR,Pyr_dTMP_A14_dUMP,PPP_A6a_D-sedoheptulose 7-phosphate,Pur_A3_GAR,PPP_A3_D-gluconate 6-phosphate,Gly_TCA_PPP_A3_D-glucose 6-phosphate,PPP_A5b_D-ribose 5-phosphate,Pur_A2_PRA,Gly_TCA_A10_Pyruvate,Gly_TCA_A1_Glucose_(D-glucopyranose),Pyr_A4_N-carbomoyl-aspartate,Gly_TCA_A12_Aconitate,Gly_TCA_PPP_A6_D-glyceraldehyde 3-phosphate,Gly_TCA_A9_phosphoenolpyruvate,Pyr_A5_Dihydroorotate,Pyr_A6_Orotate,Gly_TCA_Pur_Pyr_SerGly_A14_Ketoglutarate,Pyr_A3_Carbamoyl phosphate,Gly_TCA_A17_Malate,Pyr_Pur_A2_Aspartate,Gly_TCA_A15_Succinate,Gly_TCA_A16_Fumarate,Gly_TCA_A11b_Lactic acid,Gly_TCA_SerGly_A8_3-phospho-D-glycerate,Gly_TCA_A22_Succinyl-CoA,Gly_TCA_A21_Acetyl-CoA,PPP_A2b/4b_NADPH,PPP_A1b/3b_NADP,Gly_TCA_A14b/15b_NADH,Gly_TCA_A13b/14b_NAD,Pur_Gly_TCA_A20_ATP,Pur_A22_dGTP,Pur_A16_dATP,Pyr_A11_UTP,Pyr_A18_CTP,Pyr_A17_dTTP,Pyr_A21_dCTP,"Gly_TCA_A5_D-fructofuranose 1,6-bisphosphate",Pur_A8_SAICAR,Pur_Gly_TCA_A19_GDP,Pur_A21_dGDP,Pur_Gly_TCA_A19_ADP,Pur_A15_dADP,Pyr_A10_UDP,Pyr_A19_CDP,Pyr_A16_dTDP,Pur_Pyr_A1_5-PRPP,Pyr_A12_dUDP,Pyr_A20_dCDP,Pur_A17_XMP,Pur_A18_GMP,Pur_A11_IMP,Pur_A12/13_Adenylosuccinate,Pur_Gly_TCA_A20_GTP,Gly_TCA_A11_Citrate,Gly_TCA_A13_D-isocitrate,SAM_A2_S-Adenosyl-L-methionine,SAM_A3_S-5-Adenosyl-L-homocysteine,Pur_A13_AMP,Pur_A7_CAIR,Pur_A5_FGAM,Pur_A6_AIR,SAM_A4_Adenosine,SAM_A1_Methionine,Pur_Pyr_SerGly_A1/2/4_Glutamic acid,Pur_Pyr_A1/2/4_Glutamine,SAM_A5_Homocysteine,SerGly_dTMP_A4_Serine,Pur_SerGly_dTMP_A2_Glycine
2_WT_b1_t1,WT,7060.9,1817036.5,94039.71,8849.92,15374.15,8090.56,449.62,367.28,22709.49,30457.76,0,73839.62,51060.86,14402.24,25244.13,12264.27,33672.27,16582.9,3751.04,251972.77,51871.21,1061751.88,14691337,171043.62,368867.97,1298079.5,21323.45,1907.21,31825.03,74739.4,53367.98,156260.48,476645.47,5504153,5504153,41103.89,1530288.5,185923.11,122714.41,25731.61,12605.78,0,186372.67,1979577.62,1979577.62,13953.74,1023034.81,104584.91,28365.47,2837.76,0,8986.06,8436.82,522556.66,1250509.75,12181.01,127176.71,202164.42,202164.42,586126.31,92016.66,10783885,0,0,7252.77,247988.73,4791752.5,69964344,42670048,7493.14,648691.5,97208.09
8_WT_b2_t1,WT,8589.22,2089801.88,112822.95,10247.27,23723.71,9414.25,1114.48,495.53,28169.47,23309.91,0,111861.01,50262.16,14868.4,24693.16,11255.41,30044.35,17831.88,6605.84,222080.56,50210.06,1129569.5,14523107,179212.45,376551.28,1958792.12,24384.03,2165.65,29628.21,60758.78,46073.73,166959.06,404601.16,4867851.5,4867851.5,35101.19,1373461.62,174723.7,121685.55,22384.19,15112.26,0,224893.69,2556843.25,2556843.25,16226.17,1464468,144065.83,39537.87,2843.72,0,10107.4,10880.91,654441.69,1684253.38,15763.26,104937.41,147979.23,147979.23,676623.69,105183.94,12228583,0,0,8110.82,487983.5,4569448,63597492,35104208,7077.27,601024.56,92298
14_WT_b3_t1,WT,10050.77,2281214.25,124601.45,10335.44,26603.92,8171.35,713.03,0,22287.05,27924.22,0,135111.12,50170.08,15029.02,22410.23,12516.11,23610.92,20762.84,10627.78,203400.61,53467.78,1119781.38,14083121,223426.56,369432.5,2377154,24232.56,2763.42,26865.25,53152.51,38188.03,157503.84,390232.22,3471679.25,3471679.25,25619.14,853210,117109.34,88078.7,15570.52,13209.37,0,196831.23,2488263.5,2488263.5,17324.02,1222046.5,122859.21,44416.37,2526.49,0,8469.8,9042.97,743208.69,1788555,16750.87,72381.3,161677.89,161677.89,697818.31,123657.27,14495429,0,0,7726.63,933405.06,5357314.5,67834328,45543520,3891.69,672028.56,93590.44
20_WT_b1_t2,WT,6183.73,1541610.5,76551.2,9681.96,13679.08,7494.14,408.13,521.3,26065.09,26945.23,0,71839.14,51596.32,16041.79,22579.81,12948.61,28737.78,16854.46,3585.3,232534.02,50401.67,942128.69,15493877,154201.86,403438.22,1246010,21744.53,3008.11,29184.95,65607.65,51274.03,135534.05,432205.22,5012450.5,5012450.5,37301,1296431.25,169246.84,119075.48,22254.53,14519.68,0,174017.77,1939806,1939806,13965.55,1010220.25,100410.66,26769.26,1681.98,0,7962.45,8703.22,504096.91,1241927.88,9073.73,104776.71,169336.31,169336.31,697979.31,100829.66,10069238,0,0,7531,245545.83,4309191,65747616,39432456,7877.69,566254.44,71521.52
26_WT_b2_t2,WT,7282.72,1838999.62,102547.48,9311.42,21346.76,8052.42,515.91,551.46,29400.22,25485.74,0,115132.87,53445.59,17106.51,20261.28,11786.42,32755.87,18906.1,9269.47,218007.64,54196.06,1202197.88,18886198,179874.2,453476.62,1897046.38,26524.42,2932.49,29159.26,61797.56,47184.08,159488.25,373816.59,4612158.5,4612158.5,31484.2,1224242.88,169209.31,110847.59,20721.77,14171.59,0,223438.36,2637269.75,2637269.75,15116.74,1432272,132451.92,39346.5,2787.92,0,12515.92,9170.48,615392.44,1681973.88,17380.41,91098.41,156346.55,156346.55,719358.69,111048.84,12472333,0,0,7926.15,537923.44,4554982.5,68810008,40804912,3927,746147.5,80805.09
32_WT_b3_t2,WT,11721.54,2182382.75,134137.77,11070.68,30594.72,9022.33,805.27,387.33,22365.47,25857.64,0,127264.6,51871.21,13220.5,21409.38,13342.44,26916.8,20278.94,12607.83,199947,53280.93,1223816.88,17251446,224363.95,437191.72,2376628,21538.92,2471.07,27592.69,50420.33,42325.18,161693.58,377799.84,4282933.5,4282933.5,32213.99,1110907.88,148770.77,115372.71,18005.8,14301.49,0,224626.67,2758434.75,2758434.75,15975.52,1411173.12,121858.28,42342.66,3188.42,0,10110.4,9806.78,785706,1754686.62,17286.67,92728.75,165268.42,165268.42,776374.5,134263.11,16715168,0,0,9933.24,929376.56,5678848,70048272,45859060,8215.7,701065.19,97866.09
3_PM-31_b1_t1,PM-31,4548.06,1518556.38,88379.94,7788.48,15820.69,8511.68,0,390.92,16575.04,36251.01,0,66251.55,57880.79,9141.57,21742.84,11526.27,52041.22,8291.58,4084.35,284300.59,58960.22,948409.31,16281304,146931.86,404140.5,959424.19,29367.55,4395.9,32715.44,39234.76,92233.87,127246.23,527693.19,6109650.5,6109650.5,57890.51,1875479.88,250182.48,172971.69,31907.82,12786.54,0,168482.69,1739350.38,1739350.38,12480.05,934976.94,114993.19,22700.44,2339.67,0,5080.95,18888.44,511890.28,814327.69,9873.39,140360.44,176105.45,176105.45,613642.56,112261.71,9523657,0,0,6255.08,206497.62,4654957.5,76658072,24032816,7857.95,455459.84,113693.04
9_PM-31_b2_t1,PM-31,4362.42,1440403.62,80504.76,6774.25,22241.96,8361.27,0,501.17,16750.4,31937.06,0,65870.55,52945.75,8256.58,21627.3,10998.99,54034.16,10573.4,5513.78,262217.28,59219.48,1047964.31,18429938,126046.34,454945.25,854944.94,33575.71,4504.32,33939.42,36193.86,103173.09,130128.04,529630.19,7377153.5,7377153.5,62374,2076771.38,259623.8,180942.92,36607.09,12757.3,0,184916.89,1910673.5,1910673.5,12779.1,1034694.69,125156.15,22606.79,2439.46,0,6695.17,19239.53,470286.66,756896.5,10139.71,150100.17,145307.08,145307.08,576597.19,132575.81,8435464,0,0,7788.04,384655.09,4543108.5,79064312,19420534,5324.03,453334.66,117993
15_PM-31_b3_t1,PM-31,6812.97,1909335.62,121586.31,7322.28,21329.71,7568.6,377.36,452.9,17574.54,33413.88,0,91676.24,63488.39,8367.83,23226.81,10853.13,34615.99,9444.48,5878.71,205938.3,53813.03,1040906.69,16315016,170200.08,408947.75,1665690.88,25336.02,2672.7,27140.73,38417.57,56987.45,154397.16,448183.75,4511272.5,4511272.5,43193.79,1285201,164422.39,120061.84,19574.46,10955.92,0,174831.56,1932420.62,1932420.62,13205.63,1063295.38,111487.24,31090.57,2304.19,0,6225.58,26648.12,700589.19,1029629.31,13787.36,88587.69,140836.61,140836.61,655999.75,109539.16,14301461,0,0,4398.14,732188.19,4605015.5,74408400,25680342,5224.85,417412.62,105013.87
21_PM-31_b1_t2,PM-31,3834.23,1272825.38,83445.1,7116.9,14709.37,6948.62,0,443.38,16320.5,32975.05,0,60762.5,54130.08,7913.41,22092.78,11735.99,50023.54,10200.65,5384.24,297724.53,52319.56,968423.81,19177294,150981.42,472369.09,944748.75,32261.93,4214.27,30606.08,40586.97,91833.46,126122.41,528228.06,6078128.5,6078128.5,53732.74,1760587.88,217431.31,166723.55,28565.15,12109.01,0,178874.36,1674588.62,1674588.62,14022.33,936131.69,110182.85,20602.38,3006.71,0,5999.21,17101.83,511761.59,756447.19,7239.15,125115.05,148519.02,148519.02,665306.25,124221.95,11024963,0,0,3996.45,210233.58,4735772.5,75177480,25374670,11250.33,448432.25,101505.38
