m.z	p.value	t.score	rt
333.0943	1.76540772740117e-15	183.526451549188	332.4
404.14251	1.76540772740117e-15	176.951364274433	288.6
125.0469	3.33727519482825e-15	271.371817762468	551.4
228.02799	1.0903171354998e-14	256.246130076157	544.2
125.04696	2.11120287290248e-14	129.439329657586	280.2
197.00572	4.71229085748098e-13	-83.5865161949967	247.8
239.07889	4.71229085748098e-13	151.587150390728	187.8
383.02649	4.8890948580021e-13	111.546661858369	598.8
364.11879	5.84210841725005e-13	105.464841731461	470.4
160.06157	6.32831704497094e-13	-85.6774611077782	531
535.28145	6.48059323348407e-13	134.861938424971	280.2
290.96801	1.10054419755674e-12	137.967356769693	660
453.06699	1.10054419755674e-12	158.783101052305	717
324.07505	1.79399217046667e-12	-78.6401987802274	247.8
178.05106	2.05288083983063e-12	99.0472044965406	193.2
397.11454	2.05288083983063e-12	-116.045200456244	533.4
286.05293	2.77009522394452e-12	73.924495971759	600
380.01562	9.52061218645979e-12	64.526268092261	630
374.11369	1.03207709371703e-11	204.883580597223	507.6
439.98758	1.13502002990085e-11	-80.209157572411	628.8
95.96185	1.2119976937748e-11	-83.6892192283472	529.2
575.19864	1.2119976937748e-11	-82.1486529395471	481.2
156.99072	1.39063109307004e-11	-65.9560894144156	483
436.98086	3.05321734780207e-11	112.757385578298	552.6
929.29929	3.32834190863584e-11	47.9148831176922	633
226.04867	5.16010903016793e-11	-50.6813892474676	481.2
320.08496	5.71357750812443e-11	110.042277061659	280.8
226.96392	6.74332191242407e-11	-68.85452896069	483
335.0747	7.30621909645901e-11	49.8874945767134	519
308.03808	7.44932071765173e-11	-83.8583145619257	253.8
242.08003	1.84263550584802e-10	-52.7053620246469	402.6
244.05921	2.0273402175374e-10	-74.9668208174329	529.2
257.08938	3.52227958855639e-10	212.38564436638	280.2
241.05995	4.12768203930881e-10	78.6156667576726	424.2
101.02444	4.81357079411386e-10	35.3197080868667	440.4
336.06179	6.18404406996996e-10	-68.6676054323943	579
122.98533	7.20584065993012e-10	-85.534348207112	529.2
195.05105	7.20584065993012e-10	-45.3799598741593	460.8
236.02363	7.20584065993012e-10	-35.1867611162472	630
167.99726	1.08249776463414e-9	-37.9883677375068	551.4
181.07187	1.15909166329889e-9	38.9871165023991	441
241.0121	1.19991637601741e-9	36.4045783768156	484.2
832.30163	1.19991637601741e-9	-68.9263752517424	481.2
168.98134	1.29724292221672e-9	-33.1674464538709	625.8
147.03	1.42164515181453e-9	32.2586307774896	553.8
175.03607	1.42164515181453e-9	-30.564797297219	610.2
534.28708	1.42164515181453e-9	-46.0985561697145	480
212.00476	4.01412921287181e-9	27.774936079787	418.8
514.20211	4.04365543289155e-9	-54.1720664055213	481.8
429.05826	5.18133159909778e-9	-37.1793065335376	549.6
312.13028	6.22292065812157e-9	35.000660590311	474.6
343.09115	6.31949785787253e-9	-32.2671841958655	534.6
300.04908	8.71820855502023e-9	-43.1944129752776	538.8
124.00738	9.71884569194481e-9	28.6894564527185	487.8
163.06141	9.71884569194481e-9	40.3097976332699	440.4
130.05098	1.02258311853958e-8	-27.1923091714158	477.6
231.06222	1.55070704522086e-8	-35.8868404436955	515.4
243.05685	2.11357761430495e-8	73.8910558193179	424.2
151.02624	2.1219361653717e-8	29.4613100445398	326.4
286.05604	2.64134141283236e-8	-56.9948921303377	250.8
388.93506	2.64134141283236e-8	50.0163061387172	658.2
428.21506	2.64134141283236e-8	-22.491145692974	481.2
104.0354	2.64905636200982e-8	-24.2993078987347	303
146.04597	2.86742605770622e-8	-31.1694489190843	303
322.09241	3.04815564131812e-8	-52.0161456453961	249.6
429.10435	3.10695948642495e-8	-56.0150839275456	534.6
381.11035	3.3112780146461e-8	-29.9992170369145	485.4
241.01208	3.61260760835956e-8	26.2998836564109	604.8
842.55542	4.03056097698917e-8	22.7037800302721	87.6
74.0245	4.19165859752846e-8	-24.0348670601621	525.6
271.22811	4.523648084604e-8	27.3150683278521	85.2
181.05075	5.29074020923214e-8	-24.1865261763797	217.2
170.94613	5.84829485957679e-8	-65.5233057383554	481.2
318.09598	6.31686532749889e-8	-69.1432539373562	481.2
426.02255	7.43980744825721e-8	-23.737933990951	616.2
272.05429	7.6665591677651e-8	-25.364433870223	532.2
176.03873	7.80846203270941e-8	-19.2937042744177	109.8
375.02532	9.54420357018179e-8	70.4064987726626	280.2
346.11927	1.02549317537539e-7	-57.4648554346931	246.6
135.03133	1.03069538350415e-7	-27.2985294194699	245.4
189.0881	1.15020855443988e-7	27.6248061463596	473.4
388.94559	1.44204644013756e-7	36.3755634768342	661.2
127.04015	1.52245034679251e-7	24.09757357246	439.8
240.05167	1.52245034679251e-7	-18.1393301660286	741
315.09639	1.55787597178305e-7	-25.4621201122871	533.4
134.02341	1.58256440522094e-7	-57.4844645860347	247.8
399.04644	1.62742823629394e-7	-18.3429589464345	566.4
826.56037	1.64064633604474e-7	-19.0490667507803	87.6
386.06248	1.65231206580066e-7	-49.1144567597586	540
172.02404	1.8609774470498e-7	-52.339932827022	350.4
363.09836	1.8609774470498e-7	19.6997329197308	548.4
131.0462	2.033831240439e-7	-19.5418723241334	517.8
133.01572	2.53063340650838e-7	-38.6111918128054	349.2
360.97114	2.80811837733185e-7	30.2579417812648	675.6
125.00445	2.81203922775842e-7	18.4557583941802	489
471.10513	2.83370493675761e-7	-28.5491754443855	510
97.02949	2.84918482206904e-7	19.5512709714626	440.4
187.07248	2.84918482206904e-7	-23.3508562679668	300
301.06534	2.92848205767396e-7	22.4291102114442	529.2
79.9571	3.02904199202674e-7	18.6575469239771	487.8
435.20489	3.1064023531504e-7	-51.6719117325796	246.6
294.01528	3.14552766541598e-7	-37.85968520889	606
195.00617	3.22187246366767e-7	18.0166211190828	532.2
762.50843	3.22187246366767e-7	17.0089664075643	84
300.13019	3.64991548148532e-7	25.4653014298054	473.4
819.51844	3.64991548148532e-7	-37.3790434049872	78
152.9959	3.65644735002222e-7	-26.4327629916829	483
182.05414	3.75427201414073e-7	-19.2523885178849	218.4
136.02835	3.95945662222477e-7	-44.7295558644503	245.4
234.95667	4.05949904798882e-7	-52.5433732155723	247.8
337.05572	4.81170062975365e-7	50.035041040066	551.4
613.14022	5.04600043770726e-7	16.8852092451705	559.8
264.07405	5.34534262299104e-7	-32.7682093457167	252
302.09927	5.41552588224626e-7	-16.708163688797	516.6
73.02919	6.20999008379855e-7	22.6600250516083	439.8
317.09904	6.2872900359346e-7	-26.9211170211184	616.2
375.15384	6.2872900359346e-7	-34.2827819671182	477.6
130.05102	6.31858919257753e-7	-16.5676873345533	205.8
126.00317	6.43151354484261e-7	24.6180563633785	487.8
118.05104	6.48126706832273e-7	-15.5223206665695	475.8
491.03056	6.97097873966281e-7	16.6756838228402	439.8
195.03333	7.198961917781e-7	-16.6113147229328	195
180.06672	7.2160355650968e-7	-16.4367784061771	411.6
419.98807	7.23212335287852e-7	-14.5582653454123	741
434.13365	7.23212335287852e-7	39.7743367402129	437.4
308.09904	7.29774565956017e-7	15.0825974944025	459.6
176.03876	7.69417746318548e-7	-22.5648247390993	166.2
280.99714	7.88364190665993e-7	14.9322643876959	441
220.00887	8.3248465427037e-7	-20.4438070847444	245.4
277.05893	8.57412349571834e-7	21.2904332180551	483
821.53313	8.58629313221178e-7	-41.3976113048942	76.8
259.05727	8.82036908796611e-7	-17.1114503876754	501.6
445.05315	8.9797787872224e-7	-14.394863213736	587.4
196.06158	9.25601140912297e-7	-21.4720602769036	739.8
320.06257	9.93433121380276e-7	-18.1252013067639	741
299.25932	1.00177984877934e-6	26.0932323159305	84
83.01377	1.0723926305001e-6	21.2497285149246	440.4
274.9493	1.0723926305001e-6	-33.3107181833061	246.6
337.07813	1.09338802646699e-6	-26.1969329230676	536.4
329.24899	1.13677086430094e-6	16.8855275134031	82.8
576.20089	1.13677086430094e-6	-34.0262450878901	480
235.07267	1.13861480251219e-6	-15.6464779971573	357.6
252.05492	1.13861480251219e-6	28.0831606725499	434.4
285.0731	1.13861480251219e-6	-19.778705127798	624.6
315.08115	1.13861480251219e-6	15.6029279108466	520.2
327.2329	1.13861480251219e-6	18.3892541169517	82.8
111.95672	1.20031188000403e-6	-35.7614999726576	481.2
313.0447	1.26780836987991e-6	20.4801418092954	553.8
160.06168	1.37607446283117e-6	-23.7363760103727	228.6
203.00212	1.37607446283117e-6	15.3032379821564	170.4
195.08639	1.44719432132604e-6	13.3283531198715	846.6
464.31486	1.45828436216307e-6	-13.2511841726415	162
157.02558	1.46689268491433e-6	-33.7252994534405	330.6
140.01187	1.55875667566834e-6	-23.6360671895304	569.4
489.03032	1.55875667566834e-6	13.2076417199596	440.4
151.06126	1.57859794912195e-6	-16.4128399064824	384
829.57946	1.57859794912195e-6	-22.8635931165034	88.8
161.0457	1.65673746704386e-6	-28.3245009300446	175.8
361.068	1.71845095293507e-6	-30.20677180718	351.6
241.99105	1.74245913065715e-6	-30.824415751511	243.6
289.03326	1.88576643528061e-6	14.0062849278741	594.6
114.0561	1.88788216609353e-6	-21.0798837400476	387
301.13376	1.97012111919568e-6	16.2442429141202	472.8
205.08306	2.00108316227331e-6	25.1185477953395	439.2
275.12519	2.02107188250613e-6	-28.5082888547848	562.2
339.08589	2.06018195649906e-6	-28.2515027975228	350.4
557.18807	2.06018195649906e-6	-33.5363694021765	482.4
254.99033	2.07408827912304e-6	-30.5681386675202	245.4
509.28887	2.07408827912304e-6	-21.0795965325203	84
110.02483	2.10860931636933e-6	-12.8301265942343	741
303.0836	2.22348447353704e-6	-17.43120836954	622.8
163.04025	2.31474255859691e-6	-12.6154340269118	411.6
365.34241	2.4716434781534e-6	14.1951916154383	80.4
203.08272	2.49173110600654e-6	-12.823536236006	333.6
287.05238	2.5365249758922e-6	-16.0373311639397	407.4
422.08803	2.5365249758922e-6	-13.3906734656991	682.8
113.02448	2.81323772322689e-6	19.2678736774541	441
172.00995	2.90997091358953e-6	-12.3777829832458	543
268.96019	2.90997091358953e-6	13.0248116719131	420
308.97843	2.90997091358953e-6	29.1900911650102	616.2
324.04677	2.90997091358953e-6	-23.8602003100587	475.8
339.99241	2.90997091358953e-6	33.693328419897	673.2
401.08287	2.90997091358953e-6	-29.798543389136	240
134.0473	2.92606202222644e-6	13.6124092947854	166.2
211.00141	2.97376869071894e-6	29.6211226065966	457.8
273.96615	2.97376869071894e-6	12.0234891686455	533.4
373.10025	2.97376869071894e-6	34.5162368421983	617.4
331.2647	3.22994296701336e-6	20.4588017956016	82.8
84.04548	3.36699235703782e-6	-13.3915477646249	304.2
178.05994	3.36699235703782e-6	13.4501164305333	846.6
393.0809	3.4624050406683e-6	26.1960763791686	453.6
128.0744	3.46747310987044e-6	-11.7929965489196	274.8
465.98281	3.53540024958969e-6	-13.2906064835949	643.8
349.05442	3.53669123444739e-6	17.5992623229481	619.2
150.04219	3.65284158456693e-6	-17.2515550884506	349.2
149.03434	3.96436904134421e-6	-19.8710099705137	351.6
363.03521	3.96436904134421e-6	17.6013690636494	661.2
426.02249	3.96436904134421e-6	-11.5850247662436	564
146.04589000000001	3.99336193754931e-6	13.9589823729442	519
294.05004	4.04976319259851e-6	18.9709692366981	555.6
382.10055	4.04976319259851e-6	25.9387260613357	531
371.00871	4.15808628581782e-6	11.8291129335606	229.8
170.97713	4.18530303902359e-6	-19.1988291877035	625.8
417.02203	4.18530303902359e-6	17.0347393372935	609
387.16529	4.33859081303538e-6	-28.7492645980534	480
271.00426	4.38458678340311e-6	20.5539745460448	489.6
184.07883	4.39279844844728e-6	20.5279751909216	440.4
354.07251	4.5781487876319e-6	-30.4816619843681	478.8
231.02362	4.77133797611619e-6	-16.3230305683684	304.2
227.96074	4.79178682328589e-6	-12.9631113537513	274.8
468.12912	4.87758490534958e-6	27.7255446898872	529.2
387.15384	5.0550822506136e-6	-24.1024360444066	477.6
507.07166	5.0550822506136e-6	-12.0603041211966	409.2
213.01305	5.0748733483483e-6	-12.1376436789895	274.8
142.05094	5.17191131591554e-6	-21.5144401464693	532.2
174.10189	7.04769350961829e-6	14.413387004134	846.6
92.02549	7.06774212875978e-6	-11.2985475628469	245.4
143.04632	7.06774212875978e-6	17.6864106196651	363
283.06864	7.1788415641523e-6	19.1266231657716	403.2
309.50677	7.22641544619318e-6	-11.2759936465925	617.4
386.13207	7.48289033982159e-6	25.840489179799	277.8
496.98878	7.63317136747113e-6	26.4963166379251	661.2
804.57572	7.64357750726056e-6	-15.0362729670724	90.6
328.93728	7.65657819357984e-6	22.8152526502149	556.2
391.18033	7.7457976516818e-6	16.1449713047007	846
288.10921	7.77193092538022e-6	10.7021879589833	210
104.03534	7.93788698332643e-6	24.096244025455	533.4
205.03542	8.50162117190325e-6	-11.4506613164557	639.6
277.98856	8.50162117190325e-6	-18.7274994577848	351.6
543.35016	8.89950085323716e-6	-15.0624318401059	96.6
866.55515	9.0859094288579e-6	12.666529185383	85.8
251.07881	9.15875399206585e-6	-25.6934382066797	221.4
252.00934	9.18737490290151e-6	-24.8248853864606	353.4
313.05124	9.18737490290151e-6	12.0446155458346	488.4
235.0726	9.70462110365256e-6	-15.5476367013583	279
312.01154	1.00483876832726e-5	-10.4546164731583	457.8
164.07193	1.0195916474926e-5	-10.7745244132057	250.8
273.99249	1.080062992435e-5	-10.4482562508219	304.2
228.06433	1.10403609280407e-5	-25.1684342924093	476.4
192.03379	1.10919863276098e-5	-18.9013188493699	179.4
152.01179	1.2027788161245e-5	-24.0154287849528	529.2
353.94272	1.2027788161245e-5	-10.1597977059521	409.2
179.05609	1.21239465569806e-5	16.5928893496614	577.8
267.07238	1.24466584044975e-5	-16.115440491352	525.6
299.12261	1.25172939482978e-5	-10.8027495278002	304.2
319.04371	1.25172939482978e-5	-18.0349708972088	603
341.14998	1.25172939482978e-5	10.1126828816357	477.6
489.14273	1.25172939482978e-5	-12.0742039336791	526.8
338.989	1.25534533644821e-5	22.9962023918092	673.8
313.00447	1.25858314312011e-5	11.8611207889574	367.2
364.09227	1.25858314312011e-5	10.9391928575873	486.6
612.17064	1.25858314312011e-5	-20.5399902221876	240.6
471.07849	1.28536758464961e-5	25.5073586742745	617.4
666.45059	1.28536758464961e-5	15.557570862835	84
146.08237	1.28833534466322e-5	-17.9666028600253	199.2
147.04527	1.28833534466322e-5	-11.2910515957367	250.8
173.10449	1.28833534466322e-5	12.7799430383329	845.4
425.13655	1.28833534466322e-5	-22.7902702902251	534.6
201.12457	1.39701804270537e-5	14.4691242350365	367.2
206.95834	1.39701804270537e-5	-13.1741936469623	536.4
238.02546	1.39701804270537e-5	-9.82792510762295	410.4
505.98878	1.39701804270537e-5	-10.0090008256612	613.2
894.58637	1.39701804270537e-5	9.99968000044119	87.6
454.11162	1.40192135488901e-5	-16.9321055734847	169.8
295.26422	1.46466250807103e-5	12.3694200880501	83.4
231.0275	1.49563096287882e-5	-9.7224151767455	570.6
423.15739	1.50666848443598e-5	-19.5561502316588	480
114.08887	1.52740652743923e-5	-12.3337753717004	387
335.08982	1.58227818165211e-5	-10.2327441289354	304.2
128.03541	1.65791027964389e-5	-14.2901859983618	274.8
119.05029	1.67545104599624e-5	-10.7919884871642	410.4
275.08881	1.75970738587844e-5	12.5930818198876	619.2
72.00883	1.76132850784824e-5	-9.75614881091421	475.8
298.98189	1.76754046751407e-5	13.1245270823842	441
497.14382	1.77733357309301e-5	-20.5208826619669	252.6
134.06125	1.79054420934071e-5	-10.9674071341662	410.4
