"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Purine metabolism","80","46","39","39.794","0.00089461","0.0021669","0.19326","0","0","0.08588256","0.2080224","1","P1","EC00012;EC00013;EC0006;EC0007;EC000137;EC00031;EC00032;EC00074;EC000260;EC000249;EC00097;EC00098;EC000201;EC000250;EC000251;EC00075;EC00072;EC00066;EC000218;EC000220;EC00021;EC000115;EC000116;EC000117;EC000235;EC00026;EC00064;EC00071;EC000221;EC000222;EC000256;EC000261;EC000101;EC00063;EC000237;EC000107;EC000108;EC000145;EC000114;EC000176;EC000174;EC00038;EC000142;EC000143;EC00010;EC00028;EC00096;EC00041;EC00042"
"Alanine and Aspartate Metabolism","30","19","17","13.928","0.072128","0.16102","0.20988","6","0.06","1","1","1","P2","EC00012;EC00013;EC00011;EC0006;EC0007;EC00010;EC00036;EC00066;EC00038;EC000202;EC00022;EC00023;EC0001;EC000238;EC00021;EC00078;EC00028"
"Selenoamino acid metabolism","35","5","5","6.6323","0.074045","0.23188","0.21034","4","0.04","1","1","1","P3","EC0006;EC0007;EC00039;EC00040;EC00058;EC00097;EC00098;EC00022;EC00023"
"Prostaglandin formation from arachidonate","78","9","9","8.622","0.096231","0.24304","0.21587","3","0.03","1","1","1","P4","EC000148;EC000279;EC000201;EC00029;EC00099;EC0006;EC0007;EC0001;EC00011;EC00041;EC00042"
"Nitrogen metabolism","6","4","4","3.3162","0.10636","0.40395","0.21846","8","0.08","1","1","1","P5","EC00012;EC00013;EC00078;EC00038;EC00028"
"Hexose phosphorylation","20","13","13","5.9691","0.10698","0.30628","0.21862","4","0.04","1","1","1","P6","EC00016;EC00018;EC00051;EC00072;EC00085;EC000181;EC00096;EC000132"
"Vitamin B9 (folate) metabolism","33","7","6","5.9691","0.10698","0.30628","0.21862","2","0.02","1","1","1","P7","EC00012;EC00013;EC000256;EC00039;EC00040;EC000249;EC000202;EC00021"
"Urea cycle/amino group metabolism","85","26","19","19.234","0.11679","0.20969","0.22115","21","0.21","1","1","1","P8","EC00012;EC00013;EC00011;EC00076;EC000213;EC00036;EC000243;EC000171;EC00043;EC000123;EC000238;EC00022;EC00023;EC0001;EC00021;EC00066;EC000101;EC000152;EC000153;EC000127;EC00028;EC00047"
"D4&E4-neuroprostanes formation","37","3","3","2.6529","0.16714","0.54124","0.23475","3","0.03","1","1","1","P9","EC000201;EC00041;EC00042;EC000148"
"Arginine and Proline Metabolism","45","25","20","15.918","0.17517","0.3039","0.23702","19","0.19","1","1","1","P10","EC00012;EC00013;EC00011;EC00076;EC00010;EC00036;EC000243;EC000278;EC00043;EC000238;EC00066;EC0001;EC00075;EC000224;EC000152;EC000153;EC00038;EC00028"
