"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Urea cycle/amino group metabolism","85","32","27","29.243","0.0055127","0.013591","0.6498","12","0.12","0.5457573","1","1","P1","EC00014;EC00015;EC00013;EC000103;EC000325;EC00046;EC000177;EC000381;EC000382;EC000366;EC000403;EC000250;EC00055;EC000167;EC000376;EC00030;EC00031;EC0001;EC00028;EC00029;EC00090;EC000181;EC000182;EC000183;EC000244;EC000141;EC000218;EC000219;EC000220;EC000221;EC000322;EC000316;EC000264;EC000174;EC00037;EC00059"
"Purine metabolism","80","49","43","54.499","0.032964","0.052724","0.65811","22","0.22","1","1","1","P2","EC00014;EC00015;EC0006;EC0008;EC000193;EC00041;EC00042;EC000101;EC000412;EC000413;EC000390;EC000136;EC000137;EC000303;EC000393;EC000394;EC000102;EC000410;EC000244;EC00096;EC000235;EC00090;EC000332;EC000334;EC00028;EC00029;EC000159;EC000160;EC000161;EC000368;EC00035;EC00086;EC00095;EC000336;EC000337;EC000338;EC000414;EC000400;EC000401;EC000415;EC000141;EC00083;EC000375;EC000150;EC000151;EC000205;EC000207;EC000157;EC000257;EC000253;EC00048;EC000202;EC000204;EC00011;EC00012;EC00037;EC000134;EC00052;EC00053;EC00054"
"Arginine and Proline Metabolism","45","26","23","22.597","0.033621","0.072307","0.65831","44","0.44","1","1","1","P3","EC00014;EC00015;EC00013;EC000103;EC00011;EC00012;EC00046;EC000177;EC000381;EC000382;EC000366;EC000459;EC00055;EC000376;EC00090;EC0001;EC000102;EC000343;EC000344;EC000345;EC000218;EC000219;EC000220;EC000221;EC00032;EC00048;EC00037"
"Vitamin B9 (folate) metabolism","33","9","8","9.3047","0.067337","0.18461","0.66866","23","0.23","1","1","1","P4","EC00014;EC00015;EC000400;EC000401;EC00050;EC00051;EC000390;EC000304;EC00028;EC00029;EC000226;EC000279"
"Glycine, serine, alanine and threonine metabolism","88","39","30","38.548","0.092417","0.14458","0.67644","57","0.57","1","1","1","P5","EC00014;EC00015;EC00013;EC0006;EC0008;EC00011;EC00012;EC000181;EC000182;EC000183;EC0001;EC00046;EC000299;EC000378;EC000123;EC000124;EC000125;EC000148;EC000149;EC000224;EC000225;EC000292;EC000293;EC000167;EC00055;EC000218;EC000219;EC000220;EC000221;EC00059;EC00050;EC00051;EC00075;EC00076;EC000247;EC000127;EC00039;EC00030;EC00031;EC00028;EC00029;EC000114"
"Biopterin metabolism","22","7","7","3.3231","0.10392","0.39968","0.68004","13","0.13","1","1","1","P6","EC000503;EC000458;EC00061;EC00062;EC00035"
"D4&E4-neuroprostanes formation","37","3","3","3.3231","0.10392","0.39968","0.68004","3","0.03","1","1","1","P7","EC000303;EC00052;EC00053;EC00054;EC000210"
"Porphyrin metabolism","43","14","10","14.622","0.12902","0.24883","0.68795","14","0.14","1","1","1","P8","EC000304;EC000218;EC000219;EC000220;EC000221;EC000129;EC0001;EC00028;EC00029;EC0003;EC00052;EC00053;EC00054;EC000280;EC000281;EC000210;EC000118"
"Beta-Alanine metabolism","20","9","7","9.9693","0.14418","0.30555","0.69276","31","0.31","1","1","1","P9","EC00014;EC00015;EC0001;EC000181;EC000182;EC000183;EC00030;EC00031;EC000125;EC00037;EC00011;EC00012"
"Aspartate and asparagine metabolism","114","45","37","39.877","0.17572","0.25003","0.70287","74","0.74","1","1","1","P10","EC00014;EC00015;EC00013;EC0006;EC0008;EC000103;EC000218;EC000219;EC000220;EC000221;EC00075;EC00076;EC0001;EC000456;EC000457;EC000106;EC000107;EC000300;EC000315;EC000344;EC000345;EC000385;EC00059;EC000181;EC000182;EC000183;EC00037;EC00046;EC00048;EC000406;EC000288;EC000291;EC000343;EC000305;EC000307;EC000177;EC000366;EC000459;EC00039;EC00028;EC00029;EC00036"
