m.z	p.value	t.score	rt
192.08777	4.95649691401443e-16	227.535729093025	292.8
374.10412	4.95649691401443e-16	207.987248871429	617.4
453.06699	4.95649691401443e-16	214.851033318808	717
404.14251	1.1664000004728e-15	178.276237205182	288.6
186.04643	3.26745452130539e-15	156.690796309667	617.4
374.11369	1.05663550013738e-14	142.255982488155	507.6
535.28145	3.7085338997806e-14	111.731396631177	280.2
239.07889	5.08471564042492e-14	144.871609982149	187.8
125.04696	8.88880974079977e-14	139.132229699	280.2
388.1841	8.88880974079977e-14	117.863979034244	283.2
257.08938	1.96059996977262e-13	189.652412387931	280.2
397.11454	2.5176261212227e-13	-106.900209764442	533.4
333.0943	3.03639500999124e-13	151.006738767448	332.4
359.01509	3.19867815905482e-13	85.5915915795429	586.2
359.03776	3.19867815905482e-13	86.980841027476	552.6
166.05145	3.35077518153401e-13	-123.717665040162	231
125.0469	4.28853687956583e-13	160.10099063731	551.4
597.18115	4.28853687956583e-13	-85.4045669733353	481.2
364.11879	4.59687273352516e-13	105.464841731461	470.4
236.99845	4.91224164592491e-13	-96.8145775065839	247.8
160.06157	5.00579308101712e-13	-85.6774611077782	531
290.96801	1.05789668969319e-12	137.967356769693	660
675.11861	1.08457722330232e-12	144.352581667872	550.8
644.13961	1.113427269545e-12	72.4830545341663	550.8
437.98239	1.69950663314558e-12	71.3522798001	552
178.05106	1.94870271799056e-12	99.0472044965406	193.2
436.11327	1.94870271799056e-12	89.1397372715195	488.4
428.10922	3.58325119530793e-12	-97.9788593543958	481.8
427.19482	3.86382019019316e-12	61.5444341968349	283.2
383.02649	4.4546115136937e-12	119.168946091409	598.8
228.02799	4.47988153760399e-12	197.646383060834	544.2
197.00572	5.82897583439853e-12	-96.0132558507188	247.8
260.07756	6.01025377710764e-12	163.780267470114	525.6
380.01562	8.37264008302207e-12	64.526268092261	630
95.96185	1.1577010192167401e-011	-83.6892192283472	529.2
258.0926	1.1577010192167401e-011	140.594702094741	280.2
387.13574	1.1577010192167401e-011	103.617044665627	277.8
450.09122	1.1577010192167401e-011	-83.0534014546248	481.2
442.12488	1.50231349959279e-11	-93.7947088975793	481.2
321.10368	2.01547587313506e-11	-69.7489421152767	481.2
243.05685	2.92696150922507e-11	62.8432678341915	424.2
328.06863	3.1424244797822e-11	73.537626107863	485.4
929.29929	3.21442610200919e-11	47.9148831176922	633
125.00677	4.33393436898971e-11	46.4171603740696	487.8
156.99072	4.61181589368812e-11	-69.8928419712862	483
226.04867	4.64296006470286e-11	-50.6813892474676	481.2
438.11903	4.64296006470286e-11	108.653580110465	505.8
497.99195	4.64296006470286e-11	88.2198206382224	661.2
429.11269	5.05178300694504e-11	-66.1321214725783	481.8
514.20211	5.12447220588286e-11	-46.1656704045627	481.8
179.05434	5.15749797569191e-11	80.5383354999322	193.2
286.05293	5.55133266509484e-11	79.7100544236054	600
335.0747	6.64077520542434e-11	49.8874945767134	519
575.19864	6.8113599702773e-11	-87.0558054052277	481.2
320.08496	7.70656347770723e-11	109.584346102122	280.8
324.07505	7.8070978214155e-11	-114.224305161383	247.8
513.19858	9.93227521632711e-11	-92.1388529202908	481.2
408.11396	1.08410956539025e-10	73.1543541707628	278.4
242.08003	1.21762791598937e-10	-53.7456762884128	402.6
119.03497	1.269973903822e-10	46.5801813138818	440.4
236.97831	1.7350190411646e-10	-62.6209102665573	481.2
244.05921	1.73815652914266e-10	-74.9668208174329	529.2
126.05033	2.1683065081254e-10	74.6525918507365	280.8
134.06123	3.40371316411498e-10	55.9708949636255	193.2
293.06617	3.77351429964999e-10	87.1391560333752	282
308.03808	3.84491179863123e-10	-86.8418909484876	253.8
101.02444	4.17700085910778e-10	35.3197080868667	440.4
195.05105	6.58603412222957e-10	-45.3799598741593	460.8
122.98533	6.66891498365347e-10	-85.534348207112	529.2
236.02363	6.66891498365347e-10	-35.1867611162472	630
254.989	7.12894182344509e-10	-82.9208400966608	481.2
167.99726	9.98983839184072e-10	-37.9883677375068	551.4
181.07187	1.0813909688778e-9	38.9871165023991	441
241.0121	1.13817263456877e-9	36.4045783768156	484.2
340.07802	1.16014589728439e-9	-83.4185174166788	481.2
147.04306	1.20997396919944e-9	-31.7768126241071	303
168.98134	1.21557943220292e-9	-33.1674464538709	625.8
182.07496	1.21557943220292e-9	38.7301402698025	441
147.03	1.34718096892503e-9	32.2586307774896	553.8
360.04171	1.34718096892503e-9	60.9314046894147	551.4
439.98758	1.34718096892503e-9	-88.9079519297373	628.8
175.03607	1.35356517875024e-9	-30.564797297219	610.2
226.96392	1.90844913667918e-9	-74.7421605797383	483
302.53369	1.99760980107546e-9	-29.726994497013	555.6
215.05188	2.0092462173041e-9	-50.2844251707989	534.6
429.10435	2.04973760729253e-9	-52.3313224430208	534.6
125.01068	2.36101431393127e-9	28.7486583366888	487.8
182.05878	2.36188916495158e-9	-73.436323936515	529.2
832.30163	2.36188916495158e-9	-71.0349589770357	481.2
436.98086	2.41449436802566e-9	123.411099730158	552.6
336.06179	2.47070747516009e-9	-71.6261775239773	579
243.08295	2.48065429383284e-9	-52.5381350571505	481.2
241.05995	2.55141607644897e-9	81.3911140099627	424.2
183.07568	3.05109887150497e-9	39.252458782351	441
212.00476	3.36909253707333e-9	27.774936079787	418.8
164.06456	3.55226302787019e-9	28.8100772089857	440.4
429.05826	4.43653198677288e-9	-37.1793065335376	549.6
147.04932	4.49488239645811e-9	-28.3349564847342	303
312.13028	5.32516666592759e-9	35.000660590311	474.6
343.09115	5.45870813408718e-9	-32.2671841958655	534.6
386.06248	5.92757970548409e-9	-45.6260930807186	540
294.01528	6.8606893002665304e-009	-33.5899576828551	606
197.02201	6.91541200232619e-9	-61.7260896977516	481.2
170.94613	7.15407627482177e-9	-62.8530688482385	481.2
279.04881	7.17754962171332e-9	26.6205836441819	441
300.04908	7.24104452117793e-9	-43.1944129752776	538.8
163.06141	8.14961317919837e-9	40.3097976332699	440.4
124.00738	8.22162341336247e-9	28.6894564527185	487.8
130.05098	8.72698254628487e-9	-27.1923091714158	477.6
245.97132	9.34011280251422e-9	-24.4686476541646	303
256.09576	9.95877334156677e-9	-66.1636812862887	481.2
843.5584	1.09404981387841e-8	24.4658944209651	87
346.11927	1.1947041393613e-8	-54.4121219425744	246.6
