Pathway,Mummichog_Pvals,GSEA_Pvals,Combined_Pvals,Run,N_features
Purine metabolism,0.08132,0.01667,0.01031,1,1927
Vitamin B9 (folate) metabolism,0.0489,0.8723,0.1772,1,1927
Purine metabolism,0.2006,0.01282,0.01791,2,1927
Vitamin B9 (folate) metabolism,0.03725,0.5319,0.09751,2,1927
Purine metabolism,0.04425,0.05682,0.01757,3,1927
Vitamin B9 (folate) metabolism,0.06486,0.9524,0.2338,3,1927
Purine metabolism,0.1375,0.0339,0.02969,4,1927
Vitamin B9 (folate) metabolism,0.1341,0.6226,0.2908,4,1927
Purine metabolism,0.2488,0.0125,0.02107,5,1927
Vitamin B9 (folate) metabolism,0.242,0.5085,0.3808,5,1927
Purine metabolism,0.1605,0.01639,0.01826,6,1927
Vitamin B9 (folate) metabolism,0.1164,0.8261,0.3214,6,1927
Purine metabolism,0.06922,0.01449,0.00793,7,1927
Vitamin B9 (folate) metabolism,0.05987,0.3276,0.09673,7,1927
Purine metabolism,0.08762,0.04762,0.02703,8,1927
Vitamin B9 (folate) metabolism,0.03379,0.8525,0.131,8,1927
Purine metabolism,0.4001,0.141,0.2186,9,1927
Vitamin B9 (folate) metabolism,0.1001,0.5962,0.228,9,1927
Purine metabolism,0.2008,0.03797,0.0448,10,1927
Vitamin B9 (folate) metabolism,0.05068,0.6735,0.1494,10,1927
Purine metabolism,0.4405,0.08955,0.167,11,1927
Vitamin B9 (folate) metabolism,0.04906,0.3276,0.08246,11,1927
Purine metabolism,0.09984,0.02667,0.01845,12,1927
Vitamin B9 (folate) metabolism,0.04696,0.2381,0.06143,12,1927
Purine metabolism,0.09317,0.01333,0.00955,13,1927
Vitamin B9 (folate) metabolism,0.1293,0.8571,0.3547,13,1927
Purine metabolism,0.3128,0.0641,0.09843,14,1927
Vitamin B9 (folate) metabolism,0.2733,0.95,0.6098,14,1927
Purine metabolism,0.1752,0.1961,0.1502,15,1927
Vitamin B9 (folate) metabolism,0.2309,0.5,0.3646,15,1927
Purine metabolism,0.3267,0.05063,0.08438,16,1927
Vitamin B9 (folate) metabolism,0.06479,0.5417,0.1526,16,1927
Purine metabolism,0.2612,0.01515,0.02585,17,1927
Vitamin B9 (folate) metabolism,0.0489,0.5833,0.13,17,1927
Purine metabolism,0.14,0.0137,0.01392,18,1927
Vitamin B9 (folate) metabolism,0.358,0.6818,0.5883,18,1927
Purine metabolism,0.3647,0.05263,0.09508,19,1927
Vitamin B9 (folate) metabolism,0.6262,0.48,0.6619,19,1927
Purine metabolism,0.09492,0.09524,0.05158,20,1927
Vitamin B9 (folate) metabolism,0.2701,0.6327,0.4728,20,1927
Purine metabolism,0.1437,0.1077,0.07998,21,1927
Vitamin B9 (folate) metabolism,0.08786,0.7222,0.2384,21,1927
Purine metabolism,0.04416,0.01408,0.00521,22,1927
Vitamin B9 (folate) metabolism,0.1524,0.6182,0.3168,22,1927
Purine metabolism,0.09492,0.01493,0.01071,23,1927
Vitamin B9 (folate) metabolism,0.06916,0.4468,0.1383,23,1927
Purine metabolism,0.217,0.1781,0.1644,24,1927
Vitamin B9 (folate) metabolism,0.2767,0.9138,0.6005,24,1927
Purine metabolism,0.2881,0.3857,0.3552,25,1927
Vitamin B9 (folate) metabolism,0.1662,0.7937,0.3991,25,1927
Purine metabolism,0.065,0.02532,0.01219,26,1927
Vitamin B9 (folate) metabolism,0.1765,0.6667,0.3695,26,1927
Purine metabolism,0.2254,0.08065,0.09102,27,1927
Vitamin B9 (folate) metabolism,0.04408,0.68,0.1351,27,1927
Purine metabolism,0.3561,0.1235,0.1814,28,1927
Vitamin B9 (folate) metabolism,0.1197,0.2667,0.1419,28,1927
Purine metabolism,0.3909,0.07407,0.1315,29,1927
Vitamin B9 (folate) metabolism,0.2129,0.5122,0.3507,29,1927
Purine metabolism,0.1648,0.03226,0.03316,30,1927
Vitamin B9 (folate) metabolism,0.03606,0.403,0.07603,30,1927
Purine metabolism,0.05193,0.02469,0.00982,31,1927
Vitamin B9 (folate) metabolism,0.6277,0.9333,0.8991,31,1927
Purine metabolism,0.4254,0.02632,0.06149,32,1927
Vitamin B9 (folate) metabolism,0.06265,0.7619,0.193,32,1927
Purine metabolism,0.0793,0.08219,0.03932,33,1927
Vitamin B9 (folate) metabolism,0.1906,0.7761,0.4306,33,1927
Purine metabolism,0.4118,0.2727,0.3578,34,1927
Vitamin B9 (folate) metabolism,0.1789,0.2609,0.1897,34,1927
Purine metabolism,0.01342,0.02941,0.00349,35,1927
Vitamin B9 (folate) metabolism,0.4063,0.6792,0.6313,35,1927
Purine metabolism,0.0121,0.01266,0.0015,36,1927
Vitamin B9 (folate) metabolism,0.0538,0.4348,0.1112,36,1927
Purine metabolism,0.0752,0.03797,0.01958,37,1927
Vitamin B9 (folate) metabolism,0.1906,0.7288,0.4132,37,1927
Purine metabolism,0.0744,0.01282,0.00759,38,1927
Vitamin B9 (folate) metabolism,0.06907,0.5385,0.1596,38,1927
Purine metabolism,0.3451,0.1111,0.1634,39,1927
Vitamin B9 (folate) metabolism,0.1163,0.7115,0.2889,39,1927
Purine metabolism,0.5955,0.2222,0.4,40,1927
Vitamin B9 (folate) metabolism,0.1038,0.6,0.2351,40,1927
Purine metabolism,0.09661,0.04762,0.02936,41,1927
Vitamin B9 (folate) metabolism,0.444,0.6981,0.673,41,1927
Purine metabolism,0.2493,0.01389,0.02308,42,1927
Vitamin B9 (folate) metabolism,0.3143,0.7358,0.5698,42,1927
Purine metabolism,0.1039,0.04545,0.03002,43,1927
Vitamin B9 (folate) metabolism,0.618,0.8667,0.87,43,1927
Purine metabolism,0.1608,0.129,0.1011,44,1927
Vitamin B9 (folate) metabolism,0.09408,0.7556,0.259,44,1927
Purine metabolism,0.114,0.02703,0.0209,45,1927
Vitamin B9 (folate) metabolism,0.05798,0.5614,0.144,45,1927
Purine metabolism,0.5036,0.03448,0.08775,46,1927
Vitamin B9 (folate) metabolism,0.03451,0.3636,0.06748,46,1927
Purine metabolism,0.4479,0.03704,0.08459,47,1927
Vitamin B9 (folate) metabolism,0.04954,0.5397,0.1236,47,1927
Purine metabolism,0.2704,0.01538,0.02696,48,1927
Vitamin B9 (folate) metabolism,0.02449,0.4915,0.06524,48,1927
Purine metabolism,0.5084,0.02273,0.0631,49,1927
Vitamin B9 (folate) metabolism,0.07054,0.3889,0.1261,49,1927
Purine metabolism,0.2035,0.03077,0.03802,50,1927
Vitamin B9 (folate) metabolism,0.6978,0.9661,0.94,50,1927
Purine metabolism,0.1548,0.0641,0.05568,51,1927
Vitamin B9 (folate) metabolism,0.5677,0.7885,0.8074,51,1927
Purine metabolism,0.1025,0.01471,0.01131,52,1927
Vitamin B9 (folate) metabolism,0.4423,0.9796,0.7956,52,1927
Purine metabolism,0.2708,0.03333,0.05151,53,1927
Vitamin B9 (folate) metabolism,0.01805,0.3617,0.03938,53,1927
Purine metabolism,0.2831,0.025,0.04211,54,1927
Vitamin B9 (folate) metabolism,0.3741,0.9574,0.7259,54,1927
Purine metabolism,0.1326,0.03614,0.03038,55,1927
Vitamin B9 (folate) metabolism,0.232,0.7424,0.4752,55,1927
Purine metabolism,0.08207,0.07273,0.03654,56,1927
Vitamin B9 (folate) metabolism,0.06337,0.84,0.2094,56,1927
Purine metabolism,0.417,0.1,0.1742,57,1927
Vitamin B9 (folate) metabolism,0.2332,0.2593,0.2301,57,1927
Purine metabolism,0.02937,0.03659,0.00842,58,1927
Vitamin B9 (folate) metabolism,0.04854,0.5,0.1145,58,1927
Purine metabolism,0.05483,0.01818,0.00789,59,1927
Vitamin B9 (folate) metabolism,0.03212,0.9661,0.1388,59,1927
Purine metabolism,0.07475,0.02597,0.01406,60,1927
Vitamin B9 (folate) metabolism,0.03779,0.2712,0.05719,60,1927
Purine metabolism,0.0696,0.03093,0.01537,61,1927
Vitamin B9 (folate) metabolism,0.02276,0.5938,0.07168,61,1927
Purine metabolism,0.00882,0.01266,0.00113,62,1927
Vitamin B9 (folate) metabolism,0.03893,0.4182,0.08332,62,1927
Purine metabolism,0.02279,0.04839,0.00861,63,1927
Vitamin B9 (folate) metabolism,0.2119,0.8776,0.4988,63,1927
Purine metabolism,0.05262,0.03614,0.01382,64,1927
Vitamin B9 (folate) metabolism,0.1888,0.5,0.3172,64,1927
Purine metabolism,0.308,0.0137,0.02729,65,1927
Vitamin B9 (folate) metabolism,0.4082,0.9138,0.7408,65,1927
Purine metabolism,0.2585,0.4918,0.3893,66,1927
Vitamin B9 (folate) metabolism,0.08848,0.5581,0.1979,66,1927
Purine metabolism,0.4116,0.04598,0.09402,67,1927
Vitamin B9 (folate) metabolism,0.04008,0.5763,0.1101,67,1927
Purine metabolism,0.01943,0.01818,0.00316,68,1927
Vitamin B9 (folate) metabolism,0.07746,0.38,0.1332,68,1927
Purine metabolism,0.01336,0.01538,0.00195,69,1927
Vitamin B9 (folate) metabolism,0.02315,0.2553,0.03624,69,1927
Purine metabolism,0.2447,0.2716,0.2467,70,1927
Vitamin B9 (folate) metabolism,0.1518,0.6286,0.3196,70,1927
Purine metabolism,0.3302,0.05797,0.09487,71,1927
Vitamin B9 (folate) metabolism,0.04006,0.8571,0.1501,71,1927
Purine metabolism,0.1608,0.04,0.0389,72,1927
Vitamin B9 (folate) metabolism,0.0407,0.75,0.137,72,1927
Purine metabolism,0.09593,0.01515,0.01095,73,1927
Vitamin B9 (folate) metabolism,0.03569,0.5714,0.09977,73,1927
Purine metabolism,0.01233,0.01235,0.00149,74,1927
Vitamin B9 (folate) metabolism,0.08748,0.5,0.1806,74,1927
Purine metabolism,0.105,0.1026,0.05957,75,1927
Vitamin B9 (folate) metabolism,0.05282,0.5814,0.1377,75,1927
Purine metabolism,0.1805,0.01205,0.01551,76,1927
Vitamin B9 (folate) metabolism,0.2287,0.8182,0.5008,76,1927
Purine metabolism,0.4976,0.06667,0.1462,77,1927
Vitamin B9 (folate) metabolism,0.2588,0.4906,0.389,77,1927
Purine metabolism,0.5114,0.03571,0.09136,78,1927
Vitamin B9 (folate) metabolism,0.145,0.5111,0.2669,78,1927
Purine metabolism,0.03629,0.03774,0.0104,79,1927
Vitamin B9 (folate) metabolism,0.1535,0.8667,0.4014,79,1927
Purine metabolism,0.02157,0.01205,0.00241,80,1927
Vitamin B9 (folate) metabolism,0.1505,0.3571,0.2108,80,1927
Purine metabolism,0.01462,0.01299,0.00182,81,1927
Vitamin B9 (folate) metabolism,0.1014,0.2899,0.133,81,1927
Purine metabolism,0.4063,0.03175,0.06903,82,1927
Vitamin B9 (folate) metabolism,0.5973,0.8868,0.8663,82,1927
Purine metabolism,0.07805,0.01333,0.00819,83,1927
Vitamin B9 (folate) metabolism,0.05369,0.6441,0.1509,83,1927
Purine metabolism,0.01086,0.01124,0.00122,84,1927
Vitamin B9 (folate) metabolism,0.2289,0.4915,0.3583,84,1927
Purine metabolism,0.1582,0.02632,0.02698,85,1927
Vitamin B9 (folate) metabolism,0.2191,0.8246,0.4898,85,1927
Purine metabolism,0.07854,0.01176,0.00738,86,1927
Vitamin B9 (folate) metabolism,0.5538,0.7091,0.7598,86,1927
Purine metabolism,0.5362,0.1111,0.2276,87,1927
Vitamin B9 (folate) metabolism,0.1938,0.8409,0.4586,87,1927
Purine metabolism,0.05104,0.02817,0.01085,88,1927
Vitamin B9 (folate) metabolism,0.06908,0.3542,0.1153,88,1927
Purine metabolism,0.2213,0.1111,0.1157,89,1927
Vitamin B9 (folate) metabolism,0.09741,0.5818,0.2194,89,1927
Purine metabolism,0.1264,0.01389,0.0129,90,1927
Vitamin B9 (folate) metabolism,0.09195,0.4464,0.1721,90,1927
Purine metabolism,0.162,0.01064,0.0127,91,1927
Vitamin B9 (folate) metabolism,0.03857,0.6923,0.1234,91,1927
Purine metabolism,0.2161,0.4098,0.3032,92,1927
Vitamin B9 (folate) metabolism,0.05221,0.6491,0.1486,92,1927
Purine metabolism,0.2224,0.0122,0.01875,93,1927
Vitamin B9 (folate) metabolism,0.1198,0.274,0.1449,93,1927
Purine metabolism,0.07061,0.09333,0.03969,94,1927
Vitamin B9 (folate) metabolism,0.3383,0.8364,0.6402,94,1927
Purine metabolism,0.1899,0.07246,0.07272,95,1927
Vitamin B9 (folate) metabolism,0.02539,0.5833,0.07719,95,1927
Purine metabolism,0.1328,0.01111,0.0111,96,1927
Vitamin B9 (folate) metabolism,0.07366,0.7121,0.2071,96,1927
Purine metabolism,0.00252,0.02817,7.5e-4,97,1927
Vitamin B9 (folate) metabolism,0.08889,0.5862,0.206,97,1927
Purine metabolism,0.04299,0.0119,0.00439,98,1927
Vitamin B9 (folate) metabolism,0.3083,0.3636,0.3574,98,1927
Purine metabolism,0.1924,0.01389,0.01851,99,1927
Vitamin B9 (folate) metabolism,0.237,0.8182,0.512,99,1927
Purine metabolism,0.0248,0.01205,0.00272,100,1927
Vitamin B9 (folate) metabolism,0.01923,0.7436,0.07503,100,1927
Purine metabolism,0.08663,0.03333,0.01977,101,1927
Vitamin B9 (folate) metabolism,0.2445,0.9091,0.5566,101,1927
Purine metabolism,0.0367,0.1286,0.03,102,1927
Vitamin B9 (folate) metabolism,0.03386,0.8889,0.1355,102,1927
