feature,mzmed,rtmed,NEG_1_QC_pool_n1.mzXML,NEG_2_WT_b1_t1.mzXML,NEG_3_PM-31_b1_t1.mzXML,NEG_4_PM-37_b1_t1.mzXML,NEG_5_KO-6_b1_t1.mzXML,NEG_6_KO-22_b1_t1.mzXML,NEG_7_QC_pool_n2.mzXML,NEG_8_WT_b2_t1.mzXML,NEG_9_PM-31_b2_t1.mzXML,NEG_10_PM-37_b2_t1.mzXML,NEG_11_KO-6_b2_t1.mzXML,NEG_12_KO-22_b2_t1.mzXML,NEG_13_QC_pool_n3.mzXML,NEG_14_WT_b3_t1.mzXML,NEG_15_PM-31_b3_t1.mzXML,NEG_16_PM-37_b3_t1.mzXML,NEG_17_KO-6_b3_t1.mzXML,NEG_18_KO-22_b3_t1.mzXML,NEG_19_QC_pool_n4.mzXML,NEG_20_WT_b1_t2.mzXML,NEG_21_PM-31_b1_t2.mzXML,NEG_22_PM-37_b1_t2.mzXML,NEG_23_KO-6_b1_t2.mzXML,NEG_24_KO-22_b1_t2.mzXML,NEG_25_QC_pool_n5.mzXML,NEG_26_WT_b2_t2.mzXML,NEG_27_PM-31_b2_t2.mzXML,NEG_28_PM-37_b2_t2.mzXML,NEG_29_KO-6_b2_t2.mzXML,NEG_30_KO-22_b2_t2.mzXML,NEG_31_QC_pool_n6.mzXML,NEG_32_WT_b3_t2.mzXML,NEG_33_PM-31_b3_t2.mzXML,NEG_34_PM-37_b3_t2.mzXML,NEG_35_KO-6_b3_t2.mzXML,NEG_36_KO-22_b3_t2.mzXML,NEG_37_QC_pool_n7.mzXML
FT0001,72.0088265059409,476.06494140625,298940.1,318647.6,345603.6,263576.1,218850.1,264360.9,312543.1,330063.8,366354.3,261337.9,238690.4,261561.4,292929.4,350832.4,321696.7,295005.6,230161.8,252272.9,298722.0,306830.3,366762.3,276117.2,250602.4,268150.1,295935.1,346068.2,375966.5,272553.6,253857.9,289955.7,310450.6,340810.7,355647.4,291132.7,255162.9,261705.1,311641.4
FT0002,72.0088034075805,533.42529296875, 77823.55,123751.34,110809.97, 55528.11,125376.15, 91708.15, 87872.58,122437.30,110266.92, 60445.94,131447.97, 91970.13,106973.44,125824.61, 97975.05, 38772.56,111691.65,104516.73, 97775.75,128049.24,107442.93, 59789.43,134156.09,105318.35, 86668.73,125132.98,119489.06, 54567.35,123189.74, 99238.09, 89375.99,121816.47,107098.71, 49524.40,119394.99, 99477.43,102955.59
FT0003,72.9428774663842,414.600341796875, 62994.67, 14216.89, 37567.95, 22527.86, 67828.18, 94614.25, 57162.71, 50604.56, 45993.07, 48677.03, 73265.34, 85226.33, 57302.82, 39417.86, 28990.85, 18091.62,147426.38, 99524.39, 51477.96, 20412.40, 43389.62, 29137.71, 65515.83, 80391.13, 55469.93, 59431.14, 44963.69, 53346.58, 68613.87, 79215.60, 60333.25, 48106.89, 37256.83, 21825.10,139909.51, 90484.07, 54133.92
FT0004,72.9526936068198,990.429077148438,82399.48,76341.56,76028.22,71815.51,70172.40,59214.90,73431.49,77579.05,74725.55,74375.74,75567.37,73244.67,70518.86,78055.77,68865.27,72565.50,74713.90,68260.73,63636.19,67334.79,74291.82,68143.82,68258.76,63283.43,67206.64,73430.91,74439.96,72816.96,70425.46,74487.49,70007.02,66137.70,66143.70,73018.62,66786.75,72842.10,76450.13
FT0005,72.9694720131368,990.429138183594,26671905,25362643,27495084,26404283,25539643,25451771,26624060,26123805,28265261,27034920,25689192,25357604,25946892,25794307,26690280,26434403,26872671,24814172,25151632,24105682,26352675,25547925,24474587,24238322,25652755,25713547,28124031,26867091,25411605,25276747,25888657,24828592,25744936,25954180,26550403,25473003,26010341
FT0006,72.9862395143946,990.429107666016,76865.45,71489.24,75270.29,73403.64,70084.77,72524.70,82931.16,73686.86,74003.69,75408.78,70375.15,70731.80,71514.25,69647.35,77386.79,71801.26,77325.08,66800.39,52593.78,72252.23,70600.21,73205.98,73637.23,66681.29,69600.62,70853.61,85676.86,78250.52,77984.70,72717.03,74642.68,57206.00,70307.24,72878.93,77385.98,72461.06,70686.85
FT0007,73.0291947032502,440.030609130859,155614.91, 84721.14, 84732.20,123649.06,354212.58, 85000.83,136049.79, 69481.71, 73863.73,120108.60,361543.39, 95942.61,138207.42, 60726.88, 83445.00,116642.18,311053.60,103529.03,127402.80, 72571.49, 73280.33,108068.94,334082.62,102316.32,112523.41, 57862.67, 62862.70,100001.69,332901.51, 89154.25,129378.73, 79701.90, 85553.08,115648.51,295382.24, 88713.17,147307.65
FT0008,73.0292337802601,552.7030859375,274872.61,146522.60,139072.72,585375.95,142937.86,161058.78,270594.22,137286.11, 87039.41,639705.25,150503.51,161811.45,279693.15,133260.76,112641.88,508573.97,222513.60,132381.91,273727.95,116907.69,137809.83,593361.86,141143.13,144151.22,274241.80,130551.23, 95087.21,672433.34,161503.06,159631.81,259205.38,137398.90,153721.07,519095.43,191353.29,126549.07,258930.78
FT0009,74.0245004994288,525.436584472656,1575500,1736817,2113181,1154762,1238495,1367315,1452430,1744247,2173776,1111128,1181723,1396623,1433342,1784266,1836091,1114678,1212430,1304855,1446438,1639580,1940446,1078121,1223455,1301199,1432114,1773861,1969454,1050006,1202598,1426783,1407078,1725389,1821807,1118048,1168307,1384348,1415880
FT0010,74.0245310101684,302.816986083984,1614278.7,1684072.6,1463323.7,2146073.9, 942297.7,1252958.9,1590490.1,1553470.3,1428933.2,2071475.0, 950306.2,1224175.2,1561108.0,1672665.3,1295575.1,2151097.3, 899298.4,1222100.9,1524356.3,1600884.7,1444497.2,2140638.1, 452670.8,1237058.6,1557353.5,1563877.2,1425435.9,2064107.3, 956257.7,1280487.5,1530257.7,1586484.0,1283660.3,2182356.3, 884841.8,1217269.9,1574760.0
