"feature","mzmed","rtmed","NEG_1_QC_pool_n1.mzXML","NEG_2_WT_b1_t1.mzXML","NEG_3_PM-31_b1_t1.mzXML","NEG_4_PM-37_b1_t1.mzXML","NEG_5_KO-6_b1_t1.mzXML","NEG_6_KO-22_b1_t1.mzXML","NEG_7_QC_pool_n2.mzXML","NEG_8_WT_b2_t1.mzXML","NEG_9_PM-31_b2_t1.mzXML","NEG_10_PM-37_b2_t1.mzXML","NEG_11_KO-6_b2_t1.mzXML","NEG_12_KO-22_b2_t1.mzXML","NEG_13_QC_pool_n3.mzXML","NEG_14_WT_b3_t1.mzXML","NEG_15_PM-31_b3_t1.mzXML","NEG_16_PM-37_b3_t1.mzXML","NEG_17_KO-6_b3_t1.mzXML","NEG_18_KO-22_b3_t1.mzXML","NEG_19_QC_pool_n4.mzXML","NEG_20_WT_b1_t2.mzXML","NEG_21_PM-31_b1_t2.mzXML","NEG_22_PM-37_b1_t2.mzXML","NEG_23_KO-6_b1_t2.mzXML","NEG_24_KO-22_b1_t2.mzXML","NEG_25_QC_pool_n5.mzXML","NEG_26_WT_b2_t2.mzXML","NEG_27_PM-31_b2_t2.mzXML","NEG_28_PM-37_b2_t2.mzXML","NEG_29_KO-6_b2_t2.mzXML","NEG_30_KO-22_b2_t2.mzXML","NEG_31_QC_pool_n6.mzXML","NEG_32_WT_b3_t2.mzXML","NEG_33_PM-31_b3_t2.mzXML","NEG_34_PM-37_b3_t2.mzXML","NEG_35_KO-6_b3_t2.mzXML","NEG_36_KO-22_b3_t2.mzXML","NEG_37_QC_pool_n7.mzXML"
"FT0001",72.0088265059409,476.06494140625,298940.1,318647.6,345603.6,263576.1,218850.1,264360.9,312543.1,330063.8,366354.3,261337.9,238690.4,261561.4,292929.4,350832.4,321696.7,295005.6,230161.8,252272.9,298722,306830.3,366762.3,276117.2,250602.4,268150.1,295935.1,346068.2,375966.5,272553.6,253857.9,289955.7,310450.6,340810.7,355647.4,291132.7,255162.9,261705.1,311641.4
"FT0002",72.0088034075805,533.42529296875,77823.55,123751.34,110809.97,55528.11,125376.15,91708.15,87872.58,122437.3,110266.92,60445.94,131447.97,91970.13,106973.44,125824.61,97975.05,38772.56,111691.65,104516.73,97775.75,128049.24,107442.93,59789.43,134156.09,105318.35,86668.73,125132.98,119489.06,54567.35,123189.74,99238.09,89375.99,121816.47,107098.71,49524.4,119394.99,99477.43,102955.59
"FT0003",72.9428774663842,414.600341796875,62994.67,14216.89,37567.95,22527.86,67828.18,94614.25,57162.71,50604.56,45993.07,48677.03,73265.34,85226.33,57302.82,39417.86,28990.85,18091.62,147426.38,99524.39,51477.96,20412.4,43389.62,29137.71,65515.83,80391.13,55469.93,59431.14,44963.69,53346.58,68613.87,79215.6,60333.25,48106.89,37256.83,21825.1,139909.51,90484.07,54133.92
"FT0004",72.9526936068198,990.429077148438,82399.48,76341.56,76028.22,71815.51,70172.4,59214.9,73431.49,77579.05,74725.55,74375.74,75567.37,73244.67,70518.86,78055.77,68865.27,72565.5,74713.9,68260.73,63636.19,67334.79,74291.82,68143.82,68258.76,63283.43,67206.64,73430.91,74439.96,72816.96,70425.46,74487.49,70007.02,66137.7,66143.7,73018.62,66786.75,72842.1,76450.13
"FT0006",72.9862395143946,990.429107666016,76865.45,71489.24,75270.29,73403.64,70084.77,72524.7,82931.16,73686.86,74003.69,75408.78,70375.15,70731.8,71514.25,69647.35,77386.79,71801.26,77325.08,66800.39,52593.78,72252.23,70600.21,73205.98,73637.23,66681.29,69600.62,70853.61,85676.86,78250.52,77984.7,72717.03,74642.68,57206,70307.24,72878.93,77385.98,72461.06,70686.85
"FT0007",73.0291947032502,440.030609130859,155614.91,84721.14,84732.2,123649.06,354212.58,85000.83,136049.79,69481.71,73863.73,120108.6,361543.39,95942.61,138207.42,60726.88,83445,116642.18,311053.6,103529.03,127402.8,72571.49,73280.33,108068.94,334082.62,102316.32,112523.41,57862.67,62862.7,100001.69,332901.51,89154.25,129378.73,79701.9,85553.08,115648.51,295382.24,88713.17,147307.65
"FT0009",74.0245004994288,525.436584472656,1575500,1736817,2113181,1154762,1238495,1367315,1452430,1744247,2173776,1111128,1181723,1396623,1433342,1784266,1836091,1114678,1212430,1304855,1446438,1639580,1940446,1078121,1223455,1301199,1432114,1773861,1969454,1050006,1202598,1426783,1407078,1725389,1821807,1118048,1168307,1384348,1415880
"FT0011",74.9676272944229,990.42138671875,2663454,2513730,2709834,2514095,2520953,2491383,2634296,2604302,2833655,2656732,2487624,2472157,2524061,2578368,2564349,2611510,2699191,2414674,2457437,2330858,2596928,2539575,2477670,2384364,2484774,2457328,2727154,2654331,2511987,2455962,2571406,2419084,2531413,2474291,2607886,2443277,2560705
"FT0012",74.9737458789503,990.431274414062,90691.55,103440.23,88998.89,102845.47,99347.12,95249.18,91088.14,84307.09,105077.9,92496.94,91218.17,85260.92,88879.24,96115.01,83344.73,96179.89,75864.03,87160.68,97834.43,79645.54,82515.62,91160.74,89899.41,84483.36,78692.3,90355.89,98579.43,94720.16,82884.43,83220.78,102828.91,87261.25,92140.95,102295.49,95061.35,88019.55,92511.84
"FT0013",75.0085611246244,142.973007202148,31890554,32041567,31618325,31351604,29937917,29980722,29403494,29936481,30243582,28547918,29152237,29399866,29652967,29527052,29368040,29648454,27741428,29331410,28806601,29327172,28349330,28671418,28235835,27731225,28125547,27840771,26453899,27554418,27680652,27187247,27201811,26827448,27258693,27113873,25586793,26505086,27174003
