,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Blank,Blank,Blank,Blank,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Average,Average,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,RT similarity,m/z similarity,Simple dot product,Weighted dot product,Reverse dot product,Matched peaks count,Matched peaks percentage,Total score,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,Bacto_Peptone_Media_Blank_2_Y-B2_1_3945,Bacto_Peptone_Media_Blank_3_Y-B3_1_3946,Bacto_Peptone_Media_Blank_4_Y-B4_1_3947,Pd_001srf_1_Y-D5_1_3852,Pd_001srf_2_Y-D6_1_3859,Pd_001srf_3_Y-D7_1_3866,Pd_001srf_4_Y-D8_1_3873,Pd_Bs_1_Y-B5_1_3848,Pd_Bs_2_Y-B6_1_3855,Pd_Bs_3_Y-B7_1_3862,Pd_Bs_4_Y-B8_1_3869,Pd_dd_1_Y-D1_1_3851,Pd_dd_2_Y-D2_1_3858,Pd_dd_3_Y-D3_1_3865,Pd_dd_4_Y-D4_1_3872,Pd_dPPS_1_Y-C5_1_3850,Pd_dPPS_2_Y-C6_1_3857,Pd_dPPS_3_Y-C7_1_3864,Pd_dPPS_4_Y-C8_1_3871,Pd_dSRF_1_Y-C1_1_3849,Pd_dSRF_2_Y-C2_1_3856,Pd_dSRF_3_Y-C3_1_3863,Pd_dSRF_4_Y-C4_1_3870,Pd_Pd_1_Y-B1_1_3847,Pd_Pd_2_Y-B2_1_3854,Pd_Pd_3_Y-B3_1_3861,Pd_Pd_4_Y-B4_1_3868,0,1,0,1
0,0.530,68.05007,Unknown,[M+H-2H2O]+,null,0.86,False,null,null,null,null,null,null,999,False,False,False,Normalized unit: Intensity,False,False,0,0,0.00,null,null,null,null,null,null,null,20214.51,Pd_Pd_3_Y-B3_1_3861,68.05007:43108 69.05474:2126 70.05941:0,null,80395,81741,80311,108138,259788,238417,268920,268867,244640,216236,251258,246930,244556,250073,241604,248395,280473,316026,303532,296341,305560,317544,318947,312953,315145,313650,336412,302369,87646.06338125,279109.872886458,13676.8381249332,34301.0673049935
1,13.498,68.99317,Unknown,[M+H]+,null,1.00,False,null,null,null,null,null,null,999,False,False,False,Normalized unit: Intensity,False,False,1,0,0.00,null,null,null,null,null,null,null,36390.30,Bacto_Peptone_Media_Blank_1_Y-B1_1_3944,68.99317:60458 69.99784:0 71.00251:0,null,1366285,1334311,1369890,1383946,1341661,1500911,1444497,1478158,598408,689169,1404770,1439016,1303228,1367549,1410327,1467353,1260079,1342237,1420388,1477181,1319084,640294,1423226,1495808,1267465,1370117,1429751,1431307,1363608.12954688,1305082.60190365,20964.7407683678,264814.85788859
2,0.661,69.06986,Unknown,[M+H]+,null,1.00,False,null,null,null,null,null,null,999,False,False,False,Normalized unit: Intensity,False,False,2,0,0.00,null,null,null,null,null,null,null,37793.83,Bacto_Peptone_Media_Blank_2_Y-B2_1_3945,69.06986:213596 70.07453:0 71.07920:0,null,1562928,1562552,1556567,1521569,440812,460831,448297,433058,280152,182815,250349,226374,270176,275713,255402,236369,298944,326728,299479,331200,296570,331493,316305,331029,431843,401374,458292,406833,1550903.75309688,332934.88683724,19772.7347965112,82603.6715601564
3,1.023,70.06512,Unknown,[M+H]+,null,0.11,False,null,null,null,null,null,null,999,False,False,False,Normalized unit: Intensity,False,False,3,0,0.00,null,null,null,null,null,null,null,62546.17,Bacto_Peptone_Media_Blank_4_Y-B4_1_3947,70.06512:101920 71.06979:0 72.07446:0,null,1992931,2155628,2140089,2179245,368654,439879,358124,358404,341343,229312,298281,323472,276859,324837,283605,300248,340838,320893,319285,297083,341799,306792,311007,336147,399959,348567,340806,301934,2116972.98968594,327838.682573177,84247.1758182822,42156.7987752899
4,0.541,70.06513,Unknown,[M+H]+,null,1.00,False,null,null,null,null,null,null,999,False,False,False,Normalized unit: Intensity,False,False,4,0,0.00,null,null,null,null,null,null,null,260924.30,Bacto_Peptone_Media_Blank_2_Y-B2_1_3945,70.06513:609582 71.06980:0 72.07447:0,null,7522523,7387262,7295660,7223515,5826126,5803152,5420091,5537516,4528921,3490642,4198617,3805025,4472300,4417876,4217225,4164596,4785665,4606679,4481453,4373636,4813946,4256910,4144248,4449640,5484756,4789388,4950671,4522535,7357240.14472344,4647567.24350677,128962.631705101,600860.909409747
