,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File type","Blank","Blank","Blank","Blank","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Average","Average","Stdev","Stdev"
"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","RT similarity","m/z similarity","Simple dot product","Weighted dot product","Reverse dot product","Matched peaks count","Matched peaks percentage","Total score","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","Bacto_Peptone_Media_Blank_1_Y-B1_1","Bacto_Peptone_Media_Blank_2_Y-B2_1","Bacto_Peptone_Media_Blank_3_Y-B3_1","Bacto_Peptone_Media_Blank_4_Y-B4_1","Pd_001srf_1_Y-D5_1","Pd_001srf_2_Y-D6_1","Pd_001srf_3_Y-D7_1","Pd_001srf_4_Y-D8_1","Pd_Bs_1_Y-B5_1","Pd_Bs_2_Y-B6_1","Pd_Bs_3_Y-B7_1","Pd_Bs_4_Y-B8_1","Pd_dd_1_Y-D1_1","Pd_dd_2_Y-D2_1","Pd_dd_3_Y-D3_1","Pd_dd_4_Y-D4_1","Pd_dPPS_1_Y-C5_1","Pd_dPPS_2_Y-C6_1","Pd_dPPS_3_Y-C7_1","Pd_dPPS_4_Y-C8_1","Pd_dSRF_1_Y-C1_1","Pd_dSRF_2_Y-C2_1","Pd_dSRF_3_Y-C3_1","Pd_dSRF_4_Y-C4_1","Pd_Pd_1_Y-B1_1","Pd_Pd_2_Y-B2_1","Pd_Pd_3_Y-B3_1","Pd_Pd_4_Y-B4_1","0","1","0","1"
"17",1.696,77.039,"Unknown","[M+H]+","null","0.36","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","17","0","0.00","null","null","null","null","null","null","null","11212.01","Pd_Pd_3_Y-B3_1_3861","77.03900:27022 78.04367:0 79.04834:0","null",0,0,0,0,134316,793,172735,158675,115758,72051,109643,87494,172189,173166,176865,172093,124333,144379,142811,128898,102354,116967,76834,100703,214002,188147,223088,170157,"0","136602.035743229","0","49977.2913449506"
"22",1.704,79.0546,"Unknown","[M+H-H2O]+","null","0.82","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","22","0","0.00","null","null","null","null","null","null","null","26299.38","Pd_Pd_3_Y-B3_1_3861","79.05460:91480 80.05927:0 81.06394:0","null",0,0,0,0,368435,0,483548,472933,342562,227646,330245,241978,485578,515638,518718,512902,358195,433180,445624,385336,294313,306747,251264,302246,604949,532546,680742,538459,"0","401407.639041667","0","147128.341425634"
"52",6.444,88.03977,"Unknown","[M+H]+","null","0.07","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","52","0","0.00","null","null","null","null","null","null","null","10678.63","Pd_Pd_1_Y-B1_1_3847","88.03977:23032 89.04444:0 90.04911:0","null",0,0,0,0,106886,99086,113766,106233,138405,74964,144717,139071,107009,105561,99898,109469,120351,122474,138194,140570,128517,138650,128290,134646,156862,137884,153300,146116,"0","124621.590138021","0","20315.4882779568"
"68",3.089,95.08612,"Unknown","[M+H-H2O]+","null","0.39","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","68","0","0.00","null","null","null","null","null","null","null","12796.50","Pd_dSRF_2_Y-C2_1_3856","95.08612:26010 96.09079:0 97.09546:0","null",0,0,0,0,71635,0,84741,80201,94116,52560,75638,66463,76128,70342,76006,61240,174394,162562,177787,181092,249831,257637,246009,250156,203726,197629,203493,188865,"0","137593.738296875","0","77228.8787143778"
"73",1.714,97.06511,"Unknown","[M+H]+","null","0.82","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","73","0","0.00","null","null","null","null","null","null","null","40375.42","Pd_Pd_3_Y-B3_1_3861","97.06512:138728 98.06978:0 99.07445:0","null",59976,47483,42606,48745,600514,2029,820091,795787,557180,379615,535640,389353,765514,828171,861569,777916,626096,733786,735593,606932,531801,545080,424699,502732,1043993,912369,1178816,912917,"49702.6508984375","669507.967417187","7342.59793998393","248417.331135636"
