Compound,rt,mz,Formula,add
Glutamyl-phenylalanine,2.13,295.128,C14H18N2O5,[M+H]+
"(Z)-3-[4-methoxy-2-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]prop-2-enoic acid",2.38,374.145,C16H20O9,[M+H+NH3]+
1 family hit,4.71,293.212,C18H32O5,[M+H-2H2O]+
1 family hit,4.72,346.259,C18H32O5,[M+H+NH3]+
1 family hit,5.04,351.215,C18H32O5,[M+Na]+
1 genus hits,6.36,513.286,C30H40O7,[M+H]+
1 genus hits,6.36,530.313,C30H40O7,[M+H+NH3]+
1 genus hit,5.09,634.359,C34H48O10,[M+H+NH3]+
1 genus hit,5.13,639.316,C34H48O10,[M+Na]+
1 species hit,8.14,456.312,C28H38O4,[M+H+NH3]+
1 species hit (27-deoxy),4.86,654.385,C34H52O11,[M+H+NH3]+
1 species hit (27-deoxy),3.61,962.496,C46H72O20,[M+H+NH3]+
"1 species hit (27-deoxy-4-hydroxy, 5,6-epoxy)",7.03,453.264,C28H36O5,[M+H]+
"1 species hit (27-deoxy-4-hydroxy, 5,6-epoxy)",7.03,470.291,C28H36O5,[M+H+NH3]+
"1 species hit (27-deoxy-4-hydroxy, 5,6-epoxy)",7.03,475.246,C28H36O5,[M+Na]+
"1 species hit (27-deoxy-4-hydroxy, 5,6-epoxy)",7.03,491.22,C28H36O5,[M+K]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.87,435.254,C28H40O10S,[M+H+NH3-H2SO4-2H2O]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.86,453.264,C28H40O10S,[M+H+NH3-H2SO4-H2O]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.87,497.199,C28H40O10S,[M+H-4H2O]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.87,515.21,C28H40O10S,[M+H-3H2O]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.86,551.232,C28H40O10S,[M+H-H2O]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.86,586.268,C28H40O10S,[M+H+NH3]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.72,586.27,C28H40O10S,[M+H+NH3]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.72,591.226,C28H40O10S,[M+Na]+
"1 species hit (27-deoxy-5-hydroxy-5,6-epoxy)",4.86,1154.502,C28H40O10S,[2M+H+NH3]+
1 species hit (27-hydroxy),3.89,439.285,C28H40O5,[M+H-H2O]+
1 species hit (27-hydroxy),3.77,783.416,C40H62O15,[M+H]+
1 species hit (27-hydroxy),3.78,800.445,C40H62O15,[M+H+NH3]+
1 species hit (27-hydroxy),3.78,805.398,C40H62O15,[M+Na]+
1 species hits,4.88,638.392,C34H52O10,[M+H+NH3]+
"1 species hits (27-hydroxy-5-hydroxy-6,7-epoxy)",4.72,487.268,C28H38O7,[M+H]+
"1 species hits (27-hydroxy-5-hydroxy-6,7-epoxy)",5.71,504.297,C28H38O7,[M+H+NH3]+
"1 species hits (27-hydroxy-5-hydroxy-6,7-epoxy)",4.72,509.254,C28H38O7,[M+Na]+
"1,11,12-Trihydroxy-4-eudesmen-3-one; 11,12-Isopropylidene |phytoprostane A ",5.67,291.196,C18H28O4,[M+H-H2O]+
"1,11,12-Trihydroxy-4-eudesmen-3-one; 11,12-Isopropylidene |phytoprostane A ",5.67,309.206,C18H28O4,[M+H]+
1-Linoleoyl-sn-glycero-3-phosphorylcholine,7.32,520.341,C26H50NO7P,[M+H]+
1-O-feruloyl-beta-D-glucose,2.41,177.055,C16H20O9,[M+H-C6H10O5-H2O]+
1-O-feruloyl-beta-D-glucose,2.46,195.065,C16H20O9,[M+H-C6H10O5]+
1-O-feruloyl-beta-D-glucose,2.48,379.1,C16H20O9,[M+Na]+
1-Palmitoyl-sn-glycero-3-phosphocholine,7.64,496.34,C24H50NO7P,[M+H]+
2 family hits,2.81,191.143,C19H32O8,[M+H-C6H12O6-H2O]+
2 family hits,2.81,209.154,C19H32O8,[M+H-C6H12O6]+
2 family hits,2.81,389.218,C19H32O8,[M+H]+
2 species hits (27-deoxy),4.72,469.26,C28H36O6,[M+H]+
2 species hits (27-deoxy),6.08,486.286,C28H36O6,[M+H]+
"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",5.57,453.264,C28H38O6,[M+H-H2O]+
"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",5.57,488.302,C28H38O6,[M+H+NH3]+
"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",5.57,493.256,C28H38O6,[M+Na]+
"2 species hits (27-deoxy-4-hydroxy-5,6-epoxy)",5.57,509.231,C28H38O6,[M+K]+
"2 species hits (27-deoxy-5-hydroxy-6,7-epoxy)",5.77,488.302,C28H38O6,[M+H+NH3]+
"2 species hits (27-deoxy-5-hydroxy-6,7-epoxy)",5.77,493.257,C28H38O6,[M+Na]+
"2 species hits (27-deoxy-5-hydroxy-6,7-epoxy)",5.77,509.231,C28H38O6,[M+K]+
2-(Cyclohexylamino)benzoic acid,5.31,220.134,C13H17NO2,[M+H]+
"2,3-dihydro-3beta-O-sulfate withaferin A (27-hydroxy-4-hydroxy-5,6-epoxy)",4.4,569.241,C28H40O10S,[M+H]+
"2,3-dihydro-3beta-O-sulfate withaferin A (27-hydroxy-4-hydroxy-5,6-epoxy)",4.4,586.268,C28H40O10S,[M+H+NH3]+
"2,3-dihydro-3beta-O-sulfate withaferin A (27-hydroxy-4-hydroxy-5,6-epoxy)",4.4,591.223,C28H40O10S,[M+Na]+
"2,3-dihydro-3beta-O-sulfate withaferin A (27-hydroxy-4-hydroxy-5,6-epoxy)",4.4,1154.502,C28H40O10S,[2M+H+NH3]+
"2-[4-(2-hydroxyethyl)-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",2.01,383.132,C16H24O0,[M+Na]+
"2-[4-(2-hydroxyethyl)-2,6-dimethoxyphenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol",2.01,399.106,C16H24O0,[M+K]+
2-Aminoheptanedioic acid,1.96,158.082,C7H13NO4,[M+H-H2O]+
2-hydroxyquinoline,3.56,146.06,C9H7NO,[M+H]+
3 family hits,2.21,344.134,C15H18O8,[M+H+NH3]+
3 family hits,2.24,349.089,C15H18O8,[M+Na]+
3 family hits,2.24,365.064,C15H18O8,[M+K]+
3 species hits (27-hydroxy),4.93,471.275,C28H40O7,[M+H-H2O]+
3 species hits (27-hydroxy),4.41,489.285,C28H40O7,[M+H]+
3 species hits (27-hydroxy),4.49,489.285,C28H40O7,[M+H]+
3 species hits (27-hydroxy),4.49,506.312,C28H40O7,[M+H+NH3]+
3 species hits (27-hydroxy),4.93,511.268,C28H40O7,[M+Na]+
3 species hits (27-hydroxy),4.49,511.268,C28H40O7,[M+Na]+
3 species hits (27-hydroxy),4.49,527.242,C28H40O7,[M+K]+
3-feruloylquinic acid,2.7,177.055,C17H20O9,[M+H-C7H12O6]+
3-feruloylquinic acid isomer,2.29,177.055,C17H20O9,[M+H-C7H12O6]+
3-feruloylquinic acid isomer,2.3,369.118,C17H20O9,[M+H]+
3-feruloylquinic acid isomer,2.3,391.1,C17H20O9,[M+Na]+
4 family hits,2.34,757.219,C33H40O20,[M+H]+
4 family hits,2.34,779.201,C33H40O20,[M+Na]+
4 species hits (27-deoxy),4.75,453.265,C28H36O5,[M+H]+
4 species hits (27-deoxy),4.75,493.257,C28H36O5,[M+Na+H2O]+
4-caffeoylquinic acid,1.84,163.039,C16H18O9,[M+H-C7H12O6]+
4-caffeoylquinic acid,1.84,353.087,C16H18O9,[M+H-H2app]+
4-caffeoylquinic acid,1.84,355.103,C16H18O9,[M+H]+
4-caffeoylquinic acid,1.84,370.114,C16H18O9,[M+H+NH3]+
4-caffeoylquinic acid,1.84,377.085,C16H18O9,[M+Na]+
4-caffeoylquinic acid,1.84,393.059,C16H18O9,[M+K]+
5 species hits (27-deoxy),4.18,469.26,C28H38O7,[M+H-H2O]+
5 species hits (27-deoxy),4.18,509.252,C28H38O7,[M+Na]+
5 species hits (27-deoxy),4.45,509.253,C28H38O7,[M+Na]+
5 species hits (27-deoxy),4.15,525.225,C28H38O7,[M+K]+
5'-Deoxy-5'-(methylsulfinyl)adenosine,1.02,314.09,C11H15N5O4S,[M+H]+
5-hydroxy-L-tryptophan,0.89,221.092,C11H12N2O3,[M+H]+
6-Aminocaproic acid,2.13,114.091,C6H13NO2,[M+H]+|M+H-H2O]+
6-hydroxykynurenic acid,1.62,206.045,C10H7NO4,[M+H]+
7 species hits (27-deoxy),6.65,419.259,C28H38O5,[M+H-2H2O]+
7 species hits (27-deoxy),6.68,435.254,C28H38O5,[M+H-H2app-H2O]+
7 species hits (27-deoxy),6.12,437.269,C28H38O5,[M+H-H2O]+
7 species hits (27-deoxy),6.69,437.269,C28H38O5,[M+H-H2O]+
7 species hits (27-deoxy),6.97,455.279,C28H38O5,[M+H]+
7 species hits (27-deoxy),6.78,455.28,C28H38O5,[M+H]+
7 species hits (27-deoxy),6.78,472.307,C28H38O5,[M+H+NH3]+
7 species hits (27-deoxy),6.13,472.307,C28H38O5,[M+H+NH3]+
7 species hits (27-deoxy),6.65,472.307,C28H38O5,[M+H+NH3]+
7 species hits (27-deoxy),6.97,472.307,C28H38O5,[M+H+NH3]+
7 species hits (27-deoxy),6.68,475.246,C28H38O5,[M+Na-H2app]+
7 species hits (27-deoxy),6.67,477.262,C28H38O5,[M+Na]+
7 species hits (27-deoxy),6.97,493.236,C28H38O5,[M+K]+
8-Hydroxyquinoline,1.82,146.06,C9H7NO,[M+H]+
9-OxoOTrE,6.21,275.201,C18H28O3,[M+H-H2O]+
Adenine,0.81,136.062,C5H5N5,[M+H]+
Adenosine or isomers,1.16,268.104,C10H13N5O4,[M+H]+
Alpha-Linolenoyl ethanolamide (alpha-LEA),8.03,322.275,C20H35NO2,[M+H]+
Aucubin,1.45,369.116,C15H22O9,[M+Na]+
Benzyl 2-O-beta-D-glucopyranosyl-6-O-beta-D-xylopyranosyl-beta-D-glucopyranoside,2.26,582.241,C24H36O15,[M+H+NH3]+
Benzyl 2-O-beta-D-glucopyranosyl-6-O-beta-D-xylopyranosyl-beta-D-glucopyranoside,2.21,582.241,C24H36O15,[M+H+NH3]+
Calystegine B1,0.88,176.092,C7H13NO4,[M+H]+
CHEBI:181299,2.22,406.171,C17H24O10,[M+H+NH3]+
Chromomoric acid C,5.75,291.196,C18H26O3,[M+H]+
Citroside B,2.55,207.138,C19H30O8,[M+H-C6H12O6]+
Citroside B,2.57,409.184,C19H30O8,[M+Na]+
Citroside B,2.57,425.158,C19H30O8,[M+K]+
Cryptochlorogenic acid,2.19,163.039,C16H18O9,[M+H-C7H12O6]+
