formulaRank,molecularFormula,adduct.x,precursorFormula,NPC#pathway,NPC#pathway Probability,NPC#superclass,NPC#superclass Probability,NPC#class,NPC#class Probability,ClassyFire#superclass,ClassyFire#superclass probability,ClassyFire#class,ClassyFire#class Probability,ClassyFire#subclass,ClassyFire#subclass Probability,ClassyFire#level 5,ClassyFire#level 5 Probability,ClassyFire#most specific class,ClassyFire#most specific class Probability,ClassyFire#all classifications,ionMass,retentionTimeInSeconds,retentionTimeInMinutes,formulaId,alignedFeatureId,mappingFeatureId,overallFeatureQuality,target_Compound,adduct.y,MetaboAnnotation_status
1,C3H2N2O6S,[M + Na]+,C3H2N2NaO6S+,Alkaloids,0.314,Fatty Acids and Conjugates,0.382,Halogenated fatty acids,0.507,Organic acids and derivatives,0.91,Carboxylic acids and derivatives,0.688,Carboxylic acids,0.579,NA,NA,Carboxylic acids,0.579,"Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic 1,3-dipolar compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",216.951,22,0.371,801747423997524200,801746876254811400,231,NA,NA,NA,FALSE
1,C3H3NO5,[M + H3N + H]+,C3H7N2O5+,Fatty acids,0.804,Fatty Acids and Conjugates,0.902,Halogenated fatty acids,0.884,Organic acids and derivatives,0.934,Carboxylic acids and derivatives,0.906,Carboxylic acids,0.85,NA,NA,Carboxylic acids,0.85,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,151.036,22,0.374,801747571859385100,801746876384834800,177,NA,NA,NA,FALSE
1,CH5NO6,[M - H2O + H]+,CH4NO5+,Fatty acids,0.928,Fatty Acids and Conjugates,0.805,Halogenated fatty acids,0.703,Organic acids and derivatives,0.951,Carboxylic acids and derivatives,0.859,Carboxylic acids,0.818,NA,NA,Carboxylic acids,0.818,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,110.009,23,0.379,801747141750077e3,801746876447749400,171,NA,NA,NA,FALSE
1,C3H8FN2S,[M + Na]+,C3H8FN2NaS+,Alkaloids,0.527,Histidine alkaloids,0.159,Imidazole alkaloids,0.162,Organohalogen compounds,0.96,Alkyl halides,0.629,Alkyl fluorides,0.515,NA,NA,Alkyl fluorides,0.515,Organic compounds; Organosulfur compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl fluorides; Organofluorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities,146.03,23,0.382,801747138520459600,801746876573578500,132,NA,NA,NA,FALSE
1,C5H10Cl2O6,[M - H2O + H]+,C5H9Cl2O5+,Fatty acids,0.905,Fatty Acids and Conjugates,0.881,Halogenated fatty acids,0.767,Lipids and lipid-like molecules,0.513,NA,NA,NA,NA,NA,NA,Lipids and lipid-like molecules,0.513,Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Carboxylic acids; Organochlorides; Secondary alcohols; Carbonyl compounds; Halohydrins; Chlorohydrins; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,218.984,24,0.395,801747572912155600,801746876632298800,139,NA,NA,NA,FALSE
1,C10H11ClN2O2,[M + K]+,C10H11ClKN2O2+,Alkaloids,0.893,Tryptophan alkaloids,0.65,Pyridine alkaloids,0.298,Organic acids and derivatives,0.834,Carboxylic acids and derivatives,0.729,"Amino acids, peptides, and analogues",0.576,Amino acids and derivatives,0.576,Amino acids and derivatives,0.576,"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Aryl chlorides; Organochlorides; Carbonyl compounds; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities",265.016,25,0.418,801747146649027100,801746876691019e3,197,NA,NA,NA,FALSE
1,C7H10NO4P,[M + K]+,C7H10KNO4P+,Amino acids and Peptides,0.488,Small peptides,0.277,Aminoacids,0.252,Organic acids and derivatives,0.996,Organic phosphonic acids and derivatives,0.677,NA,NA,NA,NA,Organic phosphonic acids and derivatives,0.677,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,242,26,0.429,801747144073722800,801746876749739300,193,NA,NA,NA,FALSE
1,C8H8Br2F6O4,[M + Na]+,C8H8Br2F6NaO4+,Terpenoids,0.375,Fatty Acids and Conjugates,0.161,Halogenated fatty acids,0.35,Organohalogen compounds,1,Aryl halides,0.419,Aryl bromides,0.699,NA,NA,Aryl bromides,0.699,Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Alkyl fluorides; Aryl bromides; Carboxylic acid derivatives; Carboxylic acid esters; Organobromides; Organofluorides; Carbonyl compounds; Alkyl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,462.863,27,0.457,801747602746247e3,801746876800070900,581,NA,NA,NA,FALSE
1,C9H3BrN2O3,[M + Na]+,C9H3BrN2NaO3+,Alkaloids,0.953,Tryptophan alkaloids,0.161,Carboline alkaloids,0.044,Organohalogen compounds,1,Aryl halides,0.99,Aryl bromides,0.993,NA,NA,Aryl bromides,0.993,Organic compounds; Organoheterocyclic compounds; Pyridines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl bromides; Monocarboxylic acids and derivatives; Organobromides; Benzenoids; Aryl halides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities,288.922,28,0.463,801747595892752100,801746876854596900,305,NA,NA,NA,FALSE
1,C13H3Cl2F3O2,[M + K]+,C13H3Cl2F3KO2+,Shikimates and Phenylpropanoids,0.655,Coumarins,0.225,Isocoumarins,0.101,Organohalogen compounds,1,Aryl halides,0.989,Aryl chlorides,0.972,NA,NA,Aryl chlorides,0.972,Organic compounds; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Organochlorides; Organofluorides; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities,356.909,28,0.465,801747150360988200,801746876909122800,342,NA,NA,NA,FALSE
