row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Orbi_P_E2_EXBLANKA.mzML Peak area,Orbi_P_E2_EXBLANKB.mzML Peak area,Orbi_P_E2_EXBLANKC.mzML Peak area,Orbi_P_E2_WS03A.mzML Peak area,Orbi_P_E2_WS03B.mzML Peak area,Orbi_P_E2_WS03C.mzML Peak area,Orbi_P_E2_Wasteblank4.mzML Peak area,Orbi_P_E2_Wasteblank5.mzML Peak area,Orbi_P_E2_Wasteblank6.mzML Peak area,
108,148.02774720203826,0.3691534,,,,31,0,[M+H]+,,2,135;108,147.02027,110.230865,127.83077,219.25595,5474.0723,5833.597,7037.8867,172.29855,152.28918,184.22408,
181,169.0462454732159,0.3699988,,,,31,,,,,,,3400.032,6229.0063,1967.0215,31506.426,38140.88,38798.13,1345.9973,1262.1227,1630.8206,
175,128.01976641933828,0.37076914,,,,31,20,[M+NH4]+,,3,109;191;175,109.98658,17418.414,26704.809,29211.16,267577.8,312650.94,323791.56,41054.87,27175.4,42434.453,
231,216.9512637727892,0.371403,,,,31,,,,,,,370.91034,296.43344,223.51938,9856.593,10224.851,12423.102,432.56042,554.69385,469.27423,
43,234.96135102926473,0.3725722,,,,31,14,[2M+Na]+,,2,105;43,105.98808,128.71078,104.344284,391.5451,5915.659,7334.0117,7378.7886,219.20853,164.28043,100.49321,
145,244.9475245147713,0.37269926,,,,31,,,,,,,5392.9536,4788.456,2039.008,46231.58,50213.715,55452.008,2226.013,5194.8535,7832.9863,
177,151.0356682729266,0.3744,,,,31,9,[M+NH4]+,,2,177;151,133.00239,28015.578,20706.838,22543.459,190050.97,229867.56,240569.98,33817.605,29538.95,34148.465,
189,217.9895600190375,0.375543,,,,31,23,[M+Na]+,,2,189;208,195.00015,45.37719,47.30465,57.072052,2277.1213,2736.8374,3098.1133,160.88268,96.4292,136.43341,
88,228.94384387482074,0.37643084,,,,31,1,[2M+H-H2O]+,,2,88;131,122.97292,278.93732,540.5362,292.76794,1131.7482,884.66364,1329.3082,188.68875,131.35287,259.60394,
171,110.00934238636401,0.378511,,,,31,,,,,,,15984.709,31382.598,25341.404,169657.78,218672.05,214844.44,17891.328,25794.738,18257.154,
141,223.9891420353528,0.37904006,,,,31,18,[M+H]+,,2,212;141,222.98153,410.46674,483.6227,862.33936,5132.0195,7158.9575,7330.055,963.1919,379.54843,1108.955,
55,130.97631456425762,0.37932807,,,,,,,,,,,2106.2178,2125.4692,1087.829,567.1645,357.06604,233.95834,1164.8687,736.57916,307.27203,
187,142.03526610390827,0.38185114,,,,31,22,[M+H]+,,2,84;187,141.02778,26.185823,82.36227,36.29093,2450.0554,2919.9785,2723.9219,32.492455,29.46952,43.865498,
132,146.03024611605431,0.3821843,,,,31,,,,,,,2120.7595,3948.752,1935.1873,36703.44,38957.61,42212.324,5816.237,1387.3805,4296.797,
121,255.94173438831163,0.38238192,,,,31,11,[M+K]+,,2,192;121,216.97823,156.61841,214.42197,171.43184,4729.9688,5653.565,5424.2583,274.04895,412.787,330.22168,
176,130.01729646638933,0.38318232,,,,31,0,[M+H-H2O]+,,2,176;135,147.02027,2893.2078,4055.7585,3601.0266,41001.145,47537.848,46656.605,2847.886,828.2108,3404.269,
230,203.00695801892329,0.3867404,,,,31,16,[M+NH4]+,,2,230;118,184.97246,0,25.425852,0,1300.8503,1597.9355,1630.8749,54.18294,33.270706,42.99815,
81,198.00162025486054,0.38814163,,,,31,10,[M+H]+,,2,81;111,196.99508,494.10413,548.8398,435.68958,1640.8641,1538.3168,2477.9749,313.84805,426.8331,381.9427,
