,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File type","Blank","Blank","Blank","Blank","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","Sample","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injection order","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batch ID","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","Average","Average","Stdev","Stdev"
"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","RT similarity","m/z similarity","Simple dot product","Weighted dot product","Reverse dot product","Matched peaks count","Matched peaks percentage","Total score","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","Bacto_Peptone_Media_Blank_1_Y-B1_1","Bacto_Peptone_Media_Blank_2_Y-B2_1","Bacto_Peptone_Media_Blank_3_Y-B3_1","Bacto_Peptone_Media_Blank_4_Y-B4_1","Pd_001srf_1_Y-D5_1","Pd_001srf_2_Y-D6_1","Pd_001srf_3_Y-D7_1","Pd_001srf_4_Y-D8_1","Pd_Bs_1_Y-B5_1","Pd_Bs_2_Y-B6_1","Pd_Bs_3_Y-B7_1","Pd_Bs_4_Y-B8_1","Pd_dd_1_Y-D1_1","Pd_dd_2_Y-D2_1","Pd_dd_3_Y-D3_1","Pd_dd_4_Y-D4_1","Pd_dPPS_1_Y-C5_1","Pd_dPPS_2_Y-C6_1","Pd_dPPS_3_Y-C7_1","Pd_dPPS_4_Y-C8_1","Pd_dSRF_1_Y-C1_1","Pd_dSRF_2_Y-C2_1","Pd_dSRF_3_Y-C3_1","Pd_dSRF_4_Y-C4_1","Pd_Pd_1_Y-B1_1","Pd_Pd_2_Y-B2_1","Pd_Pd_3_Y-B3_1","Pd_Pd_4_Y-B4_1","0","1","0","1"
"17",1.696,77.039,"Unknown","[M+H]+","null","0.36","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","17","0","0.00","null","null","null","null","null","null","null","11212.01","Pd_Pd_3_Y-B3_1_3861","77.03900:27022 78.04367:0 79.04834:0","null",0,0,0,0,134316,793,172735,158675,115758,72051,109643,87494,172189,173166,176865,172093,124333,144379,142811,128898,102354,116967,76834,100703,214002,188147,223088,170157,"0","136602.035743229","0","49977.2913449506"
"20",0.59,79.02161,"Unknown","[M+H]+","null","0.18","True","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","20","0","0.00","null","null","null","null","null","null","null","25202.85","Pd_Bs_2_Y-B6_1_3855","79.02161:80126 80.02627:0 81.03094:0","63.99739:82",22898,0,171,13437,378172,227159,854518,407424,430605,1005982,472186,548005,476351,698991,603071,500967,521244,576796,467162,427515,493085,447932,977281,559347,404173,425079,373920,443885,"9126.497834375","530035.386761146","11131.6143382377","186171.89643648"
"22",1.704,79.0546,"Unknown","[M+H-H2O]+","null","0.82","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","22","0","0.00","null","null","null","null","null","null","null","26299.38","Pd_Pd_3_Y-B3_1_3861","79.05460:91480 80.05927:0 81.06394:0","null",0,0,0,0,368435,0,483548,472933,342562,227646,330245,241978,485578,515638,518718,512902,358195,433180,445624,385336,294313,306747,251264,302246,604949,532546,680742,538459,"0","401407.639041667","0","147128.341425634"
"23",2.088,79.05467,"Unknown","[M+H-H2O]+","null","0.04","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","23","0","0.00","null","null","null","null","null","null","null","23134.00","Pd_001srf_2_Y-D6_1_3859","79.05467:44254 80.05934:0 81.06401:0","null",0,0,0,0,255,379015,1156,1213,1017,199,1058,906,1460,1505,1367,1045,230,3007,1259,1044,242,208,1087,268,1602,339,1913,1253,"0","16776.9853072917","0","77159.1419001837"
"29",2.088,81.07024,"Unknown","[M+H]+","null","0.04","False","null","null","null","null","null","null","999","False","False","False","Normalized unit: Intensity","False","False","29","0","0.00","null","null","null","null","null","null","null","24179.50","Pd_001srf_2_Y-D6_1_3859","81.07024:45338 82.07490:0 83.07957:0","null",0,0,0,0,945,407096,1329,5584,5359,236,1144,221,6900,3378,1574,1204,1714,4329,1168,1084,285,261,2899,215,9620,8074,3451,1393,"0","19560.8966354167","0","82587.2777886811"
