"feature_name","mz","rt","metabolite_annotation","adducts_anno","neutral_loss_annotation","ISF_anno","iso_anno","group","cor_group","check_group","user_anno"
"FT3259",102.0469,82.5,"","",NA,"","",NA,"corgroup73","",""
"FT2148",102.0557,48,"","",NA,"","",NA,"corgroup169","",""
"FT3275",103.0543,83.6,"","",NA,"","",NA,"corgroup73","",""
"FT4521",103.0544,127.8,"","",NA,"","",NA,"corgroup210","",""
"FT1258",104.0714,33.3,"","",NA,"","",NA,"corgroup129","",""
"FT0793",104.1077,30,"","",NA,"","[1][M]+","group5","corgroup134","+",""
"FT11696",105.0342,308.9,"","",NA,"","",NA,"corgroup61","",""
"FT9001",105.0342,237.6,"","",NA,"","",NA,"corgroup76","",""
"FT0796",105.111,31.1,"","",NA,"","[1][M+1]+","group5","corgroup129","+",""
"FT0700",108.9502,27.8,"","",NA,"","",NA,"corgroup134","",""
"FT1263",115.0378,30.1,"","",NA,"","",NA,"corgroup134","",""
"FT3919",115.0521,107.6,"","",NA,"","",NA,"corgroup192","",""
"FT0905",116.0347,31.4,"","",NA,"","",NA,"corgroup241","",""
"FT0225",117.9909,25.2,"","",NA,"","",NA,"corgroup144","",""
"FT3920",118.0659,108.7,"","",NA,"","",NA,"corgroup192","",""
"FT2214",119.0495,49.5,"","",NA,"","",NA,"corgroup169","",""
"FT3296",119.0719,84.4,"","",NA,"","",NA,"corgroup73","",""
"FT4504",120.0813,128.2,"","",NA,"","",NA,"corgroup210","",""
"FT3276",120.0813,85.3,"","",NA,"","",NA,"corgroup179","",""
"FT0705",122.925,29.1,"","",NA,"","",NA,"corgroup134","",""
"FT2215",123.0432,50.1,"","",NA,"","",NA,"corgroup169","",""
"FT2651",123.0558,57.4,"","",NA,"","",NA,"corgroup201","",""
"FT0105",124.0239,25.4,"","",NA,"","",NA,"corgroup144","",""
"FT2216",124.0399,48.9,"","",NA,"","",NA,"corgroup169","",""
"FT5900",124.0764,162.3,"","",NA,"","",NA,"corgroup184","",""
"FT0651",124.923,28.3,"","",NA,"","",NA,"corgroup270","",""
"FT6091",126.0919,167.6,"","",NA,"","",NA,"corgroup274","",""
"FT0176",130.0173,23,"","",NA,"","",NA,"corgroup144","",""
"FT1355",130.0504,34.2,"","",NA,"","",NA,"corgroup129","",""
"FT2289",130.0504,48.5,"","",NA,"","",NA,"corgroup169","",""
"FT1502",130.0867,35.3,"","",NA,"","",NA,"corgroup129","",""
"FT3278",131.0507,82.9,"","",NA,"","",NA,"corgroup73","",""
"FT0226",132.0146,24.4,"","",NA,"","",NA,"corgroup144","",""
"FT1652",132.1024,36,"","",NA,"","",NA,"corgroup215","",""
"FT2438",132.1024,52.4,"","","FT2573-CO2","","","group19","corgroup150","+",""
"FT0906",133.0612,33.2,"","",NA,"","",NA,"corgroup129","",""
"FT7779",135.1173,207.4,"","",NA,"","",NA,"corgroup165","",""
"FT2201",136.0622,48.4,"","",NA,"","",NA,"corgroup169","",""
"FT2217",136.0761,49,"","","FT2384-HCOOH(H2+CO2 or H2O+CO)","","","group18","corgroup169","+",""
"FT5738",136.0762,158.9,"","",NA,"","",NA,"corgroup142","",""
"FT2762",137.0469,58.3,"","",NA,"","",NA,"corgroup201","",""
"FT1224",138.0553,33.7,"","",NA,"","[2][M]+","group11","corgroup129","+",""
"FT3371",138.0917,86.6,"","",NA,"","",NA,"corgroup179","",""
"FT2540",138.0918,51.5,"","",NA,"","",NA,"corgroup182","",""
"FT1221",139.0575,33.1,"","",NA,"","[2][M+1]+","group11","corgroup129","+",""
"FT1235",140.0621,30,"","",NA,"","",NA,"corgroup134","",""
"FT0131",141.0061,23.3,"","",NA,"","",NA,"corgroup144","",""
"FT2542",141.9642,49.3,"","",NA,"","",NA,"corgroup182","",""
"FT3376",141.9644,83.1,"","",NA,"","",NA,"corgroup56","",""
"FT0187",142.0353,22.9,"","",NA,"","",NA,"corgroup144","",""
"FT2190",142.05,47.7,"","","FT2071-C3H7NOS","","","group17","corgroup169","+",""
"FT22948",142.092,638.8,"","",NA,"","",NA,NA,"",""
"FT0825",143.082,32.9,"","",NA,"","",NA,"corgroup129","",""
"FT3466",144.0659,90.1,"","",NA,"","",NA,"corgroup266","",""
"FT2888",144.0659,63.3,"","",NA,"","",NA,"corgroup118","",""
"FT3904",144.0813,111.2,"","","FT4033-γ-GluAlaGly-2H","","","group24","corgroup192","+",""
"FT4910",144.0813,134.4,"","",NA,"","",NA,"corgroup153","",""
"FT0132",146.0302,22.9,"","",NA,"","",NA,"corgroup144","",""
"FT3905",146.0604,110.4,"","",NA,"","",NA,"corgroup192","",""
"FT4427",146.0605,124.6,"","",NA,"","",NA,"corgroup3","",""
"FT7876",146.0605,211.9,"","",NA,"","",NA,"corgroup164","",""
"FT4691",147.0442,131.4,"","",NA,"","",NA,"corgroup232","",""
"FT1024",147.0768,32.2,"","",NA,"","",NA,"corgroup129","",""
"FT0280",147.1137,27.6,"","",NA,"","",NA,"corgroup134","",""
"FT0108",148.0277,22.1,"","",NA,"","",NA,"corgroup216","",""
"FT0809",148.0374,29.9,"","",NA,"","",NA,"corgroup134","",""
"FT3279",149.0601,83.8,"","",NA,"","",NA,"corgroup73","",""
"FT9005",149.0602,237.8,"","",NA,"","",NA,"corgroup76","",""
"FT0930",151.0472,31.7,"","",NA,"","",NA,"corgroup129","",""
"FT3033",151.0757,69.7,"","",NA,"","",NA,"corgroup285","",""
"FT2221",152.0352,49.1,"","",NA,"","",NA,"corgroup169","",""
"FT3219",154.0504,80.8,"","",NA,"","",NA,NA,"",""
"FT5273",154.0505,144.2,"","",NA,"","",NA,"corgroup204","",""
"FT2439",154.0858,51.2,"","",NA,"","",NA,"corgroup169","",""
"FT0875",155.0442,32.3,"","",NA,"","",NA,"corgroup129","",""
"FT0832",156.0772,31.2,"","",NA,"","",NA,"corgroup129","",""
"FT6347",158.0603,174.7,"","",NA,"","",NA,"corgroup117","",""
"FT2593",158.0604,53.3,"","",NA,"","",NA,"corgroup178","",""
"FT4216",158.0817,116.5,"","",NA,"","",NA,"corgroup156","",""
"FT2980",158.0817,66.8,"","",NA,"","",NA,"corgroup253","",""
"FT3482",158.0817,92.1,"","",NA,"","",NA,"corgroup329","",""
"FT3906",159.0919,109.3,"","",NA,"","",NA,"corgroup170","",""
"FT3928",162.0548,109.3,"","",NA,"","",NA,"corgroup168","",""
"FT1248",162.0765,33.7,"","",NA,"","",NA,"corgroup129","",""
"FT3983",163.0394,110.7,"","",NA,"","",NA,"corgroup192","",""
"FT4821",163.0395,135.6,"","",NA,"","",NA,"corgroup153","",""
"FT4726",163.0395,131.2,"","",NA,"","",NA,"corgroup263","",""
"FT1260",163.0605,33.9,"","",NA,"","",NA,"corgroup129","",""
"FT11542",163.0759,307.6,"","",NA,"","",NA,"corgroup61","",""
"FT9354",165.0686,248.3,"","",NA,"","",NA,"corgroup273","",""
"FT0842",165.985,31.7,"","",NA,"","",NA,"corgroup129","",""
