"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"2572","2555","21390","1,290.6301","9.751","423.9","158","158_1_F1","2M+NH4; M+NH4","[21379]; [21379]","true","keep_rep"
"2573","2553","21379","1,295.5864","9.749","372.4","158","158_1_F1","2M+Na; M+Na","[21390]; [21390]","false","filtered"
"2570","1546","8393","531.2060","3.731","5,082.2","157","157_1_F1","M+H","[8537]","true","keep_rep"
"2571","1571","8537","609.2237","3.779","620.0","157","157_1_F1","M+DMSO+H","[8393]","false","filtered"
"2567","1815","9973","1,057.5182","4.405","3,352.5","156","156_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+Na","[9974]; [9974, 9975]; [9974]; [9974]; [9974]; [9974, 9975]; [9974]","true","keep_rep"
"2568","1840","9975","1,074.5454","4.419","2,027.3","156","156_1_F1","2M+NH4; M+NH4","[9973, 9974]; [9973, 9974]","false","filtered"
"2569","1813","9974","1,079.5028","4.404","1,046.0","156","156_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[9973]; [9973, 9975]; [9973]; [9973]; [9973]; [9973]; [9973, 9975]","false","filtered"
"2565","2554","21393","977.9383","9.749","339.6","155","155_1_F1","2M+Na; M+Na","[21387]; [21387]","true","keep_rep"
"2566","2556","21387","972.9820","9.751","293.0","155","155_1_F1","2M+NH4; M+NH4","[21393]; [21393]","false","filtered"
"2563","2549","21225","975.5658","9.689","2,501.9","154","154_1_F1","2M+Na; M+Na","[21209]; [21209]","true","keep_rep"
"2564","2548","21209","970.6115","9.678","1,782.3","154","154_1_F1","2M+NH4; M+NH4","[21225]; [21225]","false","filtered"
"2561","1486","7807","962.5005","3.518","2,161.1","153","153_1_F1","2M+NH4; M+NH4","[7790]; [7790]","true","keep_rep"
"2562","1481","7790","967.4506","3.499","391.2","153","153_1_F1","2M+Na; M+Na","[7807]; [7807]","false","filtered"
"2555","1793","10006","887.9173","4.391","4,921.0","152","152_1_F1","M+2H; M+H+NH4; M+H+Na","[10061, 9972]; [10022]; [10061]","true","keep_rep"
"2556","1811","9972","896.4304","4.404","1,356.7","152","152_1_F1","2M+NH4; M+H+NH4; M+NH4","[10022]; [10006, 10061]; [10022]","false","filtered"
"2557","1800","9937","881.8789","4.402","709.1","152","152_1_F1","2M+H; M+H; M+H+NH4","[10061]; [10061]; [10072]","false","filtered"
"2558","1830","10022","901.3809","4.408","662.0","152","152_1_F1","2M+NH4; 2M+Na; M+2Na; M+H+Na; M+NH4; M+Na","[10072]; [9972]; [10006]; [10061]; [10072]; [9972]","false","filtered"
"2559","1820","10061","898.9019","4.406","574.9","152","152_1_F1","2M+NH4; M+2Na; M+H+NH4; M+H+Na; M+NH4","[9937]; [10006]; [10022]; [10006, 9972]; [9937]","false","filtered"
"2560","1819","10072","884.3524","4.406","180.0","152","152_1_F1","2M+H; M+H; M+H+Na","[10022]; [10022]; [9937]","false","filtered"
"2552","1681","9144","934.5391","4.017","1,278.2","151","151_1_F1","2M+NH4; M+NH4","[9137, 9146]; [9137, 9146]","true","keep_rep"
"2553","1676","9137","939.4943","4.013","655.7","151","151_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[9146]; [9144, 9146]; [9146]; [9146]; [9146]; [9146]; [9144, 9146]","false","filtered"
"2554","1680","9146","917.5128","4.017","175.9","151","151_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+Na","[9137]; [9137, 9144]; [9137]; [9137]; [9137]; [9137, 9144]; [9137]","false","filtered"
"2550","1937","10730","821.3618","4.722","634.2","150","150_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+Na","[10719]; [10719]; [10719]; [10719]; [10719]; [10719]; [10719]","true","keep_rep"
"2551","1920","10719","843.3463","4.714","151.4","150","150_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[10730]; [10730]; [10730]; [10730]; [10730]; [10730]; [10730]","false","filtered"
"2548","1913","10623","796.4136","4.704","2,408.3","149","149_1_F1","2M+NH4; M+NH4","[10630]; [10630]","true","keep_rep"
"2549","1914","10630","801.3684","4.706","452.1","149","149_1_F1","2M+Na; M+Na","[10623]; [10623]","false","filtered"
"2544","1386","7171","832.4349","3.246","2,577.7","148","148_1_F1","2M+NH4; M+NH4","[7170, 7173, 7176]; [7170, 7173, 7176]","true","keep_rep"
"2545","1385","7170","815.4085","3.246","534.2","148","148_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[7176]; [7171, 7173, 7176]; [7176]; [7176]; [7176]; [7171, 7173, 7176]; [7173]; [7176]","false","filtered"
"2546","1390","7176","837.3898","3.248","466.2","148","148_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[7170]; [7170, 7171, 7173]; [7170]; [7170]; [7170]; [7170]; [7170, 7171, 7173]","false","filtered"
"2547","1387","7173","853.3641","3.246","143.1","148","148_1_F1","2M+K; M+2K-H; M+K","[7170, 7171, 7176]; [7170]; [7170, 7171, 7176]","false","filtered"
"2542","1600","8682","788.4812","3.824","812.0","147","147_1_F1","2M+NH4; M+NH4","[8655]; [8655]","true","keep_rep"
"2543","1596","8655","793.4358","3.818","221.2","147","147_1_F1","2M+Na; M+Na","[8682]; [8682]","false","filtered"
"2540","2021","11298","784.4496","4.965","1,201.8","146","146_1_F1","2M+NH4; M+NH4","[11300]; [11300]","true","keep_rep"
"2541","2022","11300","789.4057","4.967","260.9","146","146_1_F1","2M+Na; M+Na","[11298]; [11298]","false","filtered"
"2538","1869","10352","784.4499","4.548","1,243.8","145","145_1_F1","2M+NH4; M+NH4","[10353]; [10353]","true","keep_rep"
"2539","1870","10353","789.4051","4.550","693.8","145","145_1_F1","2M+Na; M+Na","[10352]; [10352]","false","filtered"
"2533","1732","9382","800.4451","4.140","59,926.7","144","144_1_F1","2M+NH4; M+NH4","[9363, 9364, 9365]; [9363, 9364, 9365]","true","keep_rep"
"2534","1725","9364","805.3999","4.139","11,986.8","144","144_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[9363]; [9363, 9365, 9382]; [9363]; [9363]; [9363]; [9363]; [9363, 9365, 9382]","false","filtered"
"2535","1743","9478","451.2489","4.176","4,318.6","144","144_1_F1","M+DMSO+H","[9363]","false","filtered"
"2536","1726","9365","821.3762","4.139","2,302.3","144","144_1_F1","2M+K; M+2K-H; M+K","[9363, 9364, 9382]; [9363]; [9363, 9364, 9382]","false","filtered"
"2537","1724","9363","783.4182","4.139","1,203.7","144","144_1_F1","2M+ACN+H; 2M+H; 2M+K; M+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[9364]; [9364, 9365, 9382]; [9478]; [9364]; [9364]; [9364]; [9364, 9365, 9382]; [9365]; [9364]","false","filtered"
"2529","2087","11764","784.4499","5.202","41,290.0","143","143_1_F1","2M+NH4; M+NH4","[11753, 11772, 11773]; [11753, 11772, 11773]","true","keep_rep"
"2530","2088","11772","789.4050","5.204","5,439.1","143","143_1_F1","2M+ACN+Na; 2M+Na; M+2Na; M+2Na-H; M+3Na; M+ACN+Na; M+Na","[11753]; [11753, 11764, 11773]; [11753]; [11753]; [11753]; [11753]; [11753, 11764, 11773]","false","filtered"
"2531","2089","11773","805.3786","5.204","990.6","143","143_1_F1","2M+K; M+2K-H; M+K","[11753, 11764, 11772]; [11753]; [11753, 11764, 11772]","false","filtered"
"2532","2084","11753","767.4236","5.200","912.7","143","143_1_F1","2M+ACN+H; 2M+H; M+2H; M+3H; M+ACN+H; M+H; M+K; M+Na","[11772]; [11764, 11772, 11773]; [11772]; [11772]; [11772]; [11764, 11772, 11773]; [11773]; [11772]","false","filtered"
"2526","2372","14676","694.4046","6.564","1,838.6","142","142_1_F1","2M+NH4; M+CH3OH+H; M+NH4","[14677]; [14670]; [14677]","true","keep_rep"
