"","nl_cluster","prec_feature","frag_feature","prec_status","prec_mz","frag_mz","prec_rt","frag_rt","delta_mz","loss_name","r","delta_rt"
"1","1","9698","9697","kept","611.2546","593.2435","4.296","4.296","18.0110","H2O","0.998","0.000"
"2","2","10097","10096","kept","621.3654","603.3541","4.417","4.417","18.0113","H2O","0.996","0.000"
"3","3","9479","9478","kept","469.2595","451.2489","4.176","4.176","18.0106","H2O","1.000","0.000"
"4","4","12780","12779","kept","521.2581","503.2475","5.689","5.689","18.0106","H2O","0.999","0.000"
"5","5","5421","5420","kept","186.1494","168.1389","2.463","2.463","18.0106","H2O","1.000","0.000"
"6","6","3877","3889","kept","237.0872","219.0767","1.817","1.819","18.0106","H2O","0.983","0.002"
"7","7","12747","12749","kept","529.2810","511.2695","5.673","5.673","18.0115","H2O","0.997","0.000"
"8","8","3370","3369","kept","328.1395","310.1290","1.423","1.423","18.0105","H2O","0.999","0.000"
"9","9","8429","8427","kept","748.3230","668.3665","3.737","3.737","79.9565","SO3","1.000","0.000"
"10","10","2519","2518","kept","294.1550","276.1445","0.860","0.860","18.0105","H2O","0.996","0.000"
"11","11","9717","9716","kept","501.2857","483.2752","4.305","4.305","18.0105","H2O","0.972","0.000"
"12","12","1261","1221","kept","360.1508","139.0575","0.552","0.551","221.0933","N-acetylglucosamine","0.999","0.001"
"13","12","1261","1213","kept","360.1508","198.0977","0.552","0.552","162.0531","Anhydrohexose","0.996","0.001"
"14","13","8585","8587","kept","800.4449","638.3925","3.785","3.786","162.0524","Anhydrohexose","1.000","0.000"
"15","14","232","84","kept","224.9899","179.9913","0.401","0.401","44.9986","COOH","0.986","0.001"
"16","15","2384","2217","kept","182.0818","136.0761","0.816","0.816","46.0057","HCOOH(H2+CO2 or H2O+CO)","0.998","0.000"
"17","16","5348","5371","kept","370.1143","194.0815","2.449","2.448","176.0328","Anhydroglucuronic-acid","1.000","0.002"
"18","17","11809","11807","kept","584.2543","504.2961","5.217","5.217","79.9582","SO3","0.999","0.000"
"19","18","5372","5370","kept","195.0648","177.0551","2.442","2.442","18.0098","H2O","0.997","0.001"
"20","19","145","231","kept","244.9475","216.9513","0.373","0.371","27.9963","CO","0.997","0.001"
"21","20","9203","9341","kept","551.2318","357.1901","4.048","4.047","194.0417","Glucuronic-acid","0.998","0.001"
"22","21","4033","3904","kept","417.1756","144.0813","1.853","1.853","273.0943","Î³-GluAlaGly-2H","0.995","0.001"
"23","22","8555","8553","kept","585.2365","567.2276","3.781","3.781","18.0089","H2O","1.000","0.000"
"24","23","5627","5626","kept","369.1912","207.1384","2.574","2.574","162.0529","Anhydrohexose","0.997","0.000"
"25","24","6490","6491","kept","723.1116","643.1511","2.960","2.960","79.9605","SO3","0.993","0.000"
"26","25","13352","13351","kept","531.3074","453.2641","5.962","5.962","78.0433","benzene","0.997","0.000"
"27","26","3699","3682","kept","358.1283","327.1054","1.670","1.669","31.0229","CH2OH","0.988","0.001"
"28","27","14904","14942","kept","477.2620","435.2508","6.670","6.670","42.0111","CH2CO","0.998","0.000"
"29","28","2573","2438","kept","176.0922","132.1024","0.874","0.873","43.9899","CO2","0.991","0.001"
"30","29","139","186","kept","218.9842","200.9731","0.395","0.397","18.0112","H2O","0.998","0.002"
"31","30","11335","11334","kept","533.2216","453.2643","4.983","4.983","79.9573","SO3","0.964","0.000"
"32","31","14578","14573","kept","513.2865","495.2752","6.544","6.542","18.0113","H2O","0.981","0.002"
"33","32","10827","10825","kept","607.2214","549.2167","4.783","4.781","58.0047","C2H2O2","0.994","0.002"
