"","peak_id","Feature","mz","ret","int","group_id","family_id","adducts","connected_to","keep_rep","status"
"2671","1896","2250","390.9005","9.697","5,291,491.5","305","305_1_F1","M-3H","[2856]","true","keep_rep"
"2672","2396","2856","586.8540","9.697","667,374.4","305","305_1_F1","M-2H","[2250]","false","filtered"
"2669","2668","3197","915.5984","1.345","439,355.6","304","","M-H","[3198]","false","kept (no corr-family)"
"2670","2669","3198","916.6025","1.345","204,378.4","304","","M-","[3197]","false","kept (no corr-family)"
"2667","2656","3184","888.5684","1.310","604,738.9","303","","M-H","[3185]","false","kept (no corr-family)"
"2668","2657","3185","889.5790","1.310","196,787.3","303","","M-","[3184]","false","kept (no corr-family)"
"2664","2654","3182","887.5608","1.304","2,085,207.0","302","","M-H","[3183, 3194]","false","kept (no corr-family)"
"2665","2655","3183","888.5671","1.304","983,457.4","302","","M-","[3182, 3194]","false","kept (no corr-family)"
"2666","2665","3194","909.5495","1.304","351,978.5","302","","M+Na-2H","[3182, 3183]","false","kept (no corr-family)"
"2662","2646","3172","872.5996","1.506","804,486.7","301","","M-H","[3175]","false","kept (no corr-family)"
"2663","2649","3175","873.6041","1.505","304,209.3","301","","M-","[3172]","false","kept (no corr-family)"
"2660","2653","3180","885.5499","1.304","11,010,608.9","300","","M+Na-2H","[3161]","false","kept (no corr-family)"
"2661","2636","3161","864.5690","1.304","165,954.6","300","","M-","[3180]","false","kept (no corr-family)"
"2658","2652","3178","883.5344","1.304","1,743,977.0","299","299_1_F1","M+Na-2H","[3158]","true","keep_rep"
"2659","2634","3158","861.5499","1.304","1,304,460.2","299","299_1_F1","M-H","[3178]","false","filtered"
"2654","2622","3144","848.6024","2.585","6,093,436.0","298","","M-H","[3145]","false","kept (no corr-family)"
"2655","2623","3145","849.6060","2.585","2,773,596.8","298","","M-; M-H","[3144]; [3146]","false","kept (no corr-family)"
"2656","2624","3146","850.6089","2.585","831,581.5","298","","M-; M-H","[3145]; [3124]","false","kept (no corr-family)"
"2657","2607","3124","832.6068","2.585","648,816.1","298","","M-H2O-H","[3146]","false","kept (no corr-family)"
"2651","2609","3126","834.5273","1.310","442,283.9","297","297_1_F1","M-; M-H","[3125]; [3129]","true","keep_rep"
"2652","2608","3125","833.5182","1.310","349,599.5","297","297_1_F1","M-H","[3126]","false","filtered"
"2653","2612","3129","835.5336","1.310","1,276,692.7","297","","M-","[3126]","false","kept (no corr-family)"
"2649","2642","3167","868.5707","1.465","1,605,977.4","296","","M+Cl","[3177]","false","kept (no corr-family)"
"2650","2651","3177","878.5912","1.465","140,529.1","296","","M+FA-H","[3167]","false","kept (no corr-family)"
"2647","2596","3111","822.5779","2.518","2,718,819.2","295","","M-H","[3113]","false","kept (no corr-family)"
"2648","2598","3113","823.5815","2.518","521,313.6","295","","M-","[3111]","false","kept (no corr-family)"
"2644","2617","3137","844.5697","1.465","1,382,218.1","294","294_1_F1","M+Cl","[3150]","true","keep_rep"
"2645","2627","3150","854.5908","1.467","941,373.0","294","294_1_F1","M+FA-H; M-H2O-H","[3137]; [3188]","false","filtered"
"2646","2659","3188","894.5864","1.465","621,474.4","294","","M+Na-2H","[3150]","false","kept (no corr-family)"
"2642","2573","3081","794.5548","2.585","1,044,350.3","293","","M-H","[3082]","false","kept (no corr-family)"
"2643","2574","3082","795.5573","2.585","573,615.0","293","","M-","[3081]","false","kept (no corr-family)"
"2640","2564","3068","784.1503","6.770","560,034.1","292","","M-H","[3069]","false","kept (no corr-family)"
