"","Feature","mz","rt","intensity","iso_group","status","shift"
"3185","3185","889.5790","1.310","196,787.3","395","keep_rep","C13*1 (z=1)"
"3186","3186","890.5840","1.316","109,913.6","395","filtered","none"
"3180","3180","885.5499","1.304","11,010,608.9","394","keep_rep","C13*1 (z=1)"
"3181","3181","886.5535","1.304","5,711,411.1","394","filtered","none"
"3178","3178","883.5344","1.304","1,743,977.0","393","keep_rep","C13*1 (z=1)"
"3179","3179","884.5379","1.304","911,292.7","393","filtered","none"
"3167","3167","868.5707","1.465","1,605,977.4","392","keep_rep","C13*1 (z=1)"
"3169","3169","869.5739","1.465","851,848.6","392","filtered","none"
"3158","3158","861.5499","1.304","1,304,460.2","391","keep_rep","C13*1 (z=1)"
"3159","3159","862.5538","1.304","680,682.0","391","filtered","none"
"3154","3154","856.6073","2.518","1,229,321.5","390","keep_rep","C13*1 (z=1)"
"3156","3156","857.6109","2.518","550,116.8","390","filtered","none"
"3147","3147","852.5762","1.465","455,981.1","389","keep_rep","C13*1 (z=1)"
"3149","3149","853.5794","1.467","213,732.9","389","filtered","none"
"3141","3141","846.5870","2.473","5,746,701.9","388","keep_rep","C13*1 (z=1)"
"3142","3142","847.5906","2.473","2,938,686.1","388","filtered","none"
"3137","3137","844.5697","1.465","1,382,218.1","387","keep_rep","C13*1 (z=1)"
"3140","3140","845.5739","1.469","703,047.9","387","filtered","none"
"3135","3135","842.5554","1.457","2,897,349.1","386","keep_rep","C13*1 (z=1)"
"3136","3136","843.5584","1.451","1,441,172.8","386","filtered","none"
"3133","3133","838.5589","1.324","529,591.1","385","keep_rep","C13*1 (z=1)"
"3134","3134","839.5633","1.324","208,076.0","385","filtered","none"
"3131","3131","836.5434","1.304","1,499,472.6","384","keep_rep","C13*1 (z=1)"
"3132","3132","837.5478","1.304","723,709.4","384","filtered","none"
"3116","3116","826.5604","1.459","892,107.5","383","keep_rep","C13*1 (z=1)"
"3118","3118","827.5642","1.465","376,931.6","383","filtered","none"
"3114","3114","824.7250","16.050","11,479,433.1","382","keep_rep","C13*1 (z=1)"
"3115","3115","825.7282","16.050","1,112,592.2","382","filtered","none"
"3107","3107","821.5331","1.284","521,738.9","381","keep_rep","C13*1 (z=1)"
"3109","3109","822.5366","1.284","259,043.3","381","filtered","none"
"3099","3099","812.5445","1.324","1,218,633.9","380","keep_rep","C13*1 (z=1)"
"3100","3100","813.5479","1.324","549,832.3","380","filtered","none"
"3097","3097","810.5294","1.324","1,622,514.8","379","keep_rep","C13*1 (z=1)"
"3098","3098","811.5324","1.324","779,250.5","379","filtered","none"
"3094","3094","808.1191","7.747","318,311.6","378","keep_rep","C13*1 (z=1)"
"3096","3096","809.1219","7.750","82,393.2","378","filtered","none"
"3091","3091","806.5917","2.585","3,239,210.2","377","keep_rep","C13*1 (z=1)"
"3093","3093","807.5950","2.585","1,540,958.4","377","filtered","none"
"3086","3086","804.5763","2.540","1,066,719.4","376","keep_rep","C13*1 (z=1)"
"3087","3087","805.5793","2.540","496,274.6","376","filtered","none"
"3081","3081","794.5548","2.585","1,044,350.3","375","keep_rep","C13*1 (z=1)"
"3083","3083","795.5586","2.585","489,396.6","375","filtered","none"
"3079","3079","793.5428","1.485","3,678,113.0","374","keep_rep","C13*1 (z=1)"
"3080","3080","794.5467","1.485","799,812.5","374","filtered","none"
"3075","3075","790.5223","1.465","507,410.3","373","keep_rep","C13*1 (z=1)"
"3076","3076","791.5263","1.465","249,689.3","373","filtered","none"
"3072","3072","788.5458","1.337","1,640,464.6","372","keep_rep","C13*1 (z=1)"
"3074","3074","789.5490","1.329","732,641.1","372","filtered","none"
"3070","3070","786.5293","1.324","781,215.9","371","keep_rep","C13*1 (z=1)"
"3071","3071","787.5318","1.324","308,342.4","371","filtered","none"
"3065","3065","778.5604","2.563","3,903,425.1","370","keep_rep","C13*1 (z=1)"
"3067","3067","779.5638","2.563","1,753,558.7","370","filtered","none"
"3064","3064","778.5602","1.526","2,978,279.3","369","keep_rep","C13*1 (z=1)"
"3066","3066","779.5637","1.526","1,355,676.1","369","filtered","none"
"3056","3056","771.7427","16.030","2,268,003.2","368","keep_rep","C13*1 (z=2)"
"3057","3057","772.2441","16.030","405,309.9","368","filtered","none"
"3030","3030","748.5289","2.115","1,696,763.8","367","keep_rep","C13*1 (z=1)"
"3032","3032","749.5329","2.115","702,333.8","367","filtered","none"
"3022","3022","744.0844","10.615","794,385.8","366","keep_rep","C13*1 (z=1)"
"3024","3024","745.0872","10.615","194,471.8","366","filtered","none"
"3018","3018","742.0685","10.315","511,264.5","365","keep_rep","C13*1 (z=1)"
"3020","3020","743.0712","10.314","117,994.5","365","filtered","none"
"3015","3015","738.7567","16.030","3,066,505.6","364","keep_rep","C13*1 (z=2)"
"3016","3016","739.2581","16.030","491,219.1","364","filtered","none"
"2996","2996","718.7606","16.041","6,978,194.6","363","keep_rep","C13*1 (z=1)"
"2998","2998","719.7629","16.044","593,816.4","363","filtered","none"
"2986","2986","697.2915","1.365","6,685,561.8","362","keep_rep","C13*1 (z=1)"
"2987","2987","698.2948","1.365","2,502,776.7","362","filtered","C13*1 (z=1)"
"2989","2989","699.2975","1.364","586,693.8","362","filtered","none"
"2981","2981","693.1192","8.294","2,683,256.5","361","keep_rep","C13*1 (z=1)"
