id,rt,mz
pos_10017,3.198,617.15045
pos_10058,7.123,620.36646
pos_10106,9.799,625.26794
pos_10116,2.958,626.17407
pos_10121,3.511,626.3457
pos_10140,5.245,628.28052
pos_9950,5.245,611.25403
pos_10190,2.958,633.14502
pos_10208,5.328,634.36108
pos_10209,5.135,634.36127
pos_10222,9.753,637.30743
pos_10353,9.752,654.33411
pos_10227,4.878,638.39197
pos_9669,4.406,586.26947
pos_9507,4.406,569.2428
pos_10237,5.135,639.31647
pos_10273,4.425,643.34686
pos_8044,4.419,459.31067
pos_10322,2.956,649.11853
pos_10329,4,650.30237
pos_10332,4.285,650.35614
pos_693,0.554,138.05522
pos_253,0.563,116.07108
pos_9492,4.862,568.25922
pos_8899,4.86,515.21094
pos_10355,3.891,654.38739
pos_9848,3.873,602.26526
pos_10362,5.135,655.29047
pos_10365,4.285,655.31128
pos_10383,9.751,659.28912
pos_10435,9.752,668.34949
pos_10436,3.737,668.3667
pos_10447,3.727,670.38232
pos_10454,4.285,671.28522
pos_10478,3.727,675.33752
pos_10518,9.751,682.3653
pos_10582,6.742,694.40332
pos_10587,3.346,696.38281
pos_10611,6.744,699.35858
pos_1070,0.512,156.07712
pos_10738,5.962,728.3913
pos_8577,5.962,493.2565
pos_5579,3.948,339.10782
pos_10752,3.955,732.32843
pos_10774,3.955,737.28314
pos_10807,3.737,748.32281
pos_10824,3.737,753.27802
pos_10834,2.346,757.22089
pos_10881,2.168,773.21539
pos_10906,2.344,779.20251
pos_10919,3.788,783.41833
pos_10985,3.788,800.44531
pos_10925,5.206,784.44983
pos_10937,2.17,788.2265
pos_10947,5.206,789.40485
pos_10972,2.168,795.19714
pos_5717,4.14,344.14981
pos_10983,4.142,800.44513
pos_10984,3.953,800.44525
pos_11004,3.953,805.39978
pos_11005,4.14,805.40002
pos_11051,3.788,821.37506
pos_11006,3.788,805.40027
pos_11029,4.484,816.43988
pos_8850,4.494,511.26791
pos_11045,3.824,821.31934
pos_11047,3.669,821.32471
pos_1110,1.966,158.08156
pos_11120,2.899,855.33167
pos_8812,5.962,509.2309
pos_11288,5.962,963.52441
pos_11287,3.606,962.4978
pos_11296,3.606,967.45288
pos_8477,5.264,488.30118
pos_8227,5.264,471.27475
pos_9007,4.178,525.22601
pos_8817,4.178,509.25214
pos_11398,4.86,1154.50452
pos_9670,4.86,586.26965
pos_2660,1.821,227.07936
pos_2142,1.823,205.09741
pos_1207,2.177,163.03915
pos_6557,1.841,377.08484
pos_1208,1.841,163.03918
pos_5716,2.239,344.13437
pos_1209,2.235,163.03918
pos_1213,8.074,163.07559
pos_3507,5.169,261.11014
pos_2955,5.17,239.12808
pos_1217,7.824,163.07567
pos_6274,8.012,365.13669
pos_1218,8.013,163.07567
pos_1257,0.81,165.05498
pos_325,1.38,120.08121
pos_1284,1.38,166.08655
pos_1299,0.471,167.02193
pos_1337,0.418,169.04597
pos_1341,0.525,169.05861
pos_1397,2.257,171.09201
pos_2408,2.255,217.0975
pos_1476,5.036,173.11772
pos_1525,0.884,176.09206
pos_1541,2.696,177.05496
pos_6837,2.31,391.10056
pos_1543,2.31,177.05499
pos_1564,4.871,178.07811
pos_1623,2.015,181.08624
pos_6690,2.015,383.1319
pos_1640,0.81,182.08157
pos_6139,0.554,360.15048
pos_5200,0.554,325.11328
pos_1920,2.464,195.06552
pos_2445,3.499,219.09956
pos_1969,3.499,197.11763
pos_1970,3.223,197.11768
pos_1984,2.067,198.07652
pos_2077,1.032,202.10782
pos_2108,0.814,203.05292
pos_2109,1.045,203.05295
pos_2134,1.535,204.15985
pos_2147,1.895,205.12265
pos_2157,1.623,206.04521
pos_2226,2.81,209.15407
pos_7240,2.798,412.21945
pos_2280,3.489,211.16965
pos_2285,4,211.16978
pos_232,2.133,114.09187
pos_2336,3.36,214.08998
pos_2339,0.801,214.09013
pos_2341,12.191,214.09021
pos_2342,0.582,214.09044
pos_2344,1.942,214.10762
pos_2481,1.608,220.11844
pos_2489,5.314,220.13364
pos_2501,0.888,221.09242
pos_254,1.241,116.07108
pos_2554,1.895,223.13327
pos_256,0.81,116.07111
pos_2602,2.574,225.1489
pos_2720,0.936,229.15488
pos_2777,2.36,232.19119
pos_2848,5.499,235.16908
pos_2870,3.608,236.10405
pos_2930,2.848,238.10788
pos_3225,1.38,250.03897
pos_3260,1.387,251.13933
pos_3261,1.635,251.1395
pos_3434,0.53,258.11038
pos_3471,9.454,259.20609
pos_3505,0.81,261.0947
pos_3534,0.585,262.1286
pos_3602,0.418,265.01572
pos_3613,2.094,265.155
pos_3614,1.859,265.15512
pos_3617,6.652,265.15878
pos_3641,4.874,266.17288
pos_3678,1.162,268.1044
pos_369,0.92,123.05576
pos_3835,0.587,274.09204
pos_531,0.809,130.05025
pos_3836,0.808,274.09244
pos_3854,0.882,275.11041
pos_4387,0.866,294.15518
pos_4086,1.202,282.15512
pos_4214,1.202,287.11047
pos_3856,1.054,275.11053
pos_3867,6.21,275.20117
pos_3920,0.81,277.0686
pos_3934,5.901,277.18042
pos_3946,7.184,277.2168
pos_3935,7.197,277.18045
pos_3945,7.316,277.2168
pos_8950,7.318,520.34113
pos_398,2.708,124.07623
pos_40,0.505,104.10766
pos_4013,0.525,280.09241
pos_4016,0.805,280.13925
pos_4702,3.916,306.11066
pos_4133,3.916,284.12872
pos_4206,3.196,287.05469
pos_4215,1.421,287.11053
pos_4270,6.096,289.18039
pos_4300,1.057,291.08447
pos_4305,0.81,291.10544
pos_4310,5.753,291.19592
pos_4313,5.667,291.19604
pos_4803,5.671,309.2067
pos_4371,4.712,293.21155
pos_4372,7.487,293.21161
pos_4373,5.039,293.21164
pos_4374,7.555,293.21164
pos_4385,0.922,294.15509
pos_4421,2.128,295.12933
pos_4436,8.125,295.22714
pos_4440,7.933,295.22736
pos_4444,0.519,296.0661
pos_5539,7.029,337.10495
pos_933,7.029,149.06
pos_8696,5.262,502.31677
pos_4537,5.262,299.16425
pos_458,0.554,127.0393
pos_4585,3.986,301.11877
pos_5425,3.984,333.14511
pos_4621,2.958,303.04974
pos_4622,2.168,303.05008
pos_886,2.164,147.04425
pos_4686,0.816,305.12076
pos_4747,6.094,307.19101
pos_4794,0.542,309.12939
pos_4912,1.012,314.09225
pos_5945,4.035,352.09521
pos_4915,4.035,314.13922
pos_4991,7.228,317.20956
pos_5049,1.679,320.17093
pos_5132,8.047,322.27472
pos_5152,9.209,323.19653
pos_5185,8.621,324.29034
pos_5274,1.432,328.13956
pos_5393,1.741,332.13455
pos_5446,2.624,334.18729
pos_5589,2.625,339.14203
pos_5473,2.299,335.12415
pos_5478,3.358,335.16089
pos_5479,3.628,335.16122
pos_6267,0.548,365.10577
pos_5500,0.565,336.09601
pos_5502,4.035,336.12119
pos_5553,2.267,338.16156
pos_5581,3.689,339.10794
pos_5584,1.976,339.10803
pos_5586,2.543,339.10815
pos_5591,5.47,339.15759
pos_5598,7.222,339.19141
pos_5679,0.554,343.12399
pos_5687,8.071,343.15408
pos_5708,5.633,343.33969
pos_5719,8.186,344.1861
pos_5775,4.688,346.25952
