cluster,cluster.size,strength,id,source,Alignment.ID,Average.Rt.min.,Average.Mz,Adduct.type,Post.curation.result,Fill..,S.N.average,Spectrum.reference.file.name,MS1.isotopic.spectrum,MS.MS.spectrum,Metabolite.name,Blank.1,Blank.2,Blank.3,Blank.4,Blank.5,Blank.6,QC.1,QC.2,QC.3,avg_Blank,avg_QC,sd_Blank,sd_QC,ratio_Blank,rsd_QC,rsd_min,rmd,identified_by_MSDial
1,1,0,pos_10017,pos,10017,3.198,617.15045,[M+Na]+,adduct linked to 7836_[M-C6H10O4+H]+,0.333,5031.38,Orbi_P_E2_WS03A,617.15045:379514 618.1538:163853 619.15716:36998,284.23135:3459 308.02927:7320,Unknown,0,0,0,0,0,0,9.397909e-5,9.081956e-5,9.211593e-5,0,9.2304859814855e-5,0,1.58821728129683e-6,0,1.72062151925963,1.72062151925963,243.78172291696137,FALSE
2,1,0,pos_10058,pos,10058,7.123,620.36646,[M+NH4]+,adduct linked to 10108_[M+Na]+,0.333,75.16,Orbi_P_E2_WS03A,620.36688:340211 621.37023:123980 622.37359:32695,93.07139:3580 95.08643:6819 121.1012:4257,Unknown,0,0,0,0,0,0,8.424653e-5,8.41156e-5,8.880903e-5,0,8.5723719773038e-5,0,2.67275800178557e-6,0,3.1178745029519956,3.1178745029519956,590.7153652374452,FALSE
3,1,0,pos_10106,pos,10106,9.799,625.26794,[M+H]+,adduct linked to 10301_[M+Na]+,0.333,36.25,Orbi_P_E2_WS03A,625.2677:203652 626.27105:94034 627.27441:27330,149.92557:3299 168.69299:2900 521.25372:6858,Unknown,0,0,0,0,0,0,5.043034e-5,6.731949e-5,6.506626e-5,0,6.09386928166108e-5,0,9.16997540446019e-6,0,15.047870212865178,15.047870212865178,428.5202916368193,FALSE
4,1,0,pos_10116,pos,10116,2.958,626.17407,[M+NH4]+,adduct linked to 10169_[M+Na]+; adduct linked to 10299_[M+K]+,0.333,26.35,Orbi_P_E2_WS03A,626.17407:440710 627.17742:158065 628.18078:38068,60.18183:10561 129.05524:10245 273.03973:28807,Unknown,0,0,0,0,0,0,1.091331e-4,1.019477e-4,9.76341e-5,0,1.02904959931038e-4,0,5.80896315736781e-6,0,5.644978785532496,5.644978785532496,277.98979283832176,FALSE
5,1,0,pos_10121,pos,10121,3.511,626.3457,[2M+H]+,adduct linked to 5762_[M+CH3OH+H]+,0.333,67.83,Orbi_P_E2_WS03A,626.34589:462040 627.34924:209514 628.3526:56378,423.50671:3107 580.33917:42038,Unknown,0,0,0,0,0,0,1.144149e-4,1.194555e-4,1.345045e-4,0,1.22791614558082e-4,0,1.04520326161698e-5,0,8.512008457406393,8.512008457406393,551.9316249795684,FALSE
6,2,0.01743416351875669,pos_10140,pos,10140,5.245,628.28052,[M+NH4]+,adduct linked to 9950_[M+H]+,0.333,78.39,Orbi_P_E2_WS03A,628.28082:437946 629.28417:182170 630.28753:54943,56.84484:3349 195.88168:3403 235.14815:9693 361.10986:14287,Unknown,0,0,0,0,0,0,1.084486e-4,1.295337e-4,1.177611e-4,0,1.1858112217548e-4,0,1.0566444654683e-5,0,8.91073086578355,8.91073086578355,446.48845709878776,FALSE
6,2,0.01743416351875669,pos_9950,pos,9950,5.245,611.25403,[M+H]+,adduct linked to 10140_[M+NH4]+; adduct linked to 10192_[M+Na]+; adduct linked to 10195_[M+Na]+,0.333,20.35,Orbi_P_E2_WS03A,611.25458:389006 612.25793:130562 613.26129:37159,97.27215:2839 225.51564:3219 245.13319:16200,Unknown,0,0,0,0,0,0,9.632963e-5,1.074869e-4,9.530535e-5,0,9.97072808483305e-5,0,6.75675352667453e-6,0,6.776589903151155,6.776589903151155,415.58826205193833,FALSE
7,1,0,pos_10190,pos,10190,2.958,633.14502,[M+2Na-H]+,adduct linked to 9707_[M+H]+,0.333,11408.8,Orbi_P_E2_WS03A,633.14502:1834171 634.14837:680552 635.15173:178092,310.96097:2874 325.03253:16599 331.10016:106232,Unknown,0,0,0,0,0,0,4.541957e-4,4.358963e-4,4.333032e-4,0,4.41131734987721e-4,0,1.13878145618989e-5,0,2.5814997332295495,2.5814997332295495,229.0470514954773,FALSE
8,1,0,pos_10208,pos,10208,5.328,634.36108,[M+H]+,NA,0.333,177.19,Orbi_P_E2_WS03A,634.36145:550661 635.3648:271914 636.36816:60031,68.57374:3300 123.04483:5503 155.08583:8840 251.14325:4764 315.12509:3510 383.23837:3943 419.26025:14895,Unknown,0,0,0,0,0,0,1.363601e-4,1.549215e-4,1.443841e-4,0,1.45221905161937e-4,0,9.30901255523749e-6,0,6.4101986162879525,6.4101986162879525,569.2026377154402,FALSE
9,1,0,pos_10209,pos,10209,5.135,634.36127,[2M+ACN+H]+,adduct linked to 4504_[M+2H]+,0.333,1052.6,Orbi_P_E2_WS03A,634.36121:3497599 635.36456:1649428 636.36792:397106,60.01853:3088 67.05498:12898 107.08571:7198 147.11743:4981 159.11734:6336 209.09583:10701 251.14442:7712 265.15863:84161 295.20694:5255 307.20535:9546 373.25314:19029 401.24887:40324,Unknown,0,0,0,0,0,0,8.661103e-4,9.641419e-4,9.132279e-4,0,9.14493342861533e-4,0,4.90280779183173e-5,0,5.361228520800816,5.361228520800816,569.5019811029612,FALSE
