Feature,m/z,RT
624,242.9259617,0.47041887
682,106.951101,0.47174066
280,147.1136737,0.46065807
550,514.8770181,0.46910965
822,244.9230799,0.4966404
859,203.053093,0.5128053
1264,116.0712063,0.56172156
1355,130.0503611,0.56947875
1182,148.0607585,0.5572169
1258,104.071372,0.5551544
1167,176.1034676,0.5458595
1502,130.0867342,0.58782727
1479,182.0818066,0.5835974
2289,130.0503905,0.80821925
2217,136.076099,0.8160416
2148,102.0556712,0.80058664
2154,172.0594488,0.8204707
2165,219.136676,0.8040201
2540,138.0917631,0.8575337
2669,229.9489753,0.94386065
3219,154.0503576,1.3472514
3279,149.0601488,1.3970603
3297,166.0869516,1.417766
5372,195.0648493,2.4417114
5356,288.1450087,2.4679983
6331,339.1415825,2.9192805
7795,197.1177421,3.4902167
8458,362.2546117,3.7394278
9012,233.0791456,3.9644728
11457,173.1178604,5.050671
11548,261.1105882,5.081309
11769,311.2218456,5.2143903
12199,313.2378891,5.4236355
14542,387.1948425,6.5297656
16220,317.2112826,7.240511
16508,277.2168714,7.3418407
18438,245.1501654,8.293584
145,244.9475245,0.37269926
181,169.0462455,0.3699988
231,216.9512638,0.371403
43,234.961351,0.3725722
108,148.0277472,0.3691534
189,217.98956,0.375543
132,146.0302461,0.3821843
176,130.0172965,0.38318232
121,255.9417344,0.38238192
133,147.0255721,0.39545515
131,141.0061053,0.389016
187,142.0352661,0.38185114
230,203.006958,0.3867404
135,165.0535751,0.39310896
84,179.9913123,0.40147793
192,239.9670967,0.4088852
80,182.9629673,0.38836986
232,224.989947,0.4009664
186,200.9730532,0.3972162
139,218.9842486,0.39526019
61,222.9305124,0.40418237
237,290.9432869,0.40716347
105,124.0239089,0.4225952
193,242.0004585,0.42936942
234,266.9276459,0.42925322
199,284.9385409,0.4369203
658,192.911037,0.4428637
276,268.9620582,0.44978973
295,180.0871232,0.45477757
511,600.8339752,0.4498976
604,446.8887942,0.46975523
579,448.8877194,0.47077665
574,312.9117396,0.4671946
660,410.8520547,0.46607012
700,108.9502285,0.46265948
783,180.9043515,0.48410183
705,122.9250312,0.48453605
939,280.0925202,0.48817444
652,198.1238967,0.48615366
494,718.8406096,0.47174877
371,220.1063036,0.4814284
828,365.1062661,0.50351113
793,104.1077023,0.50064415
750,162.0764743,0.4973404
1263,115.0378367,0.50180024
370,178.0590941,0.49534574
1235,140.0621074,0.49985346
809,148.0373914,0.49788496
832,156.0772478,0.5195639
965,258.1106665,0.53177905
655,258.8975114,0.5101002
842,165.9849755,0.52845156
796,105.1109614,0.5181578
1177,381.0802079,0.52442914
572,202.0705251,0.5180021
933,169.0587383,0.52062434
1109,176.0127216,0.5165823
691,205.0688074,0.52970135
1261,360.1508185,0.55230343
1047,150.0769676,0.56604654
1106,120.0660553,0.5438544
1445,172.0961557,0.54094344
1213,198.0977077,0.5517218
1254,325.113712,0.54603124
1285,145.0504858,0.5459968
932,167.0210898,0.55311275
1257,127.0394726,0.5582969
1024,147.0767955,0.5369775
955,274.0912684,0.55669975
1221,139.0574944,0.5509528
1260,163.0605374,0.56526554
844,193.0013948,0.5467521
1265,142.12313,0.55472755
906,133.0611844,0.5534413
966,170.0433403,0.5462454
1345,175.1091695,0.5572
1325,427.0775348,0.56795657
875,155.0442372,0.5382028
1164,159.0767813,0.5437938
925,171.0641268,0.54302037
825,143.0819603,0.5491338
1293,117.0694497,0.54638517
1003,149.0815258,0.5692886
1477,136.062157,0.5835974
1409,144.102281,0.5835951
1393,158.0816973,0.5883386
1442,123.0438604,0.5829266
1571,137.0599754,0.58085924
1509,274.0920355,0.59050095
1459,262.1296529,0.5865138
1449,189.1234582,0.5847916
1514,170.0814544,0.5931554
1652,132.1023718,0.59948754
1664,184.1338008,0.60258776
1802,178.995207,0.66144687
2201,136.062189,0.80686975
2216,124.0398866,0.81498253
2389,190.1078172,0.82431984
2309,152.0710198,0.81146073
2221,152.0352117,0.8180854
2199,126.0555449,0.80621636
2151,137.0598975,0.8177403
2215,123.0432182,0.8342813
2224,170.0814169,0.810869
2153,163.0605809,0.8025064
2367,206.1028873,0.79962975
2231,232.0140848,0.80108786
2310,165.0543986,0.8124822
2299,130.062835,0.83034223
2162,200.1647184,0.79743385
2368,229.1189824,0.8283405
2214,119.0495095,0.82447606
2232,196.0590388,0.81753474
2227,180.1023999,0.82392305
2213,109.0290858,0.82010216
2516,158.0817506,0.8585893
2439,154.0858258,0.8529883
2438,132.1023788,0.87296814
2573,176.0922318,0.8741196
2539,121.0653693,0.87356436
2552,253.1292101,0.9111365
2746,202.1806828,0.9274843
2651,123.0558362,0.955957
2762,137.0468873,0.9717252
2736,186.0765308,0.96823514
2888,144.065911,1.0546438
2862,253.1291676,1.0596385
2892,270.1555009,1.0887861
2980,158.0816844,1.112751
3021,168.1026245,1.1527388
3033,151.0757113,1.1617979
3039,268.1045896,1.2171291
3118,195.0802303,1.2229633
3173,184.1337296,1.2669876
3167,230.102934,1.2894909
3278,131.0507277,1.3812301
3334,121.0856166,1.3914883
3282,188.0701177,1.3953288
3367,121.0653825,1.4231284
3371,138.0917417,1.4434073
3406,167.0705857,1.4538252
3435,169.0964229,1.4609225
3466,144.0659068,1.5010221
3482,158.0816925,1.5342793
3486,204.1600548,1.5540689
3498,180.0641195,1.5735424
3580,220.1186501,1.6154279
3778,239.0920406,1.7612299
3919,115.0520642,1.7934341
3920,118.0658832,1.8110205
3921,132.0784853,1.8196555
3936,142.0631409,1.816249
3905,146.060421,1.8406173
4015,205.0978559,1.8572038
3978,243.0847002,1.8537856
3930,205.0835292,1.8539685
3904,144.0812936,1.8525321
4029,188.0709892,1.8681338
4102,223.1332311,1.9089205
4163,214.1071665,1.9200826
4216,158.0816801,1.9419253
4149,186.1493431,1.9701352
4306,213.07476,1.9941279
4299,181.0858658,2.0060053
4348,177.0550141,2.0629992
4437,161.0815624,2.062994
4427,146.060488,2.0766585
4443,271.1169965,2.1010072
4479,180.1020611,2.1250458
4521,103.0544149,2.12965
4504,120.0813346,2.1370485
4740,381.0806997,2.1856146
4566,338.1806139,2.204369
4938,188.0710767,2.2279189
4904,205.0977865,2.2426121
4910,144.0813479,2.239747
4843,135.0443704,2.2515724
5040,177.0550864,2.2901065
