mz	rtime	[EmpCpd]interim_id            	[EmpCpd]ion_relation	neutral_formula	neutral_formula_mass            	name_1st_guess	matched_DB_shorts	matched_DB_records	user_input
155.0442372	0.5382028	kp1_126.0317	13C/12C*6,Na/H	['C6H6O3']	126.03170199323	5-Methylfuran-2-carboxylic acid	{'C6H6O3': [{'DB_ID': 'HMDB0059735', 'name': '5-Methylfuran-2-carboxylic acid'}, {'DB_ID': 'HMDB0013674', 'name': '1,2,3-Trihydroxybenzene'}, {'DB_ID': 'HMDB0013675', 'name': '1,3,5-Trihydroxybenzene'}, {'DB_ID': 'HMDB0029750', 'name': 'Methyl 2-furoate'}, {'DB_ID': 'HMDB0030776', 'name': 'Maltol'}, {'DB_ID': 'HMDB0031256', 'name': '4-Hydroxy-2H-pyran-3-carboxaldehyde'}, {'DB_ID': 'HMDB0032651', 'name': '(Z)-Tamarindienal'}, {'DB_ID': 'HMDB0034355', 'name': '5-Hydroxymethyl-2-furancarboxaldehyde'}, {'DB_ID': 'HMDB0124831', 'name': 'benzene-1,2,4-triol'}]}	('C6H6O3_126.031694', '', 1)	[]
133.0611844	0.5534413	kp1_126.0317	13C/12C*6,M+H+	['C6H6O3']	126.03170199323	5-Methylfuran-2-carboxylic acid	{'C6H6O3': [{'DB_ID': 'HMDB0059735', 'name': '5-Methylfuran-2-carboxylic acid'}, {'DB_ID': 'HMDB0013674', 'name': '1,2,3-Trihydroxybenzene'}, {'DB_ID': 'HMDB0013675', 'name': '1,3,5-Trihydroxybenzene'}, {'DB_ID': 'HMDB0029750', 'name': 'Methyl 2-furoate'}, {'DB_ID': 'HMDB0030776', 'name': 'Maltol'}, {'DB_ID': 'HMDB0031256', 'name': '4-Hydroxy-2H-pyran-3-carboxaldehyde'}, {'DB_ID': 'HMDB0032651', 'name': '(Z)-Tamarindienal'}, {'DB_ID': 'HMDB0034355', 'name': '5-Hydroxymethyl-2-furancarboxaldehyde'}, {'DB_ID': 'HMDB0124831', 'name': 'benzene-1,2,4-triol'}]}	('C6H6O3_126.031694', '', 1)	[]
136.062157	0.5835974	kp1_126.0317	13C/12C*9,M+H+	['C6H6O3']	126.03170199323	5-Methylfuran-2-carboxylic acid	{'C6H6O3': [{'DB_ID': 'HMDB0059735', 'name': '5-Methylfuran-2-carboxylic acid'}, {'DB_ID': 'HMDB0013674', 'name': '1,2,3-Trihydroxybenzene'}, {'DB_ID': 'HMDB0013675', 'name': '1,3,5-Trihydroxybenzene'}, {'DB_ID': 'HMDB0029750', 'name': 'Methyl 2-furoate'}, {'DB_ID': 'HMDB0030776', 'name': 'Maltol'}, {'DB_ID': 'HMDB0031256', 'name': '4-Hydroxy-2H-pyran-3-carboxaldehyde'}, {'DB_ID': 'HMDB0032651', 'name': '(Z)-Tamarindienal'}, {'DB_ID': 'HMDB0034355', 'name': '5-Hydroxymethyl-2-furancarboxaldehyde'}, {'DB_ID': 'HMDB0124831', 'name': 'benzene-1,2,4-triol'}]}	('C6H6O3_126.031694', '', 1)	[]
127.0394726	0.5582969	kp1_126.0317	M0,M+H+	['C6H6O3']	126.03170199323	5-Methylfuran-2-carboxylic acid	{'C6H6O3': [{'DB_ID': 'HMDB0059735', 'name': '5-Methylfuran-2-carboxylic acid'}, {'DB_ID': 'HMDB0013674', 'name': '1,2,3-Trihydroxybenzene'}, {'DB_ID': 'HMDB0013675', 'name': '1,3,5-Trihydroxybenzene'}, {'DB_ID': 'HMDB0029750', 'name': 'Methyl 2-furoate'}, {'DB_ID': 'HMDB0030776', 'name': 'Maltol'}, {'DB_ID': 'HMDB0031256', 'name': '4-Hydroxy-2H-pyran-3-carboxaldehyde'}, {'DB_ID': 'HMDB0032651', 'name': '(Z)-Tamarindienal'}, {'DB_ID': 'HMDB0034355', 'name': '5-Hydroxymethyl-2-furancarboxaldehyde'}, {'DB_ID': 'HMDB0124831', 'name': 'benzene-1,2,4-triol'}]}	('C6H6O3_126.031694', '', 1)	[]
130.0503611	0.56947875	kp1_126.0317	13C/12C*3,M+H+	['C6H6O3']	126.03170199323	5-Methylfuran-2-carboxylic acid	{'C6H6O3': [{'DB_ID': 'HMDB0059735', 'name': '5-Methylfuran-2-carboxylic acid'}, {'DB_ID': 'HMDB0013674', 'name': '1,2,3-Trihydroxybenzene'}, {'DB_ID': 'HMDB0013675', 'name': '1,3,5-Trihydroxybenzene'}, {'DB_ID': 'HMDB0029750', 'name': 'Methyl 2-furoate'}, {'DB_ID': 'HMDB0030776', 'name': 'Maltol'}, {'DB_ID': 'HMDB0031256', 'name': '4-Hydroxy-2H-pyran-3-carboxaldehyde'}, {'DB_ID': 'HMDB0032651', 'name': '(Z)-Tamarindienal'}, {'DB_ID': 'HMDB0034355', 'name': '5-Hydroxymethyl-2-furancarboxaldehyde'}, {'DB_ID': 'HMDB0124831', 'name': 'benzene-1,2,4-triol'}]}	('C6H6O3_126.031694', '', 1)	[]
180.0871727	0.5617852	kp2_137.0483	13C/12C,ACN	['C7H7NO2']	137.04830456656333	2-Pyridylacetic acid	{'C7H7NO2': [{'DB_ID': 'HMDB0060722', 'name': '2-Pyridylacetic acid'}, {'DB_ID': 'HMDB0000875', 'name': 'Trigonelline'}, {'DB_ID': 'HMDB0001123', 'name': '2-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001392', 'name': 'p-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001538', 'name': '3-Pyridylacetic acid'}, {'DB_ID': 'HMDB0001891', 'name': 'm-Aminobenzoic acid'}, {'DB_ID': 'HMDB0015687', 'name': 'Salicylamide'}, {'DB_ID': 'HMDB0029806', 'name': 'Methyl nicotinate'}]}	('C7H7NO2_137.047678', '', 1)	[]
139.0574944	0.5509528	kp2_137.0483	13C/12C,M+H+	['C7H7NO2']	137.04830456656333	2-Pyridylacetic acid	{'C7H7NO2': [{'DB_ID': 'HMDB0060722', 'name': '2-Pyridylacetic acid'}, {'DB_ID': 'HMDB0000875', 'name': 'Trigonelline'}, {'DB_ID': 'HMDB0001123', 'name': '2-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001392', 'name': 'p-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001538', 'name': '3-Pyridylacetic acid'}, {'DB_ID': 'HMDB0001891', 'name': 'm-Aminobenzoic acid'}, {'DB_ID': 'HMDB0015687', 'name': 'Salicylamide'}, {'DB_ID': 'HMDB0029806', 'name': 'Methyl nicotinate'}]}	('C7H7NO2_137.047678', '', 1)	[]
138.055335	0.5612984	kp2_137.0483	M0,M+H+	['C7H7NO2']	137.04830456656333	2-Pyridylacetic acid	{'C7H7NO2': [{'DB_ID': 'HMDB0060722', 'name': '2-Pyridylacetic acid'}, {'DB_ID': 'HMDB0000875', 'name': 'Trigonelline'}, {'DB_ID': 'HMDB0001123', 'name': '2-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001392', 'name': 'p-Aminobenzoic acid'}, {'DB_ID': 'HMDB0001538', 'name': '3-Pyridylacetic acid'}, {'DB_ID': 'HMDB0001891', 'name': 'm-Aminobenzoic acid'}, {'DB_ID': 'HMDB0015687', 'name': 'Salicylamide'}, {'DB_ID': 'HMDB0029806', 'name': 'Methyl nicotinate'}]}	('C7H7NO2_137.047678', '', 1)	[]
296.0662865	0.51884407	kp3_257.1028	M0,K/H	['C10H15N3O5', 'C15H15NO3', 'C8H20NO6P']	257.10282320823	Glycerophosphocholine	{'C8H20NO6P': [{'DB_ID': 'HMDB0000086', 'name': 'Glycerophosphocholine'}], 'C10H15N3O5': [{'DB_ID': 'HMDB0000982', 'name': '5-Methylcytidine'}, {'DB_ID': 'HMDB0039229', 'name': 'Pyro-L-glutaminyl-L-glutamine'}, {'DB_ID': 'HMDB0240577', 'name': '3-Methylcytidine'}], 'C15H15NO3': [{'DB_ID': 'HMDB0014643', 'name': 'Tolmetin'}]}	('C8H20NO6P_257.102824', '', 1), ('C10H15N3O5_257.101171', '', 1), ('C15H15NO3_257.105193', '', 1)	[]
258.1106665	0.53177905	kp3_257.1028	M0,M+H+	['C10H15N3O5', 'C15H15NO3', 'C8H20NO6P']	257.10282320823	Glycerophosphocholine	{'C8H20NO6P': [{'DB_ID': 'HMDB0000086', 'name': 'Glycerophosphocholine'}], 'C10H15N3O5': [{'DB_ID': 'HMDB0000982', 'name': '5-Methylcytidine'}, {'DB_ID': 'HMDB0039229', 'name': 'Pyro-L-glutaminyl-L-glutamine'}, {'DB_ID': 'HMDB0240577', 'name': '3-Methylcytidine'}], 'C15H15NO3': [{'DB_ID': 'HMDB0014643', 'name': 'Tolmetin'}]}	('C8H20NO6P_257.102824', '', 1), ('C10H15N3O5_257.101171', '', 1), ('C15H15NO3_257.105193', '', 1)	[]
