Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Class,blank,blank,blank,blank,blank,blank,QC,QC,QC,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File type,Blank,Blank,Blank,Blank,Blank,Blank,QC,QC,QC,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Injection order,1,2,3,4,5,6,7,8,9,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Batch ID,1,1,1,1,1,1,1,1,1,Average,Average,Stdev,Stdev
Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,Post curation result,Fill %,MS/MS assigned,Reference RT,Reference m/z,Formula,Ontology,INCHIKEY,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Comment,Manually modified for quantification,Manually modified for annotation,Isotope tracking parent ID,Isotope tracking weight number,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,S/N average,Spectrum reference file name,MS1 isotopic spectrum,MS/MS spectrum,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,blank,QC,blank,QC
0,3.512,100.07631,Unknown,[M+H]+,found in higher mz's MsMs_5621,0.111,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,2.99,Orbi_P_E2_EXBLANKA,100.07631:455250 101.07966:75721 102.08302:0,53.33286:1984 58.02984:24007 59.97881:2436 59.98154:8926 62.91853:2030 65.44215:1958 69.03447:14838 71.0502:2702 82.0659:5082 83.08616:3282 96.8642:4860 98.00785:2759 98.06074:3014 100.07646:465311,2840850,2884088,2197557,1732664,1233470,978653,842156,1898194,1235790,1977880.36458333,1325379.70833333,803357.847330035,533688.739272076
1,6.001,100.07642,Unknown,[M+H]+,,0.111,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,4.36,Orbi_P_E2_EXBLANKC,100.07642:377651 101.07977:659528 102.08313:83365,83.08628:6827,2851239,1165947,2087497,3410899,1672282,1776240,2209666,699531,620234,2160684.02083333,1176477,827175.355808241,895645.951554312
2,0.6,100.07643,Unknown,[M+NH4]+,adduct linked to 407_[M+ACN+H]+; adduct linked to 1291_[M+IsoProp+Na+H]+; found in higher mz's MsMs_852; found in higher mz's MsMs_472,0.556,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,6,Orbi_P_E2_EXBLANKA,100.07643:583531 101.07978:91474 102.08314:71560,58.02982:33368 60.75457:5010 82.06594:7010 98.0079:6088,3275250,4003399,2926836,3854985,2625215,3279398,1775554,2098488,1197450,3327513.66666667,1690497.5,527988.724035577,456501.583010193
3,2.805,100.07646,Unknown,[M+CH3OH+H]+,adduct linked to 636_[2M+H]+,0.111,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,3.56,Orbi_P_E2_EXBLANKA,100.07646:484742 101.07981:89093 102.08317:58878,82.06619:4033,2722908,2352824,2360786,1665865,2423755,1411979,2002296,957650,1046580,2156352.72916667,1335508.66666667,503498.1052214,579164.067052333
4,1.502,100.07648,Unknown,[M+H]+,,0.444,True,null,null,null,null,null,null,999,False,False,False,,False,False,null,null,null,null,null,null,null,10.84,Orbi_P_E2_EXBLANKA,100.07648:616954 101.07983:67211 102.08319:42800,98.008:3301,4225715,933526,2387259,3858172,1015688,1382404,2774530,3202571,3024817,2300460.67708333,3000639.33333333,1449315.9162114,215041.913385556
