"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"35",103.08736,0.486,3119,3735,1957,4252,2240,1339,367773,341018,350501
"40",104.10766,0.505,230346,273087,505852,286943,121504,186612,614062720,663348416,638162496
"64",105.07053,1.712,75110,40121,75510,19740,36994,43122,680496,593097,679432
"105",107.16949,5.264,0,0,0,0,0,0,355189,447438,354767
"106",107.16957,5.962,0,0,0,0,0,0,428802,536977,448285
"164",110.00914,0.426,564303,617930,574708,565938,551341,594457,10180395,12828561,13274928
"172",110.07174,0.466,27787,19138,42398,67295,5439,54032,2441201,2473742,3083691
"179",111.02072,10.528,2146,1497,2239,1788,1571,2072,1645,0,71216
"209",113.0351,0.83,5234,1477,0,1450,1825,1341,420731,490990,448665
"216",113.31461,5.57,0,0,0,0,0,0,43194,45126,39544
"253",116.07108,0.563,1258436,516165,862534,1091115,923720,992450,171660768,168062848,157522032
"254",116.07108,1.241,371235,591475,247306,328646,546630,211205,3548424,3605032,5334376
"285",117.09149,5.168,61364,46147,43122,5785,3478,9169,269636,213061,363895
"286",117.31325,4.178,0,0,0,0,0,0,23642,24778,17301
"346",121.0653,0.866,37825,50066,32455,35214,57898,68266,1116890,1300739,1144330
"369",123.05576,0.92,109945,95819,253670,180149,101680,134310,15001192,16167729,13716451
"392",123.31247,5.264,0,0,0,0,0,0,109279,118133,115369
"397",124.03978,0.575,121161,53079,36379,88162,82318,59070,1513476,1810101,1794975
"398",124.07623,2.708,11106,13208,24407,27714,39638,29110,1614328,1632546,1329211
"449",126.05273,0.51,13680,7824,26413,7607,5885,18414,391421,474942,289846
"459",127.03931,1.955,37026,41316,28071,21989,15892,14472,280486,319112,278296
"470",127.31113,4.178,0,0,0,0,0,0,22489,27340,20635
"474",128.01953,0.425,823556,856954,832939,878484,852556,869442,15356548,18040794,18652420
"498",128.27803,4.408,0,0,0,0,0,0,89168,90290,94884
"529",130.01706,0.421,212468,197685,181958,210528,153266,251241,2484558,2905778,3030970
"530",130.05022,0.57,402697,366311,415613,417619,394116,421496,104236736,110098344,100068640
"531",130.05025,0.809,361129,327060,385567,298531,343179,326171,20609792,20853538,19736894
"533",130.06558,2.908,12001,4634,13270,9757,22306,13592,327741,304989,311430
"581",132.10223,0.881,392904,71810,240747,120323,217514,154957,29352252,32364514,27400742
"582",132.10225,1.136,123554,147795,55739,74879,104296,150117,1801683,1225655,1505610
"583",132.10226,0.601,554399,558770,554176,549389,702056,706229,9568297,10143873,9731594
"584",132.10228,0.828,392904,61954,240747,65652,217514,114870,33163062,34609928,32725050
"586",133.06108,0.525,52507,55216,17770,12478,19144,8640,50266916,52655168,48012356
"633",135.0442,1.451,12090,15623,21721,18850,14135,10749,178869,187668,179198
"634",135.04433,1.845,12317,17314,4802,13263,16066,8993,885260,1031600,978450
"635",135.04437,2.233,7476,8459,7629,13370,11874,5250,232971,235750,186582
"647",135.11716,3.484,200889,145112,175992,67260,27272,61703,1412101,1399048,1281682
"664",136.06206,0.584,479014,463647,488474,457564,343057,469973,14916970,14266627,13898680
"667",136.07603,2.64,53255,65701,38388,38004,28102,67720,974995,1111384,985639
"670",137.04611,0.982,5332,6561,23709,6118,10511,4189,940666,1055060,979896
"698",138.09132,1.423,11250,14663,1850,2265,20926,16290,194597,217846,206159
"778",142.08659,1.576,9950,32819,16887,31061,39505,25030,302196,284025,265637
"782",142.12302,0.851,6444,1631,2706,5559,8227,3645,203224,333625,217077
"797",142.30844,4.41,0,0,0,0,0,0,258168,267192,253304
"823",144.06572,1.508,71656,60987,49226,40249,75049,34927,1483980,1451023,1606614
"824",144.06581,0.924,46368,36703,42631,41446,52748,72568,559443,566887,459130
"825",144.06587,1.057,61035,30104,70427,44195,38932,42906,16224576,17232396,16426069
"834",144.13841,0.805,3715,1947,5161,9930,2065,8249,219966,217944,219300
"836",144.13855,0.926,1534,1500,3182,3989,1385,2416,309394,372016,326665
"866",146.0603,2.074,41485,15626,14823,39754,24381,44634,645507,631998,692737
"867",146.06047,3.563,13599,15696,40082,26340,24405,34681,1104777,1047796,1002601
"886",147.04425,2.164,1509,1235,1401,1317,1436,1328,1209744,1296887,1314801
"887",147.04427,2.549,1647,1724,1330,2567,0,2642,401091,391422,330857
"888",147.04439,2.869,1374,4297,1279,4930,7173,1275,146878,139511,114505
"893",147.07668,0.534,194552,97052,66375,48433,183671,107164,165509088,169892976,153300624
"894",147.11295,0.458,37135,27329,10424,26106,37180,35777,356241,478221,400844
"914",148.06062,0.542,64555,89204,134862,65788,71864,58350,18927716,19958064,18442390
"949",150.05534,1.254,4753,1850,4306,1988,2493,2147,291902,244311,160958
"969",151.07565,1.166,34009,38053,32320,21064,28174,59123,1810184,1972540,1888434
"1033",155.01048,0.616,2319,13792,6023,4887,3093,2334,338494,396924,374401
"1034",155.04277,0.605,5755,3972,11941,5585,3024,8402,1379411,1658563,1261283
"1068",156.0658,1.655,2015,2984,2925,3234,3885,1919,132011,136220,118464
"1070",156.07712,0.512,43900,62087,324700,366544,444986,354115,9969492,10261066,9506387
"1110",158.08156,1.966,23243,28370,17239,25775,16754,22019,646236,603623,540012
"1117",158.11789,1.076,4026,6722,8740,9055,2432,4600,500935,564105,505261
"1152",160.03726,0.54,16994,7852,19003,8981,17991,1716,2102652,2386396,2266976
"1168",161.08118,2.085,7969,1408,0,1262,1298,1171,99250,100129,75969
"1176",161.10759,1.827,0,0,1714,0,1581,1312,114799,103718,95058
"1206",163.03912,1.636,27417,19365,20675,20991,25395,25319,296422,344634,294537
"1207",163.03915,2.177,23763,44826,57695,36110,40074,16125,1846476,1998132,2001160
"1208",163.03918,1.841,30554,30026,41534,26463,50095,39402,24663252,28496782,27964916
"1209",163.03918,2.235,31366,53311,18692,33091,19242,50590,5212146,5284379,3857045
"1222",163.08684,1.142,0,1629,1687,0,0,0,611509,715142,686222
"1233",163.14847,2.81,7292,4507,7246,8803,11044,23120,243788,231203,212344
"1238",164.00859,0.496,0,0,0,1208,0,0,251291,256945,245259
"1240",164.07097,2.941,1698,1165,1797,0,1114,2724,107454,78574,74524
"1284",166.08655,1.38,111141,75841,68742,42792,19629,31005,65026632,70518616,64237588
"1343",169.0764,2.259,13622,0,0,0,0,0,1058586,1128122,939653
"1344",169.09741,1.465,1671,1611,2232,3048,1381,0,164310,146198,143221
"1365",170.11792,1.258,1827,2388,1804,4872,1863,1369,51295,66106,43399
"1394",171.07988,6.121,0,0,0,0,0,0,86010,86681,73745
"1395",171.08057,5.954,0,0,0,0,0,0,85588,105990,88359
"1474",173.11768,5.415,9839,23383,9279,8920,11301,21678,297864,303479,290636
"1475",173.11772,4.682,32667,13365,13485,10969,16065,21641,286055,303571,284876
"1476",173.11772,5.036,21622,12781,15261,14738,14300,9077,697647,823847,714808
"1480",173.15395,3.976,0,0,0,0,990,0,53769,55302,54561
"1504",175.0871,2.908,0,0,2966,0,2029,0,313361,317207,293416
"1515",175.14854,2.489,1653,1760,3569,4128,3330,5781,139670,141632,140943
"1523",176.03226,1.338,1497,1987,1493,0,0,1486,171732,178395,170774
"1525",176.09206,0.884,46956,28689,31098,25071,37421,30047,1511754,1687674,1375688
"1537",177.0249,0.512,0,0,0,11161,3425,2900,5197364,5217717,4075268
"1538",177.05489,2.046,3085,1571,1586,4378,1515,1825,268140,264706,260104
"1539",177.05492,2.229,3819,3556,5149,1208,3531,2596,340066,303890,224038
"1540",177.05492,2.462,1996,2613,3479,2672,1904,1220,1118405,1357051,1172977
"1541",177.05496,2.696,1965,3165,4205,2974,1423,6791,2499061,2532427,1781973
"1543",177.05499,2.31,1646,3556,1716,1773,1477,1280,8058440,8185687,8127619
"1544",177.05502,2.903,3988,3666,1462,3607,1454,2257,313782,257611,260379
"1545",177.05521,4.641,1593,1216,3373,3617,12260,3454,180549,166154,104219
"1577",179.03413,1.839,0,0,0,0,0,0,467241,446559,413731
"1597",180.06349,0.864,1557,0,0,1864,0,2204,783871,904967,678218
"1599",180.0869,0.558,100267,48673,65886,41025,33667,46519,23216722,22852690,21473658
"1604",180.10211,1.791,139571,11416,5299,4090,3424,6054,447698,436684,460613
"1605",180.10219,2.123,67856,84001,46210,18732,9523,4756,1028457,1107095,1059029
"1606",180.12636,3,2660,0,1937,1060,1228,2373,87959,95255,114370
