"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11","Column12","Column13","Column14","Column15","Column16","Column17","Column18","Column19","Column20","Column21","Column22","Column23","Column24","Column25","Column26","Column27","Column28","Column29","Column30","Column31","Column32","Column33","Column34","Column35","Column36","Column37","Column38","Column39","Column40","Column41","Column42","Column43","Column44","Column45"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class","blank","blank","blank","blank","blank","blank","QC","QC","QC","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"File type","Blank","Blank","Blank","Blank","Blank","Blank","QC","QC","QC","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Injection order","1","2","3","4","5","6","7","8","9","NA","NA","NA","NA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Batch ID","1","1","1","1","1","1","1","1","1","Average","Average","Stdev","Stdev"
"Alignment ID","Average Rt(min)","Average Mz","Metabolite name","Adduct type","Post curation result","Fill %","MS/MS assigned","Reference RT","Reference m/z","Formula","Ontology","INCHIKEY","SMILES","Annotation tag (VS1.0)","RT matched","m/z matched","MS/MS matched","Comment","Manually modified for quantification","Manually modified for annotation","Isotope tracking parent ID","Isotope tracking weight number","Total score","RT similarity","Dot product","Reverse dot product","Fragment presence %","S/N average","Spectrum reference file name","MS1 isotopic spectrum","MS/MS spectrum","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C","blank","QC","blank","QC"
"35",0.486,103.08736,"Unknown","[M-C6H10O5+H]+","adduct linked to 4627_[M+K]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","31.03","Orbi_P_E2_WS03B","103.08736:132326 104.09071:3956586 105.09407:1211057","",3119,3735,1957,4252,2240,1339,367773,341018,350501,"2773.48175048828","353097.197916667","1117.02435991755","13564.8548057006"
"40",0.505,104.10766,"Unknown","[M+H]+","adduct linked to 2187_[2M+H]+","0.556","True","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","21655.34","Orbi_P_E2_WS03A","104.10761:213162304 105.11096:15615353 106.11432:643870","60.08171:28623278 104.09335:509062",230346,273087,505852,286943,121504,186612,614062720,663348416,638162496,"267390.890625","638524544","131498.477097792","24644842.5967145"
"64",1.712,105.07053,"Unknown","[M+H-H2O]+","adduct linked to 4111_[2M+K]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","11.57","Orbi_P_E2_WS03B","105.07053:129031 106.07388:17037 107.07724:27873","",75110,40121,75510,19740,36994,43122,680496,593097,679432,"48433.07421875","651008.104166667","22343.828519673","50155.6871268001"
"105",5.264,107.16949,"Unknown","[M-C6H8O6+H]+","adduct linked to 3615_[M+H-H2O]+; adduct linked to 6291_[M+2ACN+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","184.45","Orbi_P_E2_WS03B","107.16949:180117 108.17284:0 109.1762:0","",0,0,0,0,0,0,355189,447438,354767,"0","385797.885416667","0","53381.9974290945"
"106",5.962,107.16957,"Unknown","[M+2K-H]+","adduct linked to 215_[M+2ACN+H]+","0.333","False","null","null","null","null","null","null","999","False","False","False","","False","False","null","null","null","null","null","null","null","245.59","Orbi_P_E2_WS03B","107.16957:238661 108.17292:0 109.17628:0","",0,0,0,0,0,0,428802,536977,448285,"0","471354.729166667","0","57659.5899935471"
