"Feature","mz","rt","Orbi_P_E2_EXBLANKA","Orbi_P_E2_EXBLANKB","Orbi_P_E2_EXBLANKC","Orbi_P_E2_Wasteblank4","Orbi_P_E2_Wasteblank5","Orbi_P_E2_Wasteblank6","Orbi_P_E2_WS03A","Orbi_P_E2_WS03B","Orbi_P_E2_WS03C"
"0",100.07631,3.512,2840850,2884088,2197557,1732664,1233470,978653,842156,1898194,1235790
"1",100.07642,6.001,2851239,1165947,2087497,3410899,1672282,1776240,2209666,699531,620234
"2",100.07643,0.6,3275250,4003399,2926836,3854985,2625215,3279398,1775554,2098488,1197450
"3",100.07646,2.805,2722908,2352824,2360786,1665865,2423755,1411979,2002296,957650,1046580
"4",100.07648,1.502,4225715,933526,2387259,3858172,1015688,1382404,2774530,3202571,3024817
"5",100.11272,11.646,2528755,2558266,2755386,2513106,2526463,2315675,2970513,2366576,2339078
"6",100.11289,0.056,641104,743266,759175,700580,488027,632612,804444,552722,920784
"7",100.51066,11.656,915949,849606,743120,848458,779178,775881,712591,868690,871579
"8",100.75848,0.468,67664,14490,65789,12395,52600,23095,0,0,0
"9",100.95727,11.661,3157598,3160904,2980295,2894749,3166148,3015986,2781401,3046034,3070285
"10",100.95766,0.572,159825,86343,149318,178036,84579,87255,51103,96531,115408
"11",101.02383,0.555,0,0,0,0,0,1703,510983,508789,459492
"12",101.07146,6.01,2427381,3754923,4041504,4015092,3513591,3633318,2592462,3391362,3406635
"13",101.0715,11.645,61786536,50585516,55275508,49598304,51288176,53930512,55174928,50498284,49682776
"14",101.07151,0.587,462470,303771,389340,140710,198428,621455,321406,196698,676814
"15",101.07155,9.774,26433444,16075061,16428437,11823304,12218470,20273504,13292467,47102268,18244508
"16",101.95036,0.638,297543,238391,183805,148586,221767,167447,239462,255125,266022
"17",101.95066,11.762,110605,103023,116867,90197,134577,108519,115728,106747,106635
"18",102.01351,1.375,444892,161570,605388,189008,175395,175257,336857,252154,417565
"19",102.01376,0.574,254500,369792,317433,344804,257812,339170,116301,110908,187498
"20",102.01376,0.702,345251,832917,412826,548283,519871,511030,444022,578284,408283
"21",102.01379,11.864,693114,1390177,560187,652246,623199,923267,658714,1209796,477066
"22",102.05553,0.534,25048,60751,80255,27822,44540,49185,2507892,2567770,2324171
"23",102.05559,0.808,68265,50356,38104,45631,34486,35668,618641,733711,479679
"24",102.12823,0.584,1895539,1545617,1799519,1836277,1517946,1488614,2401272,2621062,3037150
"25",102.12827,11.644,25218042,24702226,26920042,23726888,24007022,24269380,27931658,23435086,22187386
"26",102.12827,0.81,897825,906174,1060809,973533,1036222,941801,1386713,1612489,1481003
"27",102.12829,0.045,7215368,6762757,6818314,7289660,6698999,7742336,7845524,5848998,10497761
"28",102.12836,1.383,213346,167291,110938,246134,254078,271682,360237,242877,132971
"29",102.12836,6.011,472148,775593,1038049,363819,865977,856692,431379,517015,815009
"30",102.1285,9.724,1890997,1779378,1137246,1269083,356786,767599,736332,642775,2016295
"31",102.95529,11.666,247632,321988,354717,331623,291481,327612,196799,377278,357319
"32",103.05479,6.001,114099,95759,136174,123460,139240,129813,121252,124625,89649
"33",103.05481,1.38,7273,4618,9706,2828,3775,3390,6082532,6387040,5926276
"34",103.05495,2.251,101750,5339,9435,2055,6497,6029,12346,17317,13897
"35",103.08736,0.486,3119,3735,1957,4252,2240,1339,367773,341018,350501
"36",103.95614,11.658,1042764,1007353,996553,2074621,762672,807996,1537772,1288406,1126023
"37",103.95624,11.819,10712022,10272818,10650247,10188815,10500311,10352785,10290266,9444407,9520908
"38",104.10761,6.84,144381,258078,152297,329063,138581,199003,695164,554476,604645
"39",104.10766,11.643,3846501,3262869,3601974,3329064,3368681,3298427,3805614,3527315,3007324
"40",104.10766,0.505,230346,273087,505852,286943,121504,186612,614062720,663348416,638162496
"41",104.10767,7.65,172007,252566,157256,246001,152217,303571,815282,864157,764494
"42",104.1077,3.532,198270,332438,155274,169858,336473,200511,188082,172143,207899
"43",104.30958,5.963,0,0,0,0,0,0,67277,78927,78525
"44",104.9514,0.796,92711,75353,64067,105683,43000,121712,84700,99581,65471
