Compound,mz,kmd,rt,Orbi_P_E2_EXBLANKA,Orbi_P_E2_EXBLANKB,Orbi_P_E2_EXBLANKC,Orbi_P_E2_WS03A,Orbi_P_E2_WS03B,Orbi_P_E2_WS03C,Orbi_P_E2_Wasteblank4,Orbi_P_E2_Wasteblank5,Orbi_P_E2_Wasteblank6,cor
10003,870.387982,0.3879819999999654,4.4062867,0,0,0,3579.3179,2919.3452,3203.8982,0,0,0,TRUE
10008,1154.504537,0.5045370000000275,4.40629,0,0,0,26608.432,27175.205,26090.352,0,0,0,TRUE
1004,439.1428071,0.14280710000002728,0.53040737,0,0,0,123886.48,134564.52,120922.06,0,0,0,TRUE
1005,219.0273653,0.027365300000013804,0.5164382,452.0445,328.06845,301.96262,86353.28,84057.13,78561.31,157.7547,336.8605,184.66148,TRUE
10079,459.3111319,0.3111319000000208,4.4144673,0,0,0,63359.254,64001.742,64220.42,0,0,0,TRUE
10080,511.2654712,0.26547119999997904,4.4144683,0,0,0,4575.6904,4321.3,4389.2764,0,0,0,TRUE
10095,441.2999739,0.2999738999999977,4.4023447000000004,35.33944,24.143627,23.862682,17970.045,18414.463,18670.658,21.175997,23.2213,23.376732,TRUE
10097,621.3654088,0.3654087999999547,4.416525,0,0,0,59241.08,61655.41,59808.477,0,0,0,TRUE
10106,638.3921714,0.392171400000052,4.4185615,0,0,0,49691.84,51295.418,49407.656,0,0,0,TRUE
10109,281.1372581,0.13725809999999683,4.400613,356.16986000000003,275.87573,435.6693,5191.0967,5336.3066,4369.9863,148.25787,434.30582,243.87267,TRUE
10116,643.3473174,0.3473173999999517,4.4226317,0,0,0,51934.047,51601.266,53119.387,0,0,0,TRUE
10121,659.3219286,0.32192859999997836,4.424661,0,0,0,8936.434,8909.06,9155.87,0,0,0,TRUE
10150,451.248623,0.24862300000000914,4.442446,0,0,0,8676.631,9371.024,7797.4556,0,0,0,TRUE
10156,486.286011,0.2860109999999736,4.4444833,0,0,0,2733.472,2740.0732,2140.509,0,0,0,TRUE
10160,517.2264913,0.2264913000000206,4.4465027,0,0,0,9164.425,9528.048,9210.01,0,0,0,TRUE
1017,543.1346522,0.134652200000005,0.53233504,0,0,0,8915.048,8191.46,8564.329,0,0,0,TRUE
10230,821.3949021,0.3949020999999675,4.482149,0,0,0,2295.8206,2239.7544,2338.0818,0,0,0,TRUE
10251,527.2419714,0.24197140000001127,4.493976,0,0,0,10229.344,11585.882,10718.227,0,0,0,TRUE
10258,584.2544487,0.25444870000001174,4.496076,0,0,0,11357.751,12646.873,11372.836,0,0,0,TRUE
10259,506.3117819,0.31178190000002814,4.4961114,0,0,0,14509.783,16030.785,14439.014,0,0,0,TRUE
